site,temp,salinity,replicate,germinated,apical_hairs,ungerminated,dead,notes,total,proportion_alive
NP,2,05,01,0,0,0,50,NA,50,0
NP,2,05,02,0,0,0,50,NA,50,0
NP,2,05,03,0,0,0,50,NA,50,0
NP,2,05,04,0,0,0,50,NA,50,0
NP,2,05,05,0,0,0,50,NA,50,0
NP,2,05,06,0,0,0,50,NA,50,0
NP,2,15,01,0,0,4,46,NA,50,0
NP,2,15,02,3,0,7,40,NA,50,0.06
NP,2,15,03,4,0,1,45,NA,50,0.08
NP,2,15,04,0,0,2,48,NA,50,0
NP,2,15,05,0,0,4,46,NA,50,0
NP,2,15,06,2,0,1,47,NA,50,0.04
NP,2,30,01,3,0,7,40,NA,50,0.06
NP,2,30,02,14,0,10,26,NA,50,0.28
NP,2,30,03,12,0,8,30,NA,50,0.24
NP,2,30,04,9,0,14,37,NA,60,0.15
NP,2,30,05,0,0,7,43,NA,50,0
NP,2,30,06,11,0,8,31,NA,50,0.22
NP,8,05,01,12,1,4,33,NA,50,0.26
NP,8,05,02,10,0,2,38,NA,50,0.2
NP,8,05,03,3,0,9,38,NA,50,0.06
NP,8,05,04,4,0,9,37,NA,50,0.08
NP,8,05,05,7,1,4,38,NA,50,0.16
NP,8,05,06,9,0,6,35,NA,50,0.18
NP,8,15,01,29,0,1,20,NA,50,0.58
NP,8,15,02,25,1,5,23,NA,54,0.48148148148148145
NP,8,15,03,23,0,3,24,NA,50,0.46
NP,8,15,04,33,0,0,17,NA,50,0.66
NP,8,15,05,34,0,3,15,NA,52,0.6538461538461539
NP,8,15,06,21,0,4,25,NA,50,0.42
NP,8,30,01,36,0,4,10,NA,50,0.72
NP,8,30,02,34,0,7,10,NA,51,0.6666666666666666
NP,8,30,03,33,0,10,7,NA,50,0.66
NP,8,30,04,38,0,5,7,NA,50,0.76
NP,8,30,05,39,0,3,8,NA,50,0.78
NP,8,30,06,50,0,4,4,NA,58,0.8620689655172413
NP,12,05,01,29,6,2,13,NA,50,0.7
NP,12,05,02,16,12,6,16,NA,50,0.56
NP,12,05,03,18,10,2,20,NA,50,0.56
NP,12,05,04,15,2,3,30,NA,50,0.34
NP,12,05,05,17,2,2,29,NA,50,0.38
NP,12,05,06,12,7,0,32,NA,51,0.37254901960784315
NP,12,15,01,14,22,2,12,NA,50,0.72
NP,12,15,03,22,19,4,5,NA,50,0.82
NP,12,15,04,11,29,3,7,NA,50,0.8
NP,12,15,05,11,30,1,8,NA,50,0.82
NP,12,15,06,16,29,0,5,NA,50,0.9
NP,12,30,02,4,48,0,3,NA,55,0.9454545454545454
NP,12,30,03,13,25,4,8,NA,50,0.76
NP,12,30,04,11,37,2,6,NA,56,0.8571428571428571
NP,12,30,05,16,27,1,6,NA,50,0.86
NP,12,30,06,10,36,1,3,NA,50,0.92
NP,16,05,01,17,3,2,28,NA,50,0.4
NP,16,05,02,20,11,0,20,NA,51,0.6078431372549019
NP,16,05,03,6,9,4,31,NA,50,0.3
NP,16,05,04,6,7,1,36,NA,50,0.26
NP,16,05,06,6,6,2,36,NA,50,0.24
NP,16,05,06,4,2,2,42,double entry in notebook - probably my bad handwriting on the labels. Need to check,50,0.12
NP,16,15,01,4,31,1,19,NA,55,0.6363636363636364
NP,16,15,02,5,39,0,6,NA,50,0.88
NP,16,15,03,7,33,1,10,NA,51,0.7843137254901961
NP,16,15,04,6,25,0,11,NA,42,0.7380952380952381
NP,16,15,06,7,29,3,11,NA,50,0.72
NP,16,30,01,5,37,2,6,NA,50,0.84
NP,16,30,02,3,41,2,4,NA,50,0.88
NP,16,30,03,5,37,2,6,NA,50,0.84
NP,16,30,04,2,45,1,2,NA,50,0.94
NP,16,30,05,5,39,1,5,NA,50,0.88
NP,16,30,06,4,37,2,7,NA,50,0.82
NP,20,05,01,5,0,1,44,NA,50,0.1
NP,20,05,02,5,0,5,40,NA,50,0.1
NP,20,05,03,5,2,1,42,NA,50,0.14
NP,20,05,05,1,0,3,46,NA,50,0.02
NP,20,05,06,1,0,3,46,NA,50,0.02
NP,20,15,01,20,13,1,16,NA,50,0.66
NP,20,15,02,13,19,1,20,lots of diatoms,53,0.6037735849056604
NP,20,15,03,7,17,2,24,NA,50,0.48
NP,20,15,04,11,9,2,28,NA,50,0.4
NP,20,15,05,16,12,2,20,NA,50,0.56
NP,20,15,06,10,14,1,30,NA,55,0.43636363636363634
NP,20,30,01,8,36,4,2,NA,50,0.88
NP,20,30,02,0,43,0,7,NA,50,0.86
NP,20,30,03,7,38,2,4,lots of diatoms,51,0.8823529411764706
NP,20,30,04,5,35,0,10,NA,50,0.8
NP,20,30,05,7,35,0,8,NA,50,0.84
NP,20,30,06,5,40,3,3,NA,51,0.8823529411764706
NP,24,05,01,0,0,0,19,NA,19,0
NP,24,05,02,0,0,0,3,NA,3,0
NP,24,05,03,0,0,0,11,hardly anything on this one (5 counted on sllip and 6 on dish),11,0
NP,24,05,04,0,0,2,19,NA,21,0
NP,24,05,05,0,0,1,15,NA,16,0
NP,24,05,06,0,0,0,9,NA,9,0
NP,24,15,01,0,0,1,49,NA,50,0
NP,24,15,02,0,0,0,50,NA,50,0
NP,24,15,03,0,0,0,50,NA,50,0
NP,24,15,04,0,0,0,50,NA,50,0
NP,24,15,05,0,0,0,50,NA,50,0
NP,24,15,06,0,0,1,49,NA,50,0
NP,24,30,01,12,0,0,40,NA,52,0.23076923076923078
NP,24,30,02,2,1,1,39,NA,43,0.06976744186046512
NP,24,30,03,5,0,0,45,NA,50,0.1
NP,24,30,04,8,0,6,36,NA,50,0.16
NP,24,30,05,7,2,0,23,NA,32,0.28125
NP,24,30,06,13,0,3,34,NA,50,0.26
NP,28,05,01,0,0,0,22,NA,22,0
NP,28,05,02,0,0,0,10,NA,10,0
NP,28,05,03,0,0,0,9,NA,9,0
NP,28,05,04,0,0,0,12,NA,12,0
NP,28,05,05,0,0,0,10,NA,10,0
NP,28,05,06,0,0,0,11,NA,11,0
NP,28,15,01,0,0,0,50,NA,50,0
NP,28,15,02,0,0,0,3,NA,3,0
NP,28,15,03,0,0,0,50,NA,50,0
NP,28,15,04,0,0,0,50,NA,50,0
NP,28,15,05,0,0,0,12,NA,12,0
NP,28,15,06,0,0,1,33,NA,34,0
NP,28,30,01,0,0,0,20,NA,20,0
NP,28,30,02,0,0,0,50,NA,50,0
NP,28,30,03,0,0,0,50,NA,50,0
NP,28,30,04,0,0,0,50,NA,50,0
NP,28,30,05,0,0,1,49,NA,50,0
NP,28,30,06,0,0,2,48,NA,50,0
NP,32,05,01,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,05,02,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,05,03,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,05,04,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,05,05,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,05,06,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,15,01,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,15,02,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,15,03,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,15,04,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,15,05,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,15,06,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,30,01,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,30,02,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,30,03,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,30,04,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,30,05,0,0,0,50,didn't check b/c 28 was all dead,50,0
NP,32,30,06,0,0,0,50,didn't check b/c 28 was all dead,50,0
