site,temp,salinity,nutrients,replicate,length
NP,24,10,CN,1,255.271
NP,24,10,CN,1,251.444
NP,24,10,CN,1,74.291
NP,24,10,CN,1,242.255
NP,24,10,CN,1,228.558
NP,24,10,CN,1,324.333
NP,24,10,CN,1,81.641
NP,24,10,CN,1,0
NP,24,10,CN,1,0
NP,24,10,CN,1,0
NP,24,10,CN,2,163.891
NP,24,10,CN,2,390.952
NP,24,10,CN,2,317.157
NP,24,10,CN,2,258.413
NP,24,10,CN,2,189.473
NP,24,10,CN,2,317.065
NP,24,10,CN,2,329.931
NP,24,10,CN,2,264.154
NP,24,10,CN,2,279.444
NP,24,10,CN,2,116.696
NP,24,10,CN,3,177.488
NP,24,10,CN,3,198.164
NP,24,10,CN,3,146.874
NP,24,10,CN,3,297.173
NP,24,10,CN,3,268.346
NP,24,10,CN,3,316.657
NP,24,10,CN,3,188.273
NP,24,10,CN,3,262.971
NP,24,10,CN,3,180.882
NP,24,10,CN,3,263.326
NP,24,10,CN,4,156.562
NP,24,10,CN,4,182.169
NP,24,10,CN,4,211.117
NP,24,10,CN,4,194.982
NP,24,10,CN,4,128.851
NP,24,10,CN,4,150.741
NP,24,10,CN,4,259.667
NP,24,10,CN,4,320.23
NP,24,10,CN,4,0
NP,24,10,CN,4,0
NP,24,10,CN,5,42.054
NP,24,10,CN,5,234.306
NP,24,10,CN,5,248.257
NP,24,10,CN,5,128.686
NP,24,10,CN,5,185.847
NP,24,10,CN,5,91.396
NP,24,10,CN,5,111.909
NP,24,10,CN,5,113.839
NP,24,10,CN,5,165.311
NP,24,10,CN,5,89.327
NP,24,10,CN,6,126.158
NP,24,10,CN,6,186.375
NP,24,10,CN,6,113.284
NP,24,10,CN,6,133.217
NP,24,10,CN,6,305.614
NP,24,10,CN,6,228.28
NP,24,10,CN,6,128.808
NP,24,10,CN,6,270.535
NP,24,10,CN,6,148.724
NP,24,10,CN,6,0
NP,24,10,EN,1,237.61
NP,24,10,EN,1,234.353
NP,24,10,EN,1,236.466
NP,24,10,EN,1,333.22
NP,24,10,EN,1,32.393
NP,24,10,EN,1,236.64
NP,24,10,EN,1,190.915
NP,24,10,EN,1,466.055
NP,24,10,EN,1,308.057
NP,24,10,EN,1,142.107
NP,24,10,EN,2,195.408
NP,24,10,EN,2,242.264
NP,24,10,EN,2,40.29
NP,24,10,EN,2,209.447
NP,24,10,EN,2,97.468
NP,24,10,EN,2,168.273
NP,24,10,EN,2,205.92
NP,24,10,EN,2,110.241
NP,24,10,EN,2,77.644
NP,24,10,EN,2,93.116
NP,24,10,EN,3,284.562
NP,24,10,EN,3,269.294
NP,24,10,EN,3,291.533
NP,24,10,EN,3,254.957
NP,24,10,EN,3,138.957
NP,24,10,EN,3,251.576
NP,24,10,EN,3,139.034
NP,24,10,EN,3,101.297
NP,24,10,EN,3,114.547
NP,24,10,EN,3,0
NP,24,10,EN,5,172.642
NP,24,10,EN,5,113.878
NP,24,10,EN,5,241.682
NP,24,10,EN,5,175.573
NP,24,10,EN,5,144.71
NP,24,10,EN,5,114.029
NP,24,10,EN,5,258.543
NP,24,10,EN,5,122.042
NP,24,10,EN,5,213.873
NP,24,10,EN,5,114.999
NP,24,10,EN,6,197.657
NP,24,10,EN,6,219.449
NP,24,10,EN,6,111.12
NP,24,10,EN,6,173.627
