site,code,ibutton_no,date_time,date,time,temperature
ruckle,1,r1.,2018-06-23T12:36:00Z,2018-06-23T07:00:00Z,12:36:00,12.5
ruckle,1,r1.,2018-06-23T13:06:00Z,2018-06-23T07:00:00Z,13:06:00,12.5
ruckle,1,r1.,2018-06-23T13:36:00Z,2018-06-23T07:00:00Z,13:36:00,12.5
ruckle,1,r1.,2018-06-23T14:06:00Z,2018-06-23T07:00:00Z,14:06:00,12
ruckle,1,r1.,2018-06-23T14:36:00Z,2018-06-23T07:00:00Z,14:36:00,13
ruckle,1,r1.,2018-06-23T15:06:00Z,2018-06-23T07:00:00Z,15:06:00,12
ruckle,1,r1.,2018-06-23T15:36:00Z,2018-06-23T07:00:00Z,15:36:00,13
ruckle,1,r1.,2018-06-23T16:06:00Z,2018-06-23T07:00:00Z,16:06:00,12.5
ruckle,1,r1.,2018-06-23T16:36:00Z,2018-06-23T07:00:00Z,16:36:00,12.5
ruckle,1,r1.,2018-06-23T17:06:00Z,2018-06-23T07:00:00Z,17:06:00,12
ruckle,1,r1.,2018-06-23T17:36:00Z,2018-06-23T07:00:00Z,17:36:00,12.5
ruckle,1,r1.,2018-06-23T18:06:00Z,2018-06-23T07:00:00Z,18:06:00,13
ruckle,1,r1.,2018-06-23T18:36:00Z,2018-06-23T07:00:00Z,18:36:00,13
ruckle,1,r1.,2018-06-23T19:06:00Z,2018-06-23T07:00:00Z,19:06:00,13
ruckle,1,r1.,2018-06-23T19:36:00Z,2018-06-23T07:00:00Z,19:36:00,13
ruckle,1,r1.,2018-06-23T20:06:00Z,2018-06-23T07:00:00Z,20:06:00,12.5
ruckle,1,r1.,2018-06-23T20:36:00Z,2018-06-23T07:00:00Z,20:36:00,13
ruckle,1,r1.,2018-06-23T21:06:00Z,2018-06-23T07:00:00Z,21:06:00,13
ruckle,1,r1.,2018-06-23T21:36:00Z,2018-06-23T07:00:00Z,21:36:00,13
ruckle,1,r1.,2018-06-23T22:06:00Z,2018-06-23T07:00:00Z,22:06:00,13
ruckle,1,r1.,2018-06-23T22:36:00Z,2018-06-23T07:00:00Z,22:36:00,13
ruckle,1,r1.,2018-06-23T23:06:00Z,2018-06-23T07:00:00Z,23:06:00,13
ruckle,1,r1.,2018-06-23T23:36:00Z,2018-06-23T07:00:00Z,23:36:00,13
ruckle,1,r1.,2018-06-24T00:06:00Z,2018-06-24T07:00:00Z,00:06:00,13
ruckle,1,r1.,2018-06-24T00:36:00Z,2018-06-24T07:00:00Z,00:36:00,13
ruckle,1,r1.,2018-06-24T01:06:00Z,2018-06-24T07:00:00Z,01:06:00,12.5
ruckle,1,r1.,2018-06-24T01:36:00Z,2018-06-24T07:00:00Z,01:36:00,12.5
ruckle,1,r1.,2018-06-24T02:06:00Z,2018-06-24T07:00:00Z,02:06:00,12.5
ruckle,1,r1.,2018-06-24T02:36:00Z,2018-06-24T07:00:00Z,02:36:00,12.5
ruckle,1,r1.,2018-06-24T03:06:00Z,2018-06-24T07:00:00Z,03:06:00,12.5
ruckle,1,r1.,2018-06-24T03:36:00Z,2018-06-24T07:00:00Z,03:36:00,12.5
ruckle,1,r1.,2018-06-24T04:06:00Z,2018-06-24T07:00:00Z,04:06:00,12
ruckle,1,r1.,2018-06-24T04:36:00Z,2018-06-24T07:00:00Z,04:36:00,12.5
ruckle,1,r1.,2018-06-24T05:06:00Z,2018-06-24T07:00:00Z,05:06:00,12.5
ruckle,1,r1.,2018-06-24T05:36:00Z,2018-06-24T07:00:00Z,05:36:00,12.5
ruckle,1,r1.,2018-06-24T06:06:00Z,2018-06-24T07:00:00Z,06:06:00,12
ruckle,1,r1.,2018-06-24T06:36:00Z,2018-06-24T07:00:00Z,06:36:00,12.5
ruckle,1,r1.,2018-06-24T07:06:00Z,2018-06-24T07:00:00Z,07:06:00,12.5
ruckle,1,r1.,2018-06-24T07:36:00Z,2018-06-24T07:00:00Z,07:36:00,13
ruckle,1,r1.,2018-06-24T08:06:00Z,2018-06-24T07:00:00Z,08:06:00,15
ruckle,1,r1.,2018-06-24T08:36:00Z,2018-06-24T07:00:00Z,08:36:00,19
ruckle,1,r1.,2018-06-24T09:06:00Z,2018-06-24T07:00:00Z,09:06:00,21.5
ruckle,1,r1.,2018-06-24T09:36:00Z,2018-06-24T07:00:00Z,09:36:00,22
