site,temp,salinity,replicate,germinated,apical_hairs,ungerminated,dead,notes,total,proportion_alive
JR,2,05,01,0,0,0,45,NA,45,0
JR,2,05,02,0,0,0,17,NA,17,0
JR,2,05,03,0,0,0,12,NA,12,0
JR,2,05,04,0,0,0,13,NA,13,0
JR,2,05,05,0,0,0,30,NA,30,0
JR,2,05,06,0,0,1,9,NA,10,0
JR,2,15,01,11,0,10,29,NA,50,0.22
JR,2,15,02,21,0,8,21,NA,50,0.42
JR,2,15,03,13,0,14,23,NA,50,0.26
JR,2,15,04,20,0,2,28,NA,50,0.4
JR,2,15,05,7,0,20,25,NA,52,0.1346153846153846
JR,2,15,06,14,0,12,24,NA,50,0.28
JR,2,30,01,41,0,5,23,NA,69,0.5942028985507246
JR,2,30,02,16,0,6,28,NA,50,0.32
JR,2,30,03,33,0,6,16,NA,55,0.6
JR,2,30,04,36,0,4,14,NA,54,0.6666666666666666
JR,2,30,05,30,0,8,22,NA,60,0.5
JR,2,30,06,35,0,10,9,NA,54,0.6481481481481481
JR,8,05,01,0,0,11,33,NA,44,0
JR,8,05,02,3,0,2,32,NA,37,0.08108108108108109
JR,8,05,03,7,0,5,38,NA,50,0.14
JR,8,05,04,2,0,0,25,NA,27,0.07407407407407407
JR,8,05,05,5,0,8,39,NA,52,0.09615384615384616
JR,8,05,06,0,0,1,19,NA,20,0
JR,8,15,01,20,0,5,25,NA,50,0.4
JR,8,15,02,30,0,1,19,NA,50,0.6
JR,8,15,03,25,0,1,27,NA,53,0.4716981132075472
JR,8,15,04,25,0,2,25,NA,52,0.4807692307692308
JR,8,15,05,25,0,2,25,NA,52,0.4807692307692308
JR,8,15,06,23,0,0,27,NA,50,0.46
JR,8,30,01,26,1,3,20,NA,50,0.54
JR,8,30,02,21,0,4,25,NA,50,0.42
JR,8,30,03,27,0,4,19,NA,50,0.54
JR,8,30,04,25,0,3,22,"two labelled as 'JR_08_30_05', one of them must be _04",50,0.5
JR,8,30,05,29,0,4,17,NA,50,0.58
JR,8,30,06,17,0,3,30,NA,50,0.34
JR,12,05,01,5,0,1,44,NA,50,0.1
JR,12,05,02,6,0,2,42,NA,50,0.12
JR,12,05,03,7,0,1,38,NA,46,0.15217391304347827
JR,12,05,04,5,0,3,42,NA,50,0.1
JR,12,05,05,6,0,2,42,NA,50,0.12
JR,12,05,06,4,0,6,40,NA,50,0.08
JR,12,15,01,14,10,1,25,NA,50,0.48
JR,12,15,02,13,11,0,26,NA,50,0.48
JR,12,15,03,12,2,4,32,NA,50,0.28
JR,12,15,04,15,9,1,25,NA,50,0.48
JR,12,15,05,11,10,3,26,NA,50,0.42
JR,12,15,06,12,12,0,26,NA,50,0.48
JR,12,30,01,25,9,0,16,NA,50,0.68
JR,12,30,02,28,6,1,17,NA,52,0.6538461538461539
JR,12,30,03,25,0,2,23,NA,50,0.5
JR,12,30,04,22,8,2,18,NA,50,0.6
JR,12,30,05,22,8,3,17,NA,50,0.6
JR,12,30,06,23,5,5,17,NA,50,0.56
JR,16,05,01,1,0,2,47,NA,50,0.02
JR,16,05,02,7,0,0,43,NA,50,0.14
JR,16,05,03,5,0,0,46,NA,51,0.09803921568627451
JR,16,05,04,5,0,0,45,NA,50,0.1
JR,16,05,05,2,0,0,48,NA,50,0.04
JR,16,05,06,2,0,1,47,NA,50,0.04
JR,16,15,01,5,30,0,15,NA,50,0.7
JR,16,15,02,7,21,1,15,NA,44,0.6363636363636364
JR,16,15,03,16,14,0,20,NA,50,0.6
JR,16,15,04,4,14,0,8,NA,26,0.6923076923076923
JR,16,15,05,10,23,0,17,NA,50,0.66
JR,16,15,06,5,23,1,21,NA,50,0.56
JR,16,30,01,16,27,0,7,NA,50,0.86
JR,16,30,02,35,15,1,6,NA,57,0.8771929824561403
JR,16,30,03,36,21,0,0,NA,57,1
JR,16,30,04,24,15,1,10,NA,50,0.78
JR,16,30,05,16,25,0,9,NA,50,0.82
JR,16,30,06,24,20,0,6,NA,50,0.88
JR,20,05,01,1,0,1,48,NA,50,0.02
JR,20,05,02,0,0,0,50,NA,50,0
JR,20,05,03,0,0,1,49,NA,50,0
JR,20,05,04,1,0,1,9,NA,11,0.09090909090909091
JR,20,05,05,0,0,0,50,NA,50,0
JR,20,05,06,0,0,0,50,NA,50,0
JR,20,15,01,5,0,6,39,NA,50,0.1
JR,20,15,02,6,0,0,44,NA,50,0.12
JR,20,15,03,12,0,0,38,NA,50,0.24
JR,20,15,04,15,0,2,42,NA,59,0.2542372881355932
JR,20,15,05,19,4,1,26,NA,50,0.46
JR,20,15,06,11,2,1,40,NA,54,0.24074074074074073
JR,20,30,01,11,28,0,15,NA,54,0.7222222222222222
JR,20,30,02,8,22,0,13,NA,43,0.6976744186046512
JR,20,30,03,13,26,0,12,NA,51,0.7647058823529411
JR,20,30,04,20,21,0,13,NA,54,0.7592592592592593
JR,20,30,05,20,11,0,13,NA,44,0.7045454545454546
JR,20,30,06,23,8,0,10,NA,41,0.7560975609756098
JR,24,05,01,0,0,0,50,NA,50,0
JR,24,05,02,0,0,0,50,NA,50,0
JR,24,05,03,0,0,0,50,NA,50,0
JR,24,05,04,0,0,0,42,NA,42,0
JR,24,05,05,0,0,0,50,NA,50,0
JR,24,05,06,0,0,0,50,NA,50,0
JR,24,15,01,0,0,0,50,NA,50,0
JR,24,15,02,0,0,0,50,NA,50,0
JR,24,15,03,0,0,0,50,NA,50,0
JR,24,15,04,0,0,0,50,NA,50,0
JR,24,15,05,0,0,0,50,NA,50,0
JR,24,15,06,0,0,0,50,NA,50,0
JR,24,30,01,0,0,12,38,NA,50,0
JR,24,30,02,0,0,4,46,NA,50,0
JR,24,30,03,0,0,4,30,NA,34,0
JR,24,30,04,0,0,11,39,NA,50,0
JR,24,30,05,0,0,6,44,NA,50,0
JR,24,30,06,0,0,8,42,NA,50,0
JR,28,05,01,0,0,0,50,NA,50,0
JR,28,05,02,0,0,0,12,NA,12,0
JR,28,05,03,0,0,0,50,NA,50,0
JR,28,05,04,0,0,0,50,NA,50,0
JR,28,05,05,0,0,0,50,NA,50,0
JR,28,05,06,0,0,0,50,NA,50,0
JR,28,15,01,0,0,0,50,NA,50,0
JR,28,15,02,0,0,0,50,NA,50,0
JR,28,15,03,0,0,0,50,NA,50,0
JR,28,15,04,0,0,0,50,NA,50,0
JR,28,15,05,0,0,0,50,NA,50,0
JR,28,15,06,0,0,0,50,NA,50,0
JR,28,30,01,0,0,0,50,NA,50,0
JR,28,30,02,0,0,0,50,NA,50,0
JR,28,30,03,0,0,0,50,NA,50,0
JR,28,30,04,0,0,0,50,lots of diatoms,50,0
JR,28,30,05,0,0,0,50,NA,50,0
JR,28,30,06,0,0,0,50,NA,50,0
JR,32,05,01,0,0,0,50,NA,50,0
JR,32,05,02,0,0,0,50,NA,50,0
JR,32,05,03,0,0,0,50,NA,50,0
JR,32,05,04,0,0,0,50,NA,50,0
JR,32,05,05,0,0,0,50,NA,50,0
JR,32,05,06,0,0,0,50,NA,50,0
JR,32,15,01,0,0,0,50,NA,50,0
JR,32,15,02,0,0,0,50,NA,50,0
JR,32,15,03,0,0,0,50,NA,50,0
JR,32,15,04,0,0,0,50,NA,50,0
JR,32,15,05,0,0,0,50,NA,50,0
JR,32,15,06,0,0,0,50,NA,50,0
JR,32,30,01,0,0,0,50,NA,50,0
JR,32,30,02,0,0,0,50,NA,50,0
JR,32,30,03,0,0,0,50,NA,50,0
JR,32,30,04,0,0,0,50,NA,50,0
JR,32,30,05,0,0,0,50,NA,50,0
JR,32,30,06,0,0,0,50,NA,50,0
