site,temp,length,rep
RP,5,134.764,01
RP,5,139.38,01
RP,5,130.521,01
RP,5,119.792,01
RP,5,127.982,01
RP,5,175.793,01
RP,5,135.096,01
RP,5,152.23,01
RP,5,198.122,01
RP,5,160.108,01
RP,5,108.131,02
RP,5,166.268,02
RP,5,141.238,02
RP,5,117.569,02
RP,5,160.835,02
RP,5,136.743,02
RP,5,137.188,02
RP,5,138.213,02
RP,5,152.107,02
RP,5,137.281,02
RP,5,93.318,03
RP,5,151.968,03
RP,5,30.004,03
RP,5,139.582,03
RP,5,78.164,03
RP,5,116.934,03
RP,5,130.559,03
RP,5,110.8,03
RP,5,133.211,03
RP,5,161.574,03
RP,5,139.405,03
RP,5,114.804,03
RP,5,140.896,03
RP,5,130.531,04
RP,5,97.342,04
RP,5,112.24,04
RP,5,100.143,04
RP,5,162.878,04
RP,5,139.979,04
RP,5,141.298,04
RP,5,141.584,04
RP,5,122.6,04
RP,5,133.094,04
RP,5,149.283,04
RP,5,143.2,05
RP,5,141.746,05
RP,5,123.022,05
RP,5,152.739,05
RP,5,133.012,05
RP,5,120.416,05
RP,5,146.012,05
RP,5,124.429,05
RP,5,167.212,05
RP,5,103.41,05
RP,5,138.224,05
RP,5,52.198,06
RP,5,120.74,06
RP,5,154.372,06
RP,5,110.182,06
RP,5,161.217,06
RP,5,134.355,06
RP,5,127.026,06
RP,5,110.979,06
RP,5,24.915,06
RP,5,107.517,06
RP,5,118.264,06
RP,10,165.649,01
RP,10,145.659,01
RP,10,156.344,01
RP,10,159.569,01
RP,10,143.727,01
RP,10,154.887,01
RP,10,161.37,01
RP,10,164.248,01
RP,10,152.615,01
RP,10,129.623,01
RP,10,145.944,01
RP,10,148.947,01
RP,10,157.311,01
RP,10,121.118,01
RP,10,152.428,01
RP,10,311.287,01
RP,10,348.717,01
RP,10,354.855,01
RP,10,265.931,02
RP,10,346.468,02
RP,10,408.95,02
RP,10,324.304,02
RP,10,234.927,02
RP,10,328.762,02
RP,10,297.963,02
RP,10,359.855,02
RP,10,346.828,02
RP,10,277.146,02
RP,10,314.468,03
RP,10,312.864,03
RP,10,297.632,03
RP,10,360.11,03
RP,10,346.588,03
RP,10,357.855,03
RP,10,346.987,03
RP,10,385.374,03
RP,10,312.809,03
RP,10,220.014,03
RP,10,376.783,04
RP,10,296.791,04
RP,10,400.953,04
RP,10,246.811,04
RP,10,341.182,04
RP,10,304.586,04
RP,10,272.682,04
RP,10,320.401,04
RP,10,291.687,04
RP,10,319.613,04
RP,10,268.774,05
RP,10,333.172,05
RP,10,205.477,05
RP,10,250.067,05
RP,10,306.472,05
RP,10,342.965,05
RP,10,377.815,05
RP,10,234.954,05
RP,10,308.198,05
RP,10,92.934,05
RP,10,356.336,06
RP,10,279.891,06
RP,10,365.547,06
RP,10,352.744,06
RP,10,316.767,06
RP,10,368.316,06
RP,10,322.433,06
RP,10,338.656,06
RP,10,332.232,06
RP,10,337.13,06
RP,15,460.12,01
RP,15,208.438,01
RP,15,408.481,01
RP,15,369.692,01
RP,15,316.765,01
RP,15,301.952,01
RP,15,426.075,01
RP,15,340.306,01
RP,15,481.127,01
RP,15,434.107,01
RP,15,617.984,02
RP,15,403.555,02
RP,15,443.462,02
RP,15,418.416,02
RP,15,484.854,02
RP,15,459.973,02
RP,15,392.18,02
RP,15,382.951,02
RP,15,402.701,02
RP,15,516.19,02
RP,15,391.947,03
RP,15,360.225,03
RP,15,414.194,03
RP,15,344.188,03
RP,15,450.317,03
RP,15,436.643,03
RP,15,492.594,03
RP,15,413.516,03
RP,15,182.912,03
RP,15,435.476,03
RP,15,360.313,04
RP,15,466.093,04
RP,15,414.264,04
RP,15,406.536,04
RP,15,479.532,04
RP,15,419.959,04
RP,15,467.064,04
RP,15,483.574,04
RP,15,536.235,04
RP,15,435.097,04
RP,15,447.555,05
RP,15,228.766,05
RP,15,NA,05
RP,15,439.498,05
RP,15,403.132,05
RP,15,400.972,05
RP,15,488.265,05
