1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 24000000405D8721
Is Mission Active?  true
Mission Start:  Wed May 24 01:00:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 1:00:00 AM,C,11.5
24/05/17 2:00:00 AM,C,11.5
24/05/17 3:00:00 AM,C,9.5
24/05/17 4:00:00 AM,C,9
24/05/17 5:00:00 AM,C,8.5
24/05/17 6:00:00 AM,C,9
24/05/17 7:00:00 AM,C,9
24/05/17 8:00:00 AM,C,9.5
24/05/17 9:00:00 AM,C,11
24/05/17 10:00:00 AM,C,11.5
24/05/17 11:00:00 AM,C,11.5
24/05/17 12:00:00 PM,C,11.5
24/05/17 1:00:00 PM,C,12
24/05/17 2:00:00 PM,C,12.5
24/05/17 3:00:00 PM,C,13.5
24/05/17 4:00:00 PM,C,26.5
24/05/17 5:00:00 PM,C,26.5
24/05/17 6:00:00 PM,C,22.5
24/05/17 7:00:00 PM,C,18
24/05/17 8:00:00 PM,C,15
24/05/17 9:00:00 PM,C,13
24/05/17 10:00:00 PM,C,12.5
24/05/17 11:00:00 PM,C,12
25/05/17 12:00:00 AM,C,12
25/05/17 1:00:00 AM,C,11.5
25/05/17 2:00:00 AM,C,11.5
25/05/17 3:00:00 AM,C,11.5
25/05/17 4:00:00 AM,C,9.5
25/05/17 5:00:00 AM,C,8.5
25/05/17 6:00:00 AM,C,8
25/05/17 7:00:00 AM,C,8.5
25/05/17 8:00:00 AM,C,9
25/05/17 9:00:00 AM,C,11.5
25/05/17 10:00:00 AM,C,18
25/05/17 11:00:00 AM,C,13
25/05/17 12:00:00 PM,C,13.5
25/05/17 1:00:00 PM,C,13
25/05/17 2:00:00 PM,C,13
25/05/17 3:00:00 PM,C,13.5
25/05/17 4:00:00 PM,C,15
25/05/17 5:00:00 PM,C,20
25/05/17 6:00:00 PM,C,18.5
25/05/17 7:00:00 PM,C,16.5
25/05/17 8:00:00 PM,C,14.5
25/05/17 9:00:00 PM,C,13
25/05/17 10:00:00 PM,C,14.5
25/05/17 11:00:00 PM,C,13
26/05/17 12:00:00 AM,C,11.5
26/05/17 1:00:00 AM,C,13
26/05/17 2:00:00 AM,C,12.5
26/05/17 3:00:00 AM,C,12
26/05/17 4:00:00 AM,C,12
26/05/17 5:00:00 AM,C,10
26/05/17 6:00:00 AM,C,9.5
26/05/17 7:00:00 AM,C,9.5
26/05/17 8:00:00 AM,C,10
26/05/17 9:00:00 AM,C,12.5
26/05/17 10:00:00 AM,C,19.5
26/05/17 11:00:00 AM,C,25
26/05/17 12:00:00 PM,C,15
26/05/17 1:00:00 PM,C,15
26/05/17 2:00:00 PM,C,15
26/05/17 3:00:00 PM,C,15.5
