1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CB00000040501121
Is Mission Active?  true
Mission Start:  Wed May 24 01:01:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 1:01:00 AM,C,11.5
24/05/17 2:01:00 AM,C,11
24/05/17 3:01:00 AM,C,10.5
24/05/17 4:01:00 AM,C,10
24/05/17 5:01:00 AM,C,9.5
24/05/17 6:01:00 AM,C,9.5
24/05/17 7:01:00 AM,C,9.5
24/05/17 8:01:00 AM,C,9.5
24/05/17 9:01:00 AM,C,12
24/05/17 10:01:00 AM,C,12.5
24/05/17 11:01:00 AM,C,11.5
24/05/17 12:01:00 PM,C,11.5
24/05/17 1:01:00 PM,C,12
24/05/17 2:01:00 PM,C,12
24/05/17 3:01:00 PM,C,13
24/05/17 4:01:00 PM,C,17.5
24/05/17 5:01:00 PM,C,17
24/05/17 6:01:00 PM,C,16
24/05/17 7:01:00 PM,C,15.5
24/05/17 8:01:00 PM,C,14
24/05/17 9:01:00 PM,C,13
24/05/17 10:01:00 PM,C,12.5
24/05/17 11:01:00 PM,C,12
25/05/17 12:01:00 AM,C,11.5
25/05/17 1:01:00 AM,C,11.5
25/05/17 2:01:00 AM,C,11.5
25/05/17 3:01:00 AM,C,11
25/05/17 4:01:00 AM,C,10.5
25/05/17 5:01:00 AM,C,9.5
25/05/17 6:01:00 AM,C,9
25/05/17 7:01:00 AM,C,9
25/05/17 8:01:00 AM,C,9.5
25/05/17 9:01:00 AM,C,12
25/05/17 10:01:00 AM,C,15
25/05/17 11:01:00 AM,C,13
25/05/17 12:01:00 PM,C,13.5
25/05/17 1:01:00 PM,C,13
25/05/17 2:01:00 PM,C,13
25/05/17 3:01:00 PM,C,13.5
25/05/17 4:01:00 PM,C,16.5
25/05/17 5:01:00 PM,C,18
25/05/17 6:01:00 PM,C,16.5
25/05/17 7:01:00 PM,C,15.5
25/05/17 8:01:00 PM,C,14
25/05/17 9:01:00 PM,C,13
25/05/17 10:01:00 PM,C,14
25/05/17 11:01:00 PM,C,12.5
26/05/17 12:01:00 AM,C,11.5
26/05/17 1:01:00 AM,C,12.5
26/05/17 2:01:00 AM,C,12.5
26/05/17 3:01:00 AM,C,12
26/05/17 4:01:00 AM,C,12
26/05/17 5:01:00 AM,C,11
26/05/17 6:01:00 AM,C,10.5
26/05/17 7:01:00 AM,C,10.5
26/05/17 8:01:00 AM,C,10.5
26/05/17 9:01:00 AM,C,12.5
26/05/17 10:01:00 AM,C,15.5
26/05/17 11:01:00 AM,C,17.5
26/05/17 12:01:00 PM,C,15
26/05/17 1:01:00 PM,C,15
26/05/17 2:01:00 PM,C,15
26/05/17 3:01:00 PM,C,15.5
26/05/17 4:01:00 PM,C,15.5
26/05/17 5:01:00 PM,C,17
26/05/17 6:01:00 PM,C,17
26/05/17 7:01:00 PM,C,16.5
26/05/17 8:01:00 PM,C,15.5
26/05/17 9:01:00 PM,C,14.5
26/05/17 10:01:00 PM,C,14
26/05/17 11:01:00 PM,C,15
27/05/17 12:01:00 AM,C,12.5
27/05/17 1:01:00 AM,C,11.5
27/05/17 2:01:00 AM,C,12.5
27/05/17 3:01:00 AM,C,12.5
27/05/17 4:01:00 AM,C,13
27/05/17 5:01:00 AM,C,12
27/05/17 6:01:00 AM,C,11.5
27/05/17 7:01:00 AM,C,11
27/05/17 8:01:00 AM,C,11.5
27/05/17 9:01:00 AM,C,13
27/05/17 10:01:00 AM,C,15.5
27/05/17 11:01:00 AM,C,17.5
27/05/17 12:01:00 PM,C,19.5
27/05/17 1:01:00 PM,C,16
27/05/17 2:01:00 PM,C,15
27/05/17 3:01:00 PM,C,15.5
27/05/17 4:01:00 PM,C,16
27/05/17 5:01:00 PM,C,15.5
27/05/17 6:01:00 PM,C,16
27/05/17 7:01:00 PM,C,15.5
27/05/17 8:01:00 PM,C,14.5
27/05/17 9:01:00 PM,C,14
27/05/17 10:01:00 PM,C,13.5
27/05/17 11:01:00 PM,C,14
28/05/17 12:01:00 AM,C,14.5
28/05/17 1:01:00 AM,C,12.5
28/05/17 2:01:00 AM,C,12
28/05/17 3:01:00 AM,C,12.5
28/05/17 4:01:00 AM,C,12.5
28/05/17 5:01:00 AM,C,13
28/05/17 6:01:00 AM,C,12.5
28/05/17 7:01:00 AM,C,12.5
28/05/17 8:01:00 AM,C,12.5
28/05/17 9:01:00 AM,C,13
28/05/17 10:01:00 AM,C,13.5
28/05/17 11:01:00 AM,C,15
28/05/17 12:01:00 PM,C,16.5
28/05/17 1:01:00 PM,C,18.5
28/05/17 2:01:00 PM,C,14.5
28/05/17 3:01:00 PM,C,15.5
28/05/17 4:01:00 PM,C,16
28/05/17 5:01:00 PM,C,16.5
28/05/17 6:01:00 PM,C,16
28/05/17 7:01:00 PM,C,15.5
28/05/17 8:01:00 PM,C,15
28/05/17 9:01:00 PM,C,14
28/05/17 10:01:00 PM,C,13.5
28/05/17 11:01:00 PM,C,13.5
29/05/17 12:01:00 AM,C,14.5
29/05/17 1:01:00 AM,C,14.5
29/05/17 2:01:00 AM,C,13.5
29/05/17 3:01:00 AM,C,11.5
29/05/17 4:01:00 AM,C,13
29/05/17 5:01:00 AM,C,13
29/05/17 6:01:00 AM,C,13
29/05/17 7:01:00 AM,C,13
29/05/17 8:01:00 AM,C,13
29/05/17 9:01:00 AM,C,13.5
29/05/17 10:01:00 AM,C,13.5
29/05/17 11:01:00 AM,C,14
29/05/17 12:01:00 PM,C,14
29/05/17 1:01:00 PM,C,14.5
29/05/17 2:01:00 PM,C,14.5
29/05/17 3:01:00 PM,C,13.5
29/05/17 4:01:00 PM,C,14
29/05/17 5:01:00 PM,C,14
29/05/17 6:01:00 PM,C,14
29/05/17 7:01:00 PM,C,14
29/05/17 8:01:00 PM,C,13.5
29/05/17 9:01:00 PM,C,13
29/05/17 10:01:00 PM,C,13
29/05/17 11:01:00 PM,C,12.5
30/05/17 12:01:00 AM,C,12.5
30/05/17 1:01:00 AM,C,13.5
30/05/17 2:01:00 AM,C,13.5
30/05/17 3:01:00 AM,C,13.5
30/05/17 4:01:00 AM,C,12.5
30/05/17 5:01:00 AM,C,13
30/05/17 6:01:00 AM,C,12.5
30/05/17 7:01:00 AM,C,12.5
30/05/17 8:01:00 AM,C,12.5
30/05/17 9:01:00 AM,C,12.5
30/05/17 10:01:00 AM,C,13
30/05/17 11:01:00 AM,C,13
30/05/17 12:01:00 PM,C,13.5
30/05/17 1:01:00 PM,C,14
30/05/17 2:01:00 PM,C,14.5
30/05/17 3:01:00 PM,C,15.5
30/05/17 4:01:00 PM,C,13
30/05/17 5:01:00 PM,C,12.5
30/05/17 6:01:00 PM,C,13
30/05/17 7:01:00 PM,C,13
30/05/17 8:01:00 PM,C,13
30/05/17 9:01:00 PM,C,12.5
30/05/17 10:01:00 PM,C,12
30/05/17 11:01:00 PM,C,12
31/05/17 12:01:00 AM,C,12
31/05/17 1:01:00 AM,C,12
31/05/17 2:01:00 AM,C,12
31/05/17 3:01:00 AM,C,12
31/05/17 4:01:00 AM,C,12
31/05/17 5:01:00 AM,C,12
31/05/17 6:01:00 AM,C,11.5
31/05/17 7:01:00 AM,C,11.5
31/05/17 8:01:00 AM,C,11.5
31/05/17 9:01:00 AM,C,11.5
31/05/17 10:01:00 AM,C,12
31/05/17 11:01:00 AM,C,13
31/05/17 12:01:00 PM,C,13
31/05/17 1:01:00 PM,C,14
31/05/17 2:01:00 PM,C,14
31/05/17 3:01:00 PM,C,14
31/05/17 4:01:00 PM,C,14
31/05/17 5:01:00 PM,C,13.5
31/05/17 6:01:00 PM,C,12.5
31/05/17 7:01:00 PM,C,12
31/05/17 8:01:00 PM,C,11.5
31/05/17 9:01:00 PM,C,11.5
31/05/17 10:01:00 PM,C,12
31/05/17 11:01:00 PM,C,12
01/06/17 12:01:00 AM,C,12
01/06/17 1:01:00 AM,C,12
01/06/17 2:01:00 AM,C,11.5
01/06/17 3:01:00 AM,C,12
01/06/17 4:01:00 AM,C,12
01/06/17 5:01:00 AM,C,11.5
01/06/17 6:01:00 AM,C,11.5
01/06/17 7:01:00 AM,C,11
01/06/17 8:01:00 AM,C,11.5
01/06/17 9:01:00 AM,C,11.5
01/06/17 10:01:00 AM,C,12
01/06/17 11:01:00 AM,C,13.5
01/06/17 12:01:00 PM,C,15
01/06/17 1:01:00 PM,C,16
01/06/17 2:01:00 PM,C,16
01/06/17 3:01:00 PM,C,16.5
01/06/17 4:01:00 PM,C,15.5
01/06/17 5:01:00 PM,C,12.5
01/06/17 6:01:00 PM,C,11.5
01/06/17 7:01:00 PM,C,11
01/06/17 8:01:00 PM,C,12
01/06/17 9:01:00 PM,C,12
01/06/17 10:01:00 PM,C,11.5
01/06/17 11:01:00 PM,C,11.5
02/06/17 12:01:00 AM,C,11.5
02/06/17 1:01:00 AM,C,11.5
02/06/17 2:01:00 AM,C,11.5
02/06/17 3:01:00 AM,C,11.5
02/06/17 4:01:00 AM,C,11.5
02/06/17 5:01:00 AM,C,11
02/06/17 6:01:00 AM,C,11
02/06/17 7:01:00 AM,C,11
02/06/17 8:01:00 AM,C,11
02/06/17 9:01:00 AM,C,11.5
02/06/17 10:01:00 AM,C,11.5
02/06/17 11:01:00 AM,C,13
02/06/17 12:01:00 PM,C,15
02/06/17 1:01:00 PM,C,16
02/06/17 2:01:00 PM,C,15
02/06/17 3:01:00 PM,C,18.5
02/06/17 4:01:00 PM,C,18
02/06/17 5:01:00 PM,C,18
02/06/17 6:01:00 PM,C,13
02/06/17 7:01:00 PM,C,12.5
02/06/17 8:01:00 PM,C,12
02/06/17 9:01:00 PM,C,12
02/06/17 10:01:00 PM,C,12
02/06/17 11:01:00 PM,C,12
03/06/17 12:01:00 AM,C,12
03/06/17 1:01:00 AM,C,12
03/06/17 2:01:00 AM,C,11.5
03/06/17 3:01:00 AM,C,11.5
03/06/17 4:01:00 AM,C,11.5
03/06/17 5:01:00 AM,C,11.5
03/06/17 6:01:00 AM,C,11.5
03/06/17 7:01:00 AM,C,13
03/06/17 8:01:00 AM,C,12.5
03/06/17 9:01:00 AM,C,12
03/06/17 10:01:00 AM,C,13
03/06/17 11:01:00 AM,C,13.5
03/06/17 12:01:00 PM,C,17
03/06/17 1:01:00 PM,C,21.5
03/06/17 2:01:00 PM,C,22
03/06/17 3:01:00 PM,C,22.5
03/06/17 4:01:00 PM,C,21.5
03/06/17 5:01:00 PM,C,20
03/06/17 6:01:00 PM,C,18
03/06/17 7:01:00 PM,C,14
03/06/17 8:01:00 PM,C,13.5
03/06/17 9:01:00 PM,C,13.5
03/06/17 10:01:00 PM,C,13.5
03/06/17 11:01:00 PM,C,13
04/06/17 12:01:00 AM,C,13
04/06/17 1:01:00 AM,C,12.5
04/06/17 2:01:00 AM,C,12
04/06/17 3:01:00 AM,C,11.5
04/06/17 4:01:00 AM,C,11.5
04/06/17 5:01:00 AM,C,11
04/06/17 6:01:00 AM,C,10
04/06/17 7:01:00 AM,C,10.5
04/06/17 8:01:00 AM,C,12
04/06/17 9:01:00 AM,C,12
04/06/17 10:01:00 AM,C,12.5
04/06/17 11:01:00 AM,C,13
04/06/17 12:01:00 PM,C,13
04/06/17 1:01:00 PM,C,18
04/06/17 2:01:00 PM,C,20
04/06/17 3:01:00 PM,C,21
04/06/17 4:01:00 PM,C,20.5
04/06/17 5:01:00 PM,C,19
04/06/17 6:01:00 PM,C,17.5
04/06/17 7:01:00 PM,C,15.5
04/06/17 8:01:00 PM,C,14.5
04/06/17 9:01:00 PM,C,14
04/06/17 10:01:00 PM,C,13.5
04/06/17 11:01:00 PM,C,13.5
05/06/17 12:01:00 AM,C,13.5
05/06/17 1:01:00 AM,C,13
05/06/17 2:01:00 AM,C,12
05/06/17 3:01:00 AM,C,11.5
05/06/17 4:01:00 AM,C,11
05/06/17 5:01:00 AM,C,10.5
05/06/17 6:01:00 AM,C,10.5
05/06/17 7:01:00 AM,C,10.5
05/06/17 8:01:00 AM,C,10.5
05/06/17 9:01:00 AM,C,12.5
