1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C800000040584F21
Is Mission Active?  true
Mission Start:  Wed May 24 00:59:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8604
Total Samples:  8604
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:59:00 AM,C,13.5
24/05/17 1:59:00 AM,C,11
24/05/17 2:59:00 AM,C,9.5
24/05/17 3:59:00 AM,C,8.5
24/05/17 4:59:00 AM,C,7.5
24/05/17 5:59:00 AM,C,7.5
24/05/17 6:59:00 AM,C,8
24/05/17 7:59:00 AM,C,8.5
24/05/17 8:59:00 AM,C,10
24/05/17 9:59:00 AM,C,10.5
24/05/17 10:59:00 AM,C,11
24/05/17 11:59:00 AM,C,13
24/05/17 12:59:00 PM,C,14.5
24/05/17 1:59:00 PM,C,21
24/05/17 2:59:00 PM,C,29.5
24/05/17 3:59:00 PM,C,35.5
24/05/17 4:59:00 PM,C,37.5
24/05/17 5:59:00 PM,C,37.5
24/05/17 6:59:00 PM,C,36.5
24/05/17 7:59:00 PM,C,31
24/05/17 8:59:00 PM,C,20
24/05/17 9:59:00 PM,C,14.5
24/05/17 10:59:00 PM,C,14
24/05/17 11:59:00 PM,C,14
25/05/17 12:59:00 AM,C,13.5
25/05/17 1:59:00 AM,C,13.5
25/05/17 2:59:00 AM,C,11.5
25/05/17 3:59:00 AM,C,10
25/05/17 4:59:00 AM,C,9
25/05/17 5:59:00 AM,C,8
25/05/17 6:59:00 AM,C,8
25/05/17 7:59:00 AM,C,8.5
25/05/17 8:59:00 AM,C,9.5
25/05/17 9:59:00 AM,C,11
25/05/17 10:59:00 AM,C,12
25/05/17 11:59:00 AM,C,15
25/05/17 12:59:00 PM,C,16
25/05/17 1:59:00 PM,C,16.5
25/05/17 2:59:00 PM,C,25.5
