1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7600000040606921
Is Mission Active?  true
Mission Start:  Wed May 24 00:58:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:58:00 AM,C,13.5
24/05/17 1:58:00 AM,C,11.5
24/05/17 2:58:00 AM,C,11
24/05/17 3:58:00 AM,C,10.5
24/05/17 4:58:00 AM,C,10.5
24/05/17 5:58:00 AM,C,10
24/05/17 6:58:00 AM,C,10.5
24/05/17 7:58:00 AM,C,11
24/05/17 8:58:00 AM,C,13
24/05/17 9:58:00 AM,C,12
24/05/17 10:58:00 AM,C,13.5
24/05/17 11:58:00 AM,C,14
24/05/17 12:58:00 PM,C,15
24/05/17 1:58:00 PM,C,22
24/05/17 2:58:00 PM,C,32
24/05/17 3:58:00 PM,C,34
24/05/17 4:58:00 PM,C,35.5
24/05/17 5:58:00 PM,C,34
24/05/17 6:58:00 PM,C,31
24/05/17 7:58:00 PM,C,27
24/05/17 8:58:00 PM,C,18
24/05/17 9:58:00 PM,C,14.5
24/05/17 10:58:00 PM,C,14
24/05/17 11:58:00 PM,C,14
25/05/17 12:58:00 AM,C,13.5
25/05/17 1:58:00 AM,C,13.5
25/05/17 2:58:00 AM,C,11.5
25/05/17 3:58:00 AM,C,11
25/05/17 4:58:00 AM,C,10.5
25/05/17 5:58:00 AM,C,10.5
25/05/17 6:58:00 AM,C,11
25/05/17 7:58:00 AM,C,11.5
25/05/17 8:58:00 AM,C,12
25/05/17 9:58:00 AM,C,12.5
25/05/17 10:58:00 AM,C,15
25/05/17 11:58:00 AM,C,15.5
25/05/17 12:58:00 PM,C,16
25/05/17 1:58:00 PM,C,16.5
25/05/17 2:58:00 PM,C,17.5
25/05/17 3:58:00 PM,C,32
25/05/17 4:58:00 PM,C,33
25/05/17 5:58:00 PM,C,32.5
25/05/17 6:58:00 PM,C,30
25/05/17 7:58:00 PM,C,26
25/05/17 8:58:00 PM,C,18
25/05/17 9:58:00 PM,C,16
25/05/17 10:58:00 PM,C,15.5
25/05/17 11:58:00 PM,C,15.5
26/05/17 12:58:00 AM,C,15
26/05/17 1:58:00 AM,C,15
26/05/17 2:58:00 AM,C,15
26/05/17 3:58:00 AM,C,12
26/05/17 4:58:00 AM,C,12
26/05/17 5:58:00 AM,C,11.5
26/05/17 6:58:00 AM,C,12
26/05/17 7:58:00 AM,C,12.5
26/05/17 8:58:00 AM,C,13
26/05/17 9:58:00 AM,C,13.5
26/05/17 10:58:00 AM,C,15
26/05/17 11:58:00 AM,C,23
26/05/17 12:58:00 PM,C,17
26/05/17 1:58:00 PM,C,17.5
26/05/17 2:58:00 PM,C,18
26/05/17 3:58:00 PM,C,24.5
26/05/17 4:58:00 PM,C,32.5
26/05/17 5:58:00 PM,C,32.5
26/05/17 6:58:00 PM,C,30
26/05/17 7:58:00 PM,C,26.5
26/05/17 8:58:00 PM,C,18.5
26/05/17 9:58:00 PM,C,16
26/05/17 10:58:00 PM,C,16
26/05/17 11:58:00 PM,C,16
27/05/17 12:58:00 AM,C,16
27/05/17 1:58:00 AM,C,15.5
27/05/17 2:58:00 AM,C,15.5
27/05/17 3:58:00 AM,C,15.5
27/05/17 4:58:00 AM,C,12.5
27/05/17 5:58:00 AM,C,12.5
27/05/17 6:58:00 AM,C,12.5
