1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: DA000000404D3021
Is Mission Active?  true
Mission Start:  Wed May 24 00:56:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:56:00 AM,C,13.5
24/05/17 1:56:00 AM,C,12
24/05/17 2:56:00 AM,C,9.5
24/05/17 3:56:00 AM,C,8.5
24/05/17 4:56:00 AM,C,7.5
24/05/17 5:56:00 AM,C,7
24/05/17 6:56:00 AM,C,7.5
24/05/17 7:56:00 AM,C,8
24/05/17 8:56:00 AM,C,12
24/05/17 9:56:00 AM,C,14.5
24/05/17 10:56:00 AM,C,13
24/05/17 11:56:00 AM,C,14
24/05/17 12:56:00 PM,C,15
24/05/17 1:56:00 PM,C,15.5
24/05/17 2:56:00 PM,C,33
24/05/17 3:56:00 PM,C,34.5
24/05/17 4:56:00 PM,C,34.5
24/05/17 5:56:00 PM,C,31.5
24/05/17 6:56:00 PM,C,27
24/05/17 7:56:00 PM,C,21
24/05/17 8:56:00 PM,C,16
24/05/17 9:56:00 PM,C,14
24/05/17 10:56:00 PM,C,14
24/05/17 11:56:00 PM,C,13.5
25/05/17 12:56:00 AM,C,13.5
25/05/17 1:56:00 AM,C,13.5
25/05/17 2:56:00 AM,C,11.5
25/05/17 3:56:00 AM,C,9.5
25/05/17 4:56:00 AM,C,8.5
25/05/17 5:56:00 AM,C,8
25/05/17 6:56:00 AM,C,8
25/05/17 7:56:00 AM,C,8
25/05/17 8:56:00 AM,C,12
25/05/17 9:56:00 AM,C,14.5
25/05/17 10:56:00 AM,C,16.5
25/05/17 11:56:00 AM,C,16
25/05/17 12:56:00 PM,C,16.5
25/05/17 1:56:00 PM,C,16.5
25/05/17 2:56:00 PM,C,17.5
25/05/17 3:56:00 PM,C,31.5
25/05/17 4:56:00 PM,C,32.5
25/05/17 5:56:00 PM,C,30.5
25/05/17 6:56:00 PM,C,26
25/05/17 7:56:00 PM,C,20.5
25/05/17 8:56:00 PM,C,16.5
25/05/17 9:56:00 PM,C,14
25/05/17 10:56:00 PM,C,15.5
25/05/17 11:56:00 PM,C,15
26/05/17 12:56:00 AM,C,14.5
26/05/17 1:56:00 AM,C,14
26/05/17 2:56:00 AM,C,15
26/05/17 3:56:00 AM,C,12
26/05/17 4:56:00 AM,C,10.5
26/05/17 5:56:00 AM,C,9.5
26/05/17 6:56:00 AM,C,9.5
26/05/17 7:56:00 AM,C,9.5
26/05/17 8:56:00 AM,C,13
26/05/17 9:56:00 AM,C,14.5
26/05/17 10:56:00 AM,C,18
26/05/17 11:56:00 AM,C,30
26/05/17 12:56:00 PM,C,17.5
26/05/17 1:56:00 PM,C,17.5
26/05/17 2:56:00 PM,C,18
26/05/17 3:56:00 PM,C,19
26/05/17 4:56:00 PM,C,30
26/05/17 5:56:00 PM,C,29.5
26/05/17 6:56:00 PM,C,26
26/05/17 7:56:00 PM,C,20.5
26/05/17 8:56:00 PM,C,17
26/05/17 9:56:00 PM,C,14.5
26/05/17 10:56:00 PM,C,16
26/05/17 11:56:00 PM,C,16
27/05/17 12:56:00 AM,C,15.5
27/05/17 1:56:00 AM,C,15.5
27/05/17 2:56:00 AM,C,15.5
27/05/17 3:56:00 AM,C,15.5
27/05/17 4:56:00 AM,C,12
27/05/17 5:56:00 AM,C,10.5
27/05/17 6:56:00 AM,C,10
27/05/17 7:56:00 AM,C,10.5
27/05/17 8:56:00 AM,C,13
27/05/17 9:56:00 AM,C,14.5
27/05/17 10:56:00 AM,C,18
27/05/17 11:56:00 AM,C,31
27/05/17 12:56:00 PM,C,36
27/05/17 1:56:00 PM,C,18.5
27/05/17 2:56:00 PM,C,18
27/05/17 3:56:00 PM,C,18
27/05/17 4:56:00 PM,C,20
27/05/17 5:56:00 PM,C,26.5
27/05/17 6:56:00 PM,C,24.5
27/05/17 7:56:00 PM,C,19
27/05/17 8:56:00 PM,C,15.5
27/05/17 9:56:00 PM,C,13.5
27/05/17 10:56:00 PM,C,12
27/05/17 11:56:00 PM,C,15.5
28/05/17 12:56:00 AM,C,15.5
28/05/17 1:56:00 AM,C,14.5
28/05/17 2:56:00 AM,C,14.5
28/05/17 3:56:00 AM,C,15
28/05/17 4:56:00 AM,C,15.5
28/05/17 5:56:00 AM,C,13
28/05/17 6:56:00 AM,C,13
28/05/17 7:56:00 AM,C,14
28/05/17 8:56:00 AM,C,15.5
28/05/17 9:56:00 AM,C,16.5
28/05/17 10:56:00 AM,C,19.5
28/05/17 11:56:00 AM,C,26
28/05/17 12:56:00 PM,C,34.5
28/05/17 1:56:00 PM,C,38.5
28/05/17 2:56:00 PM,C,18.5
28/05/17 3:56:00 PM,C,18.5
28/05/17 4:56:00 PM,C,18
28/05/17 5:56:00 PM,C,20.5
28/05/17 6:56:00 PM,C,21
28/05/17 7:56:00 PM,C,16.5
28/05/17 8:56:00 PM,C,13.5
28/05/17 9:56:00 PM,C,13
28/05/17 10:56:00 PM,C,12.5
28/05/17 11:56:00 PM,C,12.5
29/05/17 12:56:00 AM,C,15.5
29/05/17 1:56:00 AM,C,14.5
