1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2700000040621421
Is Mission Active?  true
Mission Start:  Wed May 24 00:54:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:54:00 AM,C,13
24/05/17 1:54:00 AM,C,13
24/05/17 2:54:00 AM,C,13.5
24/05/17 3:54:00 AM,C,13
24/05/17 4:54:00 AM,C,13
24/05/17 5:54:00 AM,C,13
24/05/17 6:54:00 AM,C,13
24/05/17 7:54:00 AM,C,13.5
24/05/17 8:54:00 AM,C,16.5
24/05/17 9:54:00 AM,C,21.5
24/05/17 10:54:00 AM,C,26
24/05/17 11:54:00 AM,C,28.5
24/05/17 12:54:00 PM,C,32.5
24/05/17 1:54:00 PM,C,35
24/05/17 2:54:00 PM,C,35
24/05/17 3:54:00 PM,C,14
24/05/17 4:54:00 PM,C,12.5
24/05/17 5:54:00 PM,C,12.5
24/05/17 6:54:00 PM,C,12.5
24/05/17 7:54:00 PM,C,12.5
24/05/17 8:54:00 PM,C,12
24/05/17 9:54:00 PM,C,12
24/05/17 10:54:00 PM,C,10
24/05/17 11:54:00 PM,C,9.5
25/05/17 12:54:00 AM,C,9.5
25/05/17 1:54:00 AM,C,12
25/05/17 2:54:00 AM,C,12
25/05/17 3:54:00 AM,C,12
25/05/17 4:54:00 AM,C,12
25/05/17 5:54:00 AM,C,12
25/05/17 6:54:00 AM,C,12
25/05/17 7:54:00 AM,C,12
25/05/17 8:54:00 AM,C,16
25/05/17 9:54:00 AM,C,20.5
25/05/17 10:54:00 AM,C,26
25/05/17 11:54:00 AM,C,30.5
25/05/17 12:54:00 PM,C,32.5
25/05/17 1:54:00 PM,C,35.5
25/05/17 2:54:00 PM,C,36.5
