slide,germinated,ungerminated,dead,tufts,notes
BI05_01,18,16,2,0,
BI05_02,39,61,9,0,
BI05_03,22,80,4,0,
BI05_04,23,84,2,0,
BI05_05,35,67,3,0,
BI05_06,2,70,0,0,
BI15_01,27,21,7,0,
BI15_02,32,17,14,0,
BI15_03,26,14,19,0,
BI15_04,35,25,21,0,
BI15_05,42,22,27,0,
BI15_06,38,31,18,1,
BI20_01,27,12,17,0,
BI20_02,42,55,10,3,
BI20_03,35,15,15,3,
BI20_04,15,16,13,2,
BI20_05,17,32,35,2,
BI20_06,16,22,13,4,
BI25_01,5,8,26,0,
BI25_02,4,6,38,2,
BI25_03,2,5,23,4,
BI25_04,12,13,13,4,
BI25_05,0,1,14,0,
BI25_06,2,10,14,3,
BI30_01,0,7,56,37,
BI30_02,0,7,17,21,
BI30_03,0,4,16,10,
BI30_04,0,1,12,4,
BI30_05,0,1,9,4,
BI30_06,0,3,6,2,
NP05_01,102,16,0,0,
NP05_02,93,12,0,0,
NP05_03,79,55,1,0,
NP05_04,6,101,0,0,
NP05_05,89,12,0,0,
NP05_06,90,10,0,0,
NP10_01,101,3,1,0,
NP10_02,99,5,0,0,
NP10_03,95,3,3,0,
NP10_04,103,3,1,0,
NP10_05,117,3,0,0,
NP10_06,101,1,2,0,
NP15_01,100,0,0,0,
NP15_02,100,0,0,0,
NP15_03,99,1,0,0,
NP15_04,99,1,0,0,
NP15_05,100,0,0,0,
NP15_06,100,0,0,0,
NP20_01,95,2,3,0,
NP20_02,99,0,1,0,
NP20_03,12,4,1,1,
NP20_04,110,2,0,0,
NP20_05,104,1,1,1,
NP20_06,98,2,0,0,
NP25_01,40,11,13,21,
NP25_02,3,2,6,4,
NP25_03,60,30,3,7,
NP25_04,54,27,10,9,
NP25_05,10,16,15,16,
NP25_06,30,35,20,15,
NP30_01,0,2,34,1,
NP30_02,0,0,40,0,
NP30_03,0,0,27,1,
NP30_04,0,3,15,0,
NP30_05,0,1,14,1,
NP30_06,0,2,30,18,
RP05_01,80,13,7,0,
RP05_02,79,34,9,0,
RP05_03,73,24,10,0,
RP05_04,43,40,17,0,
RP05_05,65,18,20,0,
RP05_06,71,21,8,0,
RP10_01,74,9,28,0,
RP10_02,73,13,44,1,
RP10_03,55,14,37,1,
RP10_04,65,9,52,0,
RP10_05,32,17,8,1,
RP10_06,90,16,22,0,
RP15_01,49,7,44,0,
RP15_02,35,23,42,0,
RP15_03,52,8,40,0,
RP15_04,61,6,32,1,
RP15_05,34,10,56,0,
RP15_06,29,13,58,0,
RP20_01,32,42,25,1,
RP20_03,23,54,22,2,
RP20_04,18,36,43,3,
RP20_05,29,43,26,2,
RP20_05,96,3,2,0,
RP20_06,28,47,27,2,
RP25_01,3,20,77,0,
RP25_02,0,8,85,7,
RP25_03,0,19,81,0,
RP25_04,2,28,68,2,
RP25_05,4,19,77,0,
RP25_06,10,40,32,22,
RP30_01,1,9,51,40,
RP30_02,,,,,
RP30_03,0,1,103,1,
RP30_04,0,2,102,3,
RP30_05,1,1,99,6,
RP30_06,0,3,101,2,
