photo,individual,length,Notes,legend
RP22T10SCN_1-1,1,366.995,,"""lysed"" = definitely lysed"
RP22T10SCN_4-1,1,139.103,,"""lysed?"" = possibly lysed"
RP22T10SCN_5-1,1,187.191,,"""lysing?"" = in the process of lysing"
RP22T10SCN_5-2,1,167.626,,"""blank cell"" = uncertain as to if there is any germling in the picture at all"
RP22T10SEN_2-2,1,84.441,,
RP22T20SCN_1-1,1,383.917,,
RP22T20SCN_1-2,1,209.066,,
RP22T20SCN_1-3,1,196.072,,
RP22T20SCN_1-4,1,158.385,,
RP22T20SCN_1-5,1,101.117,,
RP22T20SCN_1-6,1,310.908,,
RP22T20SCN_1-7,1,436.411,,
RP22T20SCN_1-8,1,140.943,,
RP22T20SCN_1-9,1,322.38,,
RP22T20SCN_1-10,1,294.555,,
RP22T20SCN_2-1,1,97.708,,
RP22T20SCN_2-2,1,391.638,,
RP22T20SCN_2-3,,,lysed?,
RP22T20SCN_2-4,1,256.739,,
RP22T20SCN_2-5,1,339.068,,
RP22T20SCN_2-6,,,lysed?,
RP22T20SCN_2-7,1,633.567,,
RP22T20SCN_2-8,1,315.993,,
RP22T20SCN_2-9,1,424.962,Difficult to tell if there is a longer rhizoid that could be measured,
RP22T20SCN_3-1,1,466.475,,
RP22T20SCN_3-2,1,501.009,,
RP22T20SCN_3-3,1,385.544,,
RP22T20SCN_4-1,1,228.747,,
RP22T20SCN_4-2,1,88.101,,
RP22T20SCN_4-3,1,143.75,,
RP22T20SCN_4-4,,,,
RP22T20SCN_5-1,1,345.585,,
RP22T20SCN_5-2,1,390.682,,
RP22T20SCN_5-3,1,362.156,,
RP22T20SCN_5-4,,,lysed?,
RP22T20SCN_6-1,1,279.522,,
RP22T20SCN_6-2,1,184.624,,
RP22T20SCN_6-3,,,,
RP22T20SCN_6-4,1,204.187,,
RP22T20SCN_6-5,1,511.153,,
RP22T20SCN_6-6,1,492.634,,
RP22T20SCN_6-7,1,453.709,,
RP22T20SCN_6-8,1,534.887,,
RP22T20SCN_6-9,1,137.544,lysing?,
RP22T20SCN_6-10,1,469.148,,
RP22T20SEN_1-1,,,lysed?,
RP22T20SEN_1-2,1,420.733,,
RP22T20SEN_1-3,,,lysed?,
RP22T20SEN_3-1,1,402.024,,
RP22T20SEN_3-2,1,398.737,,
RP22T20SEN_3-3,1,310.599,,
RP22T20SEN_3-4,,,lysed?,
RP22T20SEN_3-5,1,314.551,,
RP22T20SEN_3-6,1,488.68,,
RP22T20SEN_3-7,1,405.238,,
RP22T20SEN_3-8,1,439.739,,
RP22T20SEN_3-9,1,146.466,,
RP22T20SEN_3-10,1,249.795,,
RP22T20SEN_4-1,1,488.666,,
RP22T20SEN_4-2,1,501.149,,
RP22T20SEN_4-3,1,227.223,,
RP22T20SEN_4-4,1,209.791,,
RP22T20SEN_5-1,1,136.162,,
RP22T20SEN_5-2,1,225.945,,
RP22T20SEN_5-3,1,277.977,,
RP22T20SEN_5-4,1,76.121,,
RP22T20SEN_5-5,1,312.42,,
RP22T20SEN_5-6,1,363.988,,
RP22T20SEN_5-7,1,306.457,,
RP22T20SEN_5-8,1,433.724,,
RP22T20SEN_5-9,1,367.627,,
RP22T20SEN_5-10,1,243.139,,
RP22T20SEN_6-1,,,lysed?,
RP22T30SCN_1-1,1,488.198,,
RP22T30SCN_1-2,1,229.581,,
RP22T30SCN_1-3,1,565.888,,
RP22T30SCN_1-4,1,334.89,,
RP22T30SCN_1-5,1,331.071,,
RP22T30SCN_1-6,1,301.367,,
RP22T30SCN_1-7,1,337.126,,
RP22T30SCN_1-7,2,429.105,,
RP22T30SCN_1-7,3,430.96,,
RP22T30SCN_3-1,1,550.072,,
RP22T30SCN_3-2,1,285.03,,
RP22T30SCN_3-3,1,584.554,,
RP22T30SCN_3-4,1,369.487,,
RP22T30SCN_4-1,1,404.022,Photo name: RP22T30SCN-4-1,
RP22T30SCN_4-2,,,Photo name: RP22T30SCN-4-2; lysed?,
RP22T30SCN_4-3,1,495.672,Photo name: RP22T30SCN-4-3,
RP22T30SCN_4-3,2,589.469,Photo name: RP22T30SCN-4-3,
RP22T30SCN_4-4,1,492.456,Photo name: RP22T30SCN-4-4,
RP22T30SCN_4-5,1,270.379,Photo name: RP22T30SCN-4-5,
RP22T30SCN_4-5,2,718.779,Photo name: RP22T30SCN-4-5,
RP22T30SCN_4-6,1,597.482,Photo name: RP22T30SCN-4-6,
RP22T30SCN_4-7,1,442.351,Photo name: RP22T30SCN-4-7,
RP22T30SCN_4-8,,,Photo name: RP22T30SCN-4-8; lysed?,
RP22T30SCN_5-1,1,393.37,,
RP22T30SCN_5-2,1,533.289,,
RP22T30SCN_5-3,1,332.488,,
RP22T30SCN_5-4,1,647.44,,
RP22T30SCN_5-5,1,237.036,,
RP22T30SCN_5-5,2,161.749,,
RP22T30SCN_5-6,1,424.473,,
RP22T30SCN_5-6,2,83.711,,
RP22T30SCN_5-7,1,781.007,,
RP22T30SCN_5-8,1,503.703,,
RP22T30SCN_6-1,1,200.823,,
RP22T30SCN_6-2,1,759.818,,
RP22T30SCN_6-3,1,524.396,,
RP22T30SCN_6-4,,,,
RP22T30SCN_6-5,1,295.427,,
RP22T30SCN_6-6,1,452.563,,
RP22T30SCN_6-7,1,177.255,,
RP22T30SCN_6-8,,,lysed,
RP22T30SCN_6-9,1,528.152,,
RP22T30SCN_6-10,1,431.575,,
RP22T30SEN_1-1,1,488.218,,
RP22T30SEN_1-1,2,335.57,,
RP22T30SEN_1-2,1,290.17,,
RP22T30SEN_1-3,1,582.28,,
RP22T30SEN_1-4,1,421.084,,
RP22T30SEN_1-4,2,157.605,,
RP22T30SEN_1-5,1,466.111,,
RP22T30SEN_1-6,,,lysed?,
RP22T30SEN_1-7,,,,
RP22T30SEN_1-8,1,282.137,,
RP22T30SEN_1-8,2,462.23,,
RP22T30SEN_2-1,,,lysed,
RP22T30SEN_2-2,1,448.925,,
RP22T30SEN_2-3,1,458.065,,
RP22T30SEN_2-3,2,595.838,,
RP22T30SEN_2-4,,,,
RP22T30SEN_2-5,1,372.629,,
RP22T30SEN_2-6,1,260.982,,
RP22T30SEN_2-6,2,292.512,,
RP22T30SEN_2-7,1,636.622,,
RP22T30SEN_2-7,2,414.305,,
RP22T30SEN_4-1,1,439.423,,
RP22T30SEN_4-2,1,344.433,,
RP22T30SEN_4-3,1,640.452,,
RP22T30SEN_4-4,1,371.669,,
RP22T30SEN_4-5,1,316.175,,
RP22T30SEN_4-6,1,199.021,,
RP22T30SEN_4-7,1,415.102,,
RP22T30SEN_4-8,1,365.146,,
RP22T30SEN_4-8,2,345.745,,
RP22T30SEN_4-9,1,431.423,,
RP22T30SEN_6-1,1,592.898,,
RP22T30SEN_6-2,1,569.765,,
RP22T30SEN_6-3,1,473.492,,
RP22T30SEN_6-4,1,679.833,,
RP22T30SEN_6-5,1,397.496,,
RP22T30SEN_6-6,1,453.851,,
RP22T30SEN_6-7,1,374.547,,
RP22T30SEN_6-8,1,521.215,,
RP22T30SEN_6-9,1,208.21,,
RP22T30SEN_6-10,1,327.51,,
RP24T10SCN_1-1,,,lysed,
RP24T10SCN_1-2,,,lysed?,
RP24T10SCN_4-1,1,75.999,,
RP24T10SCN_4-2,,,lysed?,
RP24T20SCN_5-1,1,164.708,,
RP24T20SCN_6-1,1,249.813,,
RP24T20SCN_6-2,,,,
RP24T20SCN_6-3,1,192.415,,
RP24T20SCN_6-4,1,182.578,,
RP24T20SEN_4-1,,,lysed?,
RP24T30SCN_1-1,1,204.067,,
RP24T30SCN_1-2,1,108.614,,
RP24T30SCN_2-1,,,,
RP24T30SCN_2-2,,,,
RP24T30SCN_2-3,1,159.917,,
RP24T30SCN_4-1,1,92.453,,
RP24T30SCN_4-2,,,lysed,
RP24T30SCN_4-3,,,lysed?,
RP24T30SCN_5-1,1,163.144,,
RP24T30SCN_5-2,1,176.673,,
RP24T30SCN_5-3,1,153.906,,
RP24T30SCN_5-4,1,46.781,,
RP24T30SEN_1-1,1,313.888,,
RP24T30SEN_1-2,1,138.705,,
RP24T30SEN_2-1,1,132.763,,
RP24T30SEN_3-1,1,157.474,,
RP24T30SEN_5-1,1,97.838,,
RP24T30SEN_5-2,,,lysed?,
RP24T30SEN_5-3,1,94.15,,
RP24T30SEN_5-3,2,40.44,,
RP24T30SEN_6-1,1,57.035,,
RP24T30SEN_6-2,1,167.282,,
RP24T30SEN_6-3,1,221.797,,
RP24T30SEN_6-4,1,225.719,,
RP24T30SEN_6-5,1,282.335,,
RP24T30SEN_6-6,1,256.982,,
RP24T30SEN_6-7,1,132.276,,
RP24T30SEN_6-8,1,37.751,,
RP24T30SEN_6-9,1,234.167,,
RP24T30SEN_6-10,1,86.433,,
RP26T30SEN_1-1,1,619.036,,
RP28T10SCN_5-1,1,65.195,,
NP24T10SCN_2-8,1,163.891,,
NP24T20SEN_2-3,1,167.702,,
NP24T10SCN_1-4,1,255.271,,
NP24T10SCN_1-6,1,251.444,,
NP24T10SCN_2-7,1,390.952,,
NP24T10SCN_2-2,1,317.157,,
NP24T10SCN_3-2,1,177.488,,
NP24T10SCN_2-9,1,258.413,,
NP24T10SCN_2-9,2,189.473,,
NP24T10SCN_1-3,1,74.291,,
NP24T10SCN_3-1,1,198.164,,
NP24T10SCN_2-4,1,317.065,,
NP24T10SCN_1-7,1,242.255,,
NP24T10SCN_1-2,1,228.558,,
NP24T10SCN_2-6,1,329.931,,
NP24T10SCN_1-5,1,324.333,,
NP24T10SCN_1-1,1,81.641,,
NP24T10SCN_3-3,1,146.874,,
NP24T10SCN_2-3,1,264.154,,
NP24T10SCN_3-4,1,297.173,,
NP24T10SCN_2-1,1,279.444,,
NP24T10SCN_2-5,1,116.696,,
NP24T10SCN_3-80001,1,268.346,?,
NP24T10SCN_4-2,1,156.562,,
NP24T10SCN_4-1,1,182.169,,
