picture,individual,length,notes
RP05_01-1,1,134.764,
RP05_01-2,1,139.38,
RP05_01-3,1,130.521,
RP05_01-3,1,119.792,
RP05_01-4,1,127.982,
RP05_01-4,2,175.793,
RP05_01-4,3,135.096,
RP05_01-5,1,152.23,
RP05_01-6,1,198.122,
RP05_01-7,1,160.108,
RP05_02-1,1,108.131,
RP05_02-2,1,166.268,
RP05_02-3,1,141.238,
RP05_02-3,2,117.569,
RP05_02-4,1,160.835,
RP05_02-4,2,136.743,
RP05_02-5,1,137.188,
RP05_02-6,1,138.213,
RP05_02-7,1,152.107,
RP05_02-7,2,137.281,
RP05_03-1,1,93.318,
RP05_03-2,1,151.968,
RP05_03-2,2,30.004,
RP05_03-3,1,139.582,
RP05_03-4,1,78.164,
RP05_03-5,1,116.934,
RP05_03-5,2,130.559,
RP05_03-5,3,110.8,
RP05_03-5,4,133.211,
RP05_03-5,5,161.574,
RP05_03-6,1,139.405,
RP05_03-6,2,114.804,
RP05_03-6,3,140.896,
RP05_04-1,1,130.531,
RP05_04-2,1,97.342,
RP05_04-3,1,112.24,
RP05_04-3,2,100.143,
RP05_04-4,1,162.878,
RP05_04-4,2,139.979,
RP05_04-5,1,141.298,
RP05_04-6,1,141.584,
RP05_04-7,1,122.6,
RP05_04-8,1,133.094,
RP05_04-8,2,149.283,
RP05_05-1,1,143.2,picture named RP05_05
RP05_05-1,2,141.746,
RP05_05-2,1,123.022,
RP05_05-3,1,152.739,
RP05_05-4,1,133.012,
RP05_05-4,2,120.416,
RP05_05-5,1,146.012,
RP05_05-6,1,124.429,
RP05_05-7,1,167.212,
RP05_05-8,1,103.41,
RP05_05-9,1,138.224,
RP05_06-1,1,52.198,
RP05_06-2,1,120.74,
RP05_06-3,1,154.372,
RP05_06-4,1,110.182,
RP05_06-5,1,161.217,
RP05_06-6,1,134.355,
RP05_06-7,1,127.026,
RP05_06-8,1,110.979,
RP05_06-9,1,24.915,
RP05_06-10,1,107.517,
RP05_06-10,2,118.264,
RP10_01-1,1,165.649,
RP10_01-1,2,145.659,
RP10_01-1,3,156.344,
RP10_01-2,1,159.569,picture named RP10_02
RP10_01-2,2,143.727,picture named RP10_02
RP10_01-2,3,154.887,picture named RP10_02
RP10_01-3,1,161.37,picture named RP10_03
RP10_01-3,2,164.248,picture named RP10_03
RP10_01-3,3,152.615,picture named RP10_03
RP10_01-4,1,129.623,picture named RP10_04
RP10_01-4,2,145.944,picture named RP10_04
RP10_01-5,1,148.947,picture named RP10_05
RP10_01-5,2,157.311,picture named RP10_05
RP10_01-5,3,121.118,picture named RP10_05
RP10_01-5,4,152.428,picture named RP10_05
RP10_01-6,1,311.287,picture named RP10_05
RP10_01-7,1,348.717,picture named RP10_06
RP10_01-8,1,354.855,picture named RP10_07
RP10_02-1,1,265.931,
RP10_02-2,1,346.468,
RP10_02-3,1,408.95,
RP10_02-4,1,324.304,
RP10_02-5,1,234.927,
RP10_02-6,1,328.762,
RP10_02-6,2,297.963,
RP10_02-7,1,359.855,
RP10_02-8,1,346.828,
RP10_02-9,1,277.146,
RP10_03-1,1,314.468,
RP10_03-2,1,312.864,
RP10_03-3,1,297.632,
RP10_03-4,1,360.11,
RP10_03-5,1,346.588,
RP10_03-6,1,357.855,
RP10_03-7,1,346.987,
RP10_03-8,1,385.374,
RP10_03-9,1,312.809,
RP10_03-10,1,220.014,
RP10_04-1,1,376.783,
RP10_04-2,1,296.791,
RP10_04-3,1,400.953,
RP10_04-4,1,246.811,
RP10_04-5,1,341.182,
RP10_04-6,1,304.586,
RP10_04-6,2,272.682,
RP10_04-7,1,320.401,
RP10_04-8,1,291.687,
RP10_04-8,2,319.613,
RP10_05-1,1,268.774,
RP10_05-2,1,333.172,
RP10_05-3,1,205.477,
RP10_05-3,2,250.067,
RP10_05-4,1,306.472,
RP10_05-5,1,342.965,
RP10_05-6,1,377.815,
RP10_05-7,1,234.954,
RP10_05-8,1,308.198,
RP10_05-9,1,92.934,
RP10_06-1,1,356.336,
RP10_06-2,1,279.891,
RP10_06-3,1,365.547,
RP10_06-4,1,352.744,
RP10_06-5,1,316.767,
RP10_06-6,1,368.316,
RP10_06-6,2,322.433,
RP10_06-6,3,338.656,
RP10_06-7,1,332.232,
RP10_06-7,2,337.13,
RP15_01-1,1,460.12,
RP15_01-2,1,208.438,
RP15_01-3,1,408.481,
RP15_01-4,1,369.692,
RP15_01-5,1,316.765,
RP15_01-6,1,301.952,
RP15_01-7,1,426.075,
RP15_01-8,1,340.306,
RP15_01-9,1,481.127,
RP15_01-10,1,434.107,
RP15_02-1,1,617.984,
RP15_02-2,1,403.555,
RP15_02-3,1,443.462,
RP15_02-4,1,418.416,
RP15_02-5,1,484.854,
RP15_02-6,1,459.973,
RP15_02-7,1,392.18,
RP15_02-8,1,382.951,
RP15_02-9,1,402.701,
RP15_02-10,1,516.19,
RP15_03-1,1,391.947,
RP15_03-2,1,360.225,
RP15_03-3,1,414.194,
RP15_03-4,1,344.188,
RP15_03-5,1,450.317,
RP15_03-6,1,436.643,
RP15_03-7,1,492.594,
RP15_03-8,1,413.516,
RP15_03-9,1,182.912,
RP15_03-10,1,435.476,
RP15_04-1,1,360.313,
RP15_04-2,1,466.093,
RP15_04-3,1,414.264,
RP15_04-4,1,406.536,
RP15_04-5,1,479.532,
RP15_04-6,1,419.959,
RP15_04-7,1,467.064,
RP15_04-8,1,483.574,
RP15_04-9,1,536.235,
RP15_04-10,1,435.097,
RP15_05-1,1,447.555,
RP15_05-2,1,228.766,
RP15_05-3,,,dead
RP15_05-4,1,439.498,
RP15_05-5,1,403.132,
RP15_05-6,1,400.972,
RP15_05-7,1,488.265,
RP15_05-8,1,434.97,
RP15_05-9,1,484.764,
RP15_05-10,1,429.146,
RP15_06-1,1,398.488,
RP15_06-2,1,420.09,
RP15_06-3,1,380.596,
RP15_06-4,1,322.428,
RP15_06-5,1,321.996,
RP15_06-6,1,420.249,
RP15_06-7,1,335.466,
RP15_06-8,1,145.207,
RP15_06-9,1,371.473,
RP15_06-10,1,322.366,
RP20_01-1,1,390.683,
RP20_01-2,1,384.447,
RP20_01-3,1,273.606,
RP20_01-4,1,378.044,
RP20_01-4,2,173.795,
RP20_01-5,1,363.938,
RP20_01-5,2,175.538,
RP20_01-6,1,290.661,
RP20_01-7,1,188.956,
RP20_01-7,2,160.001,
RP20_01-7,3,187.041,
RP20_02-1,1,408.601,
RP20_02-2,1,327.84,
RP20_02-3,1,418.774,
RP20_02-4,1,313.408,
RP20_02-5,1,383.716,
RP20_02-6,1,375.9,
RP20_02-7,1,354.065,
RP20_02-8,1,197.585,
RP20_02-9,1,304.254,
RP20_03-1,1,458.207,
RP20_03-2,1,329.971,
RP20_03-3,1,349.576,
RP20_03-4,1,435.131,
RP20_03-5,1,418.422,
RP20_03-6,1,371.488,
RP20_03-7,1,371.395,
RP20_03-8,1,419.135,
RP20_03-9,1,261.76,
RP20_03-10,1,486.435,
RP20_04-1,1,195.872,
RP20_04-2,1,216.313,
RP20_04-3,1,303.251,
RP20_04-4,1,336.217,
RP20_04-5,1,309.399,
RP20_04-6,1,474.203,
RP20_04-7,1,295.84,
RP20_04-8,1,416.009,
RP20_04-9,1,448.398,
RP20_04-10,1,230.482,
RP20_05-1,1,368.677,
RP20_05-2,1,365.827,
RP20_05-3,1,395.933,
RP20_05-4,1,411.556,
RP20_05-5,1,316.353,
RP20_05-6,1,337.115,
RP20_05-7,1,210.222,
RP20_05-7,2,367.878,
RP20_05-8,1,306.318,
RP20_05-8,2,373.521,
RP20_05-9,1,393.243,
RP20_06-1,1,272.439,
RP20_06-2,1,380.827,
RP20_06-3,1,393.42,
RP20_06-4,1,411.326,
RP20_06-5,1,465.951,
RP20_06-6,1,472.694,
RP20_06-7,1,357.598,
RP20_06-8,1,409.757,
RP20_06-8,2,335.023,
RP20_06-9,1,294.734,
BI05_01-1,1,28.964,
BI05_01-2,1,89.899,
BI05_01-3,1,38.263,
BI05_01-4,1,116.972,
BI05_01-5,1,89.017,
BI05_01-6,1,86.765,
BI05_01-7,1,113.295,
BI05_01-8,1,189.363,
BI05_02-1,1,76.264,
BI05_02-2,1,47.918,
BI05_02-3,1,135.238,
BI05_02-4,1,63.77,
BI05_02-5,1,99.71,
BI05_02-6,1,33.747,
BI05_02-7,1,42.565,
BI05_02-8,1,72.032,picture named BI05_02-80001
BI05_02-9,1,24.509,
BI05_02-10,1,99.678,
BI05_03-2,1,59.077,
BI05_03-3,1,64.247,
BI05_03-4,1,50.463,
BI05_03-5,1,42.789,
BI05_03-6,1,18.713,
BI05_03-7,1,59.424,
BI05_03-8,1,30.003,
BI05_03-9,1,75.718,
BI05_03-10,1,25.553,
BI05_03-11,1,76.163,
BI05_04-1,1,88.729,
BI05_04-2,1,65.851,
BI05_04-3,1,49.358,
BI05_04-4,1,66.833,
BI05_04-5,1,89.494,
BI05_04-6,1,72.563,
BI05_04-7,1,92.99,
BI05_04-8,1,36.818,
BI05_05-1,1,93.965,
BI05_05-2,1,49.501,
BI05_05-3,1,85.843,
BI05_05-4,1,77.896,
BI05_05-5,1,54.727,
BI05_05-6,1,72.761,
BI05_05-7,1,50.966,
BI05_05-8,1,127.947,
BI05_05-10,1,100.142,
BI05_05-10,2,84.707,
BI15_01-1,1,139.86,
BI15_01-3,1,360.168,
BI15_01-4,1,438.679,
BI15_01-5,1,346.493,
BI15_01-6,1,165.577,
BI15_01-6,2,247.721,
BI15_01-7,1,63.28,
BI15_01-9,1,142.766,
BI15_02-1,1,424.926,
BI15_02-2,1,136.643,
BI15_02-3,1,375.616,
BI15_02-4,1,317.667,
BI15_02-5,1,322,
BI15_02-6,1,433.701,
BI15_02-7,1,337.645,
BI15_02-7,2,354.324,
BI15_02-8,1,421.279,
BI15_02-9,1,331.428,
BI15_03-1,1,358.455,
BI15_03-2,1,452.515,
BI15_03-3,1,311.757,
BI15_03-4,1,514.384,
BI15_03-5,1,449.34,
BI15_03-6,1,274.291,
BI15_03-7,1,436.02,
BI15_03-8,1,371.611,
BI15_03-9,1,379.506,
BI15_03-10,1,337.717,
BI15_04-1,1,309.824,
BI15_04-2,1,327.102,
BI15_04-3,1,313.073,
BI15_04-4,1,351.235,
BI15_04-5,1,312.312,
BI15_04-6,1,346.048,
BI15_04-7,1,341.391,
BI15_04-8,1,286.657,
BI15_04-9,1,377.542,
BI15_04-10,1,151.449,
BI15_05-1,1,440.115,
BI15_05-2,1,326.943,
BI15_05-3,1,135.442,
BI15_05-4,1,329.668,
BI15_05-5,1,317.841,
BI15_05-6,1,379.704,
BI15_05-7,1,279.794,
BI15_05-8,1,250.358,
BI15_05-9,1,338.177,
BI15_05-10,1,348.112,
BI15_06-1,1,277.952,
BI15_06-2,1,263.249,
BI15_06-3,1,302.038,
BI15_06-4,1,262.896,
BI15_06-5,1,278.644,
BI15_06-6,1,344.913,
BI15_06-7,1,288.981,
BI15_06-8,1,280.375,
BI15_06-9,1,453.995,
BI15_06-10,1,297.015,
BI20_01-3,1,458.117,
BI20_01-5,1,251.724,
BI20_01-6,1,485.563,
BI20_01-7,1,229.491,
BI20_01-8,1,255.023,
BI20_01-9,1,164.829,
BI20_01-10,1,461.189,
BI20_01-11,1,376.227,
BI20_02-1,1,405.307,
BI20_02-2,1,411.939,
BI20_02-4,1,401.426,
BI20_02-3,1,458.82,picture named BI20_02-30001
BI20_02-5,1,423.703,
BI20_02-6,1,440.356,
BI20_02-7,1,415.249,
BI20_02-8,1,470.242,
BI20_02-9,1,461.716,
BI20_02-10,1,190.214,
BI20_03-1,1,308.812,
BI20_03-2,1,437.254,
BI20_03-3,1,353.532,
