1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E700000040589A21
Is Mission Active?  true
Mission Start:  Wed May 24 01:02:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 1:02:00 AM,C,11.5
24/05/17 2:02:00 AM,C,10.5
24/05/17 3:02:00 AM,C,9
24/05/17 4:02:00 AM,C,8.5
24/05/17 5:02:00 AM,C,8
24/05/17 6:02:00 AM,C,8.5
24/05/17 7:02:00 AM,C,9
24/05/17 8:02:00 AM,C,9
24/05/17 9:02:00 AM,C,15
24/05/17 10:02:00 AM,C,25
24/05/17 11:02:00 AM,C,14
24/05/17 12:02:00 PM,C,12
24/05/17 1:02:00 PM,C,12
24/05/17 2:02:00 PM,C,14
24/05/17 3:02:00 PM,C,29
24/05/17 4:02:00 PM,C,30
24/05/17 5:02:00 PM,C,28
24/05/17 6:02:00 PM,C,25
24/05/17 7:02:00 PM,C,20.5
24/05/17 8:02:00 PM,C,16
24/05/17 9:02:00 PM,C,13
24/05/17 10:02:00 PM,C,13
24/05/17 11:02:00 PM,C,12.5
25/05/17 12:02:00 AM,C,12
25/05/17 1:02:00 AM,C,11.5
25/05/17 2:02:00 AM,C,11.5
25/05/17 3:02:00 AM,C,10
25/05/17 4:02:00 AM,C,9
25/05/17 5:02:00 AM,C,8.5
25/05/17 6:02:00 AM,C,8
25/05/17 7:02:00 AM,C,8.5
25/05/17 8:02:00 AM,C,9
25/05/17 9:02:00 AM,C,16
25/05/17 10:02:00 AM,C,23.5
25/05/17 11:02:00 AM,C,27.5
25/05/17 12:02:00 PM,C,14
25/05/17 1:02:00 PM,C,13.5
25/05/17 2:02:00 PM,C,13.5
25/05/17 3:02:00 PM,C,17.5
25/05/17 4:02:00 PM,C,29.5
25/05/17 5:02:00 PM,C,28
25/05/17 6:02:00 PM,C,24.5
25/05/17 7:02:00 PM,C,20.5
25/05/17 8:02:00 PM,C,16
25/05/17 9:02:00 PM,C,13
25/05/17 10:02:00 PM,C,12
25/05/17 11:02:00 PM,C,13.5
26/05/17 12:02:00 AM,C,12
26/05/17 1:02:00 AM,C,13
26/05/17 2:02:00 AM,C,13
26/05/17 3:02:00 AM,C,12.5
26/05/17 4:02:00 AM,C,10
26/05/17 5:02:00 AM,C,9.5
26/05/17 6:02:00 AM,C,9
26/05/17 7:02:00 AM,C,9.5
26/05/17 8:02:00 AM,C,10
26/05/17 9:02:00 AM,C,16.5
26/05/17 10:02:00 AM,C,26
26/05/17 11:02:00 AM,C,32
26/05/17 12:02:00 PM,C,34.5
26/05/17 1:02:00 PM,C,15.5
26/05/17 2:02:00 PM,C,15.5
26/05/17 3:02:00 PM,C,16
26/05/17 4:02:00 PM,C,21
26/05/17 5:02:00 PM,C,26.5
26/05/17 6:02:00 PM,C,23
26/05/17 7:02:00 PM,C,19
26/05/17 8:02:00 PM,C,17
26/05/17 9:02:00 PM,C,14
26/05/17 10:02:00 PM,C,13
26/05/17 11:02:00 PM,C,14.5
27/05/17 12:02:00 AM,C,13
27/05/17 1:02:00 AM,C,12.5
27/05/17 2:02:00 AM,C,13
27/05/17 3:02:00 AM,C,13
27/05/17 4:02:00 AM,C,13
27/05/17 5:02:00 AM,C,11
27/05/17 6:02:00 AM,C,10.5
27/05/17 7:02:00 AM,C,10.5
27/05/17 8:02:00 AM,C,11
27/05/17 9:02:00 AM,C,15
27/05/17 10:02:00 AM,C,22.5
27/05/17 11:02:00 AM,C,27
27/05/17 12:02:00 PM,C,31
27/05/17 1:02:00 PM,C,33.5
27/05/17 2:02:00 PM,C,15.5
27/05/17 3:02:00 PM,C,16
27/05/17 4:02:00 PM,C,16.5
27/05/17 5:02:00 PM,C,23
27/05/17 6:02:00 PM,C,19.5
27/05/17 7:02:00 PM,C,17.5
27/05/17 8:02:00 PM,C,15
27/05/17 9:02:00 PM,C,13.5
27/05/17 10:02:00 PM,C,12
27/05/17 11:02:00 PM,C,11.5
28/05/17 12:02:00 AM,C,14.5
28/05/17 1:02:00 AM,C,13
28/05/17 2:02:00 AM,C,12.5
28/05/17 3:02:00 AM,C,13
28/05/17 4:02:00 AM,C,13
28/05/17 5:02:00 AM,C,13
28/05/17 6:02:00 AM,C,12
28/05/17 7:02:00 AM,C,12.5
28/05/17 8:02:00 AM,C,13.5
28/05/17 9:02:00 AM,C,14.5
28/05/17 10:02:00 AM,C,16
28/05/17 11:02:00 AM,C,19.5
28/05/17 12:02:00 PM,C,23.5
28/05/17 1:02:00 PM,C,28
28/05/17 2:02:00 PM,C,31.5
28/05/17 3:02:00 PM,C,15.5
28/05/17 4:02:00 PM,C,16.5
28/05/17 5:02:00 PM,C,16.5
28/05/17 6:02:00 PM,C,19.5
28/05/17 7:02:00 PM,C,18.5
28/05/17 8:02:00 PM,C,16
28/05/17 9:02:00 PM,C,14
28/05/17 10:02:00 PM,C,13.5
28/05/17 11:02:00 PM,C,13
29/05/17 12:02:00 AM,C,13
29/05/17 1:02:00 AM,C,14.5
29/05/17 2:02:00 AM,C,14
29/05/17 3:02:00 AM,C,12.5
29/05/17 4:02:00 AM,C,13.5
29/05/17 5:02:00 AM,C,13.5
29/05/17 6:02:00 AM,C,13
29/05/17 7:02:00 AM,C,13
29/05/17 8:02:00 AM,C,13.5
29/05/17 9:02:00 AM,C,15
29/05/17 10:02:00 AM,C,15.5
29/05/17 11:02:00 AM,C,16
29/05/17 12:02:00 PM,C,16.5
29/05/17 1:02:00 PM,C,17.5
29/05/17 2:02:00 PM,C,18
29/05/17 3:02:00 PM,C,17.5
29/05/17 4:02:00 PM,C,14
29/05/17 5:02:00 PM,C,14
29/05/17 6:02:00 PM,C,14.5
29/05/17 7:02:00 PM,C,15
29/05/17 8:02:00 PM,C,13
29/05/17 9:02:00 PM,C,12.5
29/05/17 10:02:00 PM,C,12.5
29/05/17 11:02:00 PM,C,12.5
30/05/17 12:02:00 AM,C,12
30/05/17 1:02:00 AM,C,12
30/05/17 2:02:00 AM,C,13.5
30/05/17 3:02:00 AM,C,13.5
30/05/17 4:02:00 AM,C,13
30/05/17 5:02:00 AM,C,13
30/05/17 6:02:00 AM,C,13
30/05/17 7:02:00 AM,C,12.5
30/05/17 8:02:00 AM,C,12.5
30/05/17 9:02:00 AM,C,13
30/05/17 10:02:00 AM,C,15
30/05/17 11:02:00 AM,C,15
30/05/17 12:02:00 PM,C,16
30/05/17 1:02:00 PM,C,15.5
30/05/17 2:02:00 PM,C,17.5
30/05/17 3:02:00 PM,C,20
30/05/17 4:02:00 PM,C,16
30/05/17 5:02:00 PM,C,13
30/05/17 6:02:00 PM,C,13.5
30/05/17 7:02:00 PM,C,13.5
30/05/17 8:02:00 PM,C,13.5
30/05/17 9:02:00 PM,C,12
30/05/17 10:02:00 PM,C,11.5
30/05/17 11:02:00 PM,C,11.5
31/05/17 12:02:00 AM,C,12
31/05/17 1:02:00 AM,C,12
31/05/17 2:02:00 AM,C,12
31/05/17 3:02:00 AM,C,12.5
31/05/17 4:02:00 AM,C,12
31/05/17 5:02:00 AM,C,12
31/05/17 6:02:00 AM,C,12
31/05/17 7:02:00 AM,C,11.5
31/05/17 8:02:00 AM,C,13.5
31/05/17 9:02:00 AM,C,13
31/05/17 10:02:00 AM,C,14
31/05/17 11:02:00 AM,C,16.5
31/05/17 12:02:00 PM,C,16
31/05/17 1:02:00 PM,C,17
31/05/17 2:02:00 PM,C,16.5
31/05/17 3:02:00 PM,C,15.5
31/05/17 4:02:00 PM,C,16
31/05/17 5:02:00 PM,C,14
31/05/17 6:02:00 PM,C,13
31/05/17 7:02:00 PM,C,12
31/05/17 8:02:00 PM,C,11.5
31/05/17 9:02:00 PM,C,11.5
31/05/17 10:02:00 PM,C,12
31/05/17 11:02:00 PM,C,12
01/06/17 12:02:00 AM,C,12
