1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C000000040415B21
Is Mission Active?  true
Mission Start:  Mon May 01 08:50:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  9149
Total Samples:  9149
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
01/05/17 8:50:00 AM,C,21.5
01/05/17 9:50:00 AM,C,22.5
01/05/17 10:50:00 AM,C,19
01/05/17 11:50:00 AM,C,14
01/05/17 12:50:00 PM,C,14.5
01/05/17 1:50:00 PM,C,14
01/05/17 2:50:00 PM,C,15
01/05/17 3:50:00 PM,C,15.5
01/05/17 4:50:00 PM,C,16.5
01/05/17 5:50:00 PM,C,16.5
01/05/17 6:50:00 PM,C,16.5
01/05/17 7:50:00 PM,C,16
01/05/17 8:50:00 PM,C,15
01/05/17 9:50:00 PM,C,14.5
01/05/17 10:50:00 PM,C,14
01/05/17 11:50:00 PM,C,13
02/05/17 12:50:00 AM,C,12.5
02/05/17 1:50:00 AM,C,11.5
02/05/17 2:50:00 AM,C,10.5
02/05/17 3:50:00 AM,C,9.5
02/05/17 4:50:00 AM,C,9
02/05/17 5:50:00 AM,C,8.5
02/05/17 6:50:00 AM,C,8.5
02/05/17 7:50:00 AM,C,8
02/05/17 8:50:00 AM,C,8
02/05/17 9:50:00 AM,C,8.5
02/05/17 10:50:00 AM,C,9.5
02/05/17 11:50:00 AM,C,11.5
02/05/17 12:50:00 PM,C,13.5
02/05/17 1:50:00 PM,C,15
02/05/17 2:50:00 PM,C,15
02/05/17 3:50:00 PM,C,15.5
02/05/17 4:50:00 PM,C,16.5
02/05/17 5:50:00 PM,C,17
02/05/17 6:50:00 PM,C,18
02/05/17 7:50:00 PM,C,18
02/05/17 8:50:00 PM,C,17.5
02/05/17 9:50:00 PM,C,16.5
02/05/17 10:50:00 PM,C,15.5
02/05/17 11:50:00 PM,C,14.5
03/05/17 12:50:00 AM,C,14
03/05/17 1:50:00 AM,C,13.5
03/05/17 2:50:00 AM,C,13
03/05/17 3:50:00 AM,C,12.5
03/05/17 4:50:00 AM,C,12
03/05/17 5:50:00 AM,C,12
03/05/17 6:50:00 AM,C,12
03/05/17 7:50:00 AM,C,11.5
03/05/17 8:50:00 AM,C,12
03/05/17 9:50:00 AM,C,15
03/05/17 10:50:00 AM,C,17.5
03/05/17 11:50:00 AM,C,18.5
03/05/17 12:50:00 PM,C,14
03/05/17 1:50:00 PM,C,12.5
03/05/17 2:50:00 PM,C,12.5
03/05/17 3:50:00 PM,C,19.5
03/05/17 4:50:00 PM,C,20
03/05/17 5:50:00 PM,C,20
03/05/17 6:50:00 PM,C,20.5
03/05/17 7:50:00 PM,C,21
03/05/17 8:50:00 PM,C,21
03/05/17 9:50:00 PM,C,21
03/05/17 10:50:00 PM,C,20.5
03/05/17 11:50:00 PM,C,20.5
04/05/17 12:50:00 AM,C,20.5
04/05/17 1:50:00 AM,C,20.5
04/05/17 2:50:00 AM,C,20.5
04/05/17 3:50:00 AM,C,20.5
04/05/17 4:50:00 AM,C,20.5
04/05/17 5:50:00 AM,C,20.5
04/05/17 6:50:00 AM,C,20.5
04/05/17 7:50:00 AM,C,18.5
04/05/17 8:50:00 AM,C,18.5
04/05/17 9:50:00 AM,C,19.5
04/05/17 10:50:00 AM,C,21.5
04/05/17 11:50:00 AM,C,22
04/05/17 12:50:00 PM,C,22.5
04/05/17 1:50:00 PM,C,20.5
04/05/17 2:50:00 PM,C,25
04/05/17 3:50:00 PM,C,32.5
04/05/17 4:50:00 PM,C,24
04/05/17 5:50:00 PM,C,16
04/05/17 6:50:00 PM,C,11.5
04/05/17 7:50:00 PM,C,12
04/05/17 8:50:00 PM,C,11.5
04/05/17 9:50:00 PM,C,10.5
04/05/17 10:50:00 PM,C,11
04/05/17 11:50:00 PM,C,11
05/05/17 12:50:00 AM,C,10.5
05/05/17 1:50:00 AM,C,11
05/05/17 2:50:00 AM,C,11
05/05/17 3:50:00 AM,C,11
05/05/17 4:50:00 AM,C,11
05/05/17 5:50:00 AM,C,11
05/05/17 6:50:00 AM,C,10.5
05/05/17 7:50:00 AM,C,10.5
