1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000040574D21
Is Mission Active?  true
Mission Start:  Wed May 24 00:57:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8604
Total Samples:  8604
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:57:00 AM,C,14
24/05/17 1:57:00 AM,C,12.5
24/05/17 2:57:00 AM,C,11
24/05/17 3:57:00 AM,C,11
24/05/17 4:57:00 AM,C,10.5
24/05/17 5:57:00 AM,C,10
24/05/17 6:57:00 AM,C,10.5
24/05/17 7:57:00 AM,C,10.5
24/05/17 8:57:00 AM,C,11.5
24/05/17 9:57:00 AM,C,11.5
24/05/17 10:57:00 AM,C,11.5
24/05/17 11:57:00 AM,C,13
24/05/17 12:57:00 PM,C,14
24/05/17 1:57:00 PM,C,18.5
24/05/17 2:57:00 PM,C,34
24/05/17 3:57:00 PM,C,35.5
24/05/17 4:57:00 PM,C,37
24/05/17 5:57:00 PM,C,35.5
24/05/17 6:57:00 PM,C,33
24/05/17 7:57:00 PM,C,28.5
24/05/17 8:57:00 PM,C,20.5
24/05/17 9:57:00 PM,C,15
24/05/17 10:57:00 PM,C,14.5
24/05/17 11:57:00 PM,C,14
25/05/17 12:57:00 AM,C,14
25/05/17 1:57:00 AM,C,14
25/05/17 2:57:00 AM,C,13
25/05/17 3:57:00 AM,C,12
25/05/17 4:57:00 AM,C,11.5
25/05/17 5:57:00 AM,C,11
25/05/17 6:57:00 AM,C,11
25/05/17 7:57:00 AM,C,11
25/05/17 8:57:00 AM,C,11.5
25/05/17 9:57:00 AM,C,12
25/05/17 10:57:00 AM,C,12.5
25/05/17 11:57:00 AM,C,14.5
25/05/17 12:57:00 PM,C,15.5
25/05/17 1:57:00 PM,C,16.5
25/05/17 2:57:00 PM,C,17.5
25/05/17 3:57:00 PM,C,25
25/05/17 4:57:00 PM,C,27.5
25/05/17 5:57:00 PM,C,30
25/05/17 6:57:00 PM,C,30.5
25/05/17 7:57:00 PM,C,27.5
25/05/17 8:57:00 PM,C,21
25/05/17 9:57:00 PM,C,18
25/05/17 10:57:00 PM,C,16
25/05/17 11:57:00 PM,C,15.5
26/05/17 12:57:00 AM,C,15
26/05/17 1:57:00 AM,C,15
26/05/17 2:57:00 AM,C,15
26/05/17 3:57:00 AM,C,14
26/05/17 4:57:00 AM,C,13
26/05/17 5:57:00 AM,C,12.5
26/05/17 6:57:00 AM,C,12
26/05/17 7:57:00 AM,C,12.5
26/05/17 8:57:00 AM,C,12.5
26/05/17 9:57:00 AM,C,13
26/05/17 10:57:00 AM,C,13.5
26/05/17 11:57:00 AM,C,14
26/05/17 12:57:00 PM,C,16
26/05/17 1:57:00 PM,C,17
26/05/17 2:57:00 PM,C,18
26/05/17 3:57:00 PM,C,19
26/05/17 4:57:00 PM,C,22
26/05/17 5:57:00 PM,C,25
26/05/17 6:57:00 PM,C,26.5
26/05/17 7:57:00 PM,C,27
26/05/17 8:57:00 PM,C,21.5
26/05/17 9:57:00 PM,C,19
26/05/17 10:57:00 PM,C,16.5
26/05/17 11:57:00 PM,C,16.5
27/05/17 12:57:00 AM,C,16
27/05/17 1:57:00 AM,C,16
27/05/17 2:57:00 AM,C,16
27/05/17 3:57:00 AM,C,16
27/05/17 4:57:00 AM,C,14.5
27/05/17 5:57:00 AM,C,13.5
27/05/17 6:57:00 AM,C,13
27/05/17 7:57:00 AM,C,13
27/05/17 8:57:00 AM,C,13.5
27/05/17 9:57:00 AM,C,14
