1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6E00000040503F21
Is Mission Active?  true
Mission Start:  Mon May 01 08:46:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  9149
Total Samples:  9149
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
01/05/17 8:46:00 AM,C,21.5
01/05/17 9:46:00 AM,C,23.5
01/05/17 10:46:00 AM,C,20.5
01/05/17 11:46:00 AM,C,15.5
01/05/17 12:46:00 PM,C,15
01/05/17 1:46:00 PM,C,15
01/05/17 2:46:00 PM,C,15.5
01/05/17 3:46:00 PM,C,16.5
01/05/17 4:46:00 PM,C,16.5
01/05/17 5:46:00 PM,C,17
01/05/17 6:46:00 PM,C,17
01/05/17 7:46:00 PM,C,16.5
01/05/17 8:46:00 PM,C,15.5
01/05/17 9:46:00 PM,C,15
01/05/17 10:46:00 PM,C,14.5
01/05/17 11:46:00 PM,C,13.5
02/05/17 12:46:00 AM,C,13
02/05/17 1:46:00 AM,C,12
02/05/17 2:46:00 AM,C,11
02/05/17 3:46:00 AM,C,10
02/05/17 4:46:00 AM,C,9.5
02/05/17 5:46:00 AM,C,9
02/05/17 6:46:00 AM,C,9
02/05/17 7:46:00 AM,C,8.5
02/05/17 8:46:00 AM,C,8.5
02/05/17 9:46:00 AM,C,9
02/05/17 10:46:00 AM,C,10
02/05/17 11:46:00 AM,C,12.5
02/05/17 12:46:00 PM,C,15
02/05/17 1:46:00 PM,C,16.5
02/05/17 2:46:00 PM,C,16
02/05/17 3:46:00 PM,C,16.5
02/05/17 4:46:00 PM,C,17
02/05/17 5:46:00 PM,C,17.5
02/05/17 6:46:00 PM,C,18.5
02/05/17 7:46:00 PM,C,18.5
02/05/17 8:46:00 PM,C,18
02/05/17 9:46:00 PM,C,17.5
02/05/17 10:46:00 PM,C,16.5
02/05/17 11:46:00 PM,C,15.5
03/05/17 12:46:00 AM,C,14.5
03/05/17 1:46:00 AM,C,14
03/05/17 2:46:00 AM,C,13.5
03/05/17 3:46:00 AM,C,13
03/05/17 4:46:00 AM,C,13
03/05/17 5:46:00 AM,C,12.5
03/05/17 6:46:00 AM,C,12.5
03/05/17 7:46:00 AM,C,12
03/05/17 8:46:00 AM,C,12.5
03/05/17 9:46:00 AM,C,14
03/05/17 10:46:00 AM,C,18
03/05/17 11:46:00 AM,C,18.5
03/05/17 12:46:00 PM,C,18.5
03/05/17 1:46:00 PM,C,13.5
03/05/17 2:46:00 PM,C,13
03/05/17 3:46:00 PM,C,18.5
03/05/17 4:46:00 PM,C,20
03/05/17 5:46:00 PM,C,20.5
03/05/17 6:46:00 PM,C,21
03/05/17 7:46:00 PM,C,21
03/05/17 8:46:00 PM,C,21
03/05/17 9:46:00 PM,C,21.5
03/05/17 10:46:00 PM,C,21
03/05/17 11:46:00 PM,C,21
04/05/17 12:46:00 AM,C,21
04/05/17 1:46:00 AM,C,21
04/05/17 2:46:00 AM,C,21
04/05/17 3:46:00 AM,C,21
04/05/17 4:46:00 AM,C,21
04/05/17 5:46:00 AM,C,21
04/05/17 6:46:00 AM,C,21
04/05/17 7:46:00 AM,C,20
04/05/17 8:46:00 AM,C,18.5
04/05/17 9:46:00 AM,C,19
04/05/17 10:46:00 AM,C,21
04/05/17 11:46:00 AM,C,21.5
04/05/17 12:46:00 PM,C,22.5
04/05/17 1:46:00 PM,C,20.5
04/05/17 2:46:00 PM,C,21.5
04/05/17 3:46:00 PM,C,22
04/05/17 4:46:00 PM,C,21.5
04/05/17 5:46:00 PM,C,24
04/05/17 6:46:00 PM,C,20
04/05/17 7:46:00 PM,C,16.5
04/05/17 8:46:00 PM,C,15.5
04/05/17 9:46:00 PM,C,15
04/05/17 10:46:00 PM,C,15.5
04/05/17 11:46:00 PM,C,14
05/05/17 12:46:00 AM,C,13.5
05/05/17 1:46:00 AM,C,13.5
05/05/17 2:46:00 AM,C,13
05/05/17 3:46:00 AM,C,12.5
05/05/17 4:46:00 AM,C,12.5
05/05/17 5:46:00 AM,C,12.5
