1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3C00000040559B21
Is Mission Active?  true
Mission Start:  Wed May 24 00:46:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  10593
Total Samples:  10593
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:46:00 AM,C,10
24/05/17 1:46:00 AM,C,13.5
24/05/17 2:46:00 AM,C,14
24/05/17 3:46:00 AM,C,14
24/05/17 4:46:00 AM,C,13.5
24/05/17 5:46:00 AM,C,13.5
24/05/17 6:46:00 AM,C,11.5
24/05/17 7:46:00 AM,C,14
24/05/17 8:46:00 AM,C,20
24/05/17 9:46:00 AM,C,22.5
24/05/17 10:46:00 AM,C,27
24/05/17 11:46:00 AM,C,30.5
24/05/17 12:46:00 PM,C,33.5
24/05/17 1:46:00 PM,C,34
24/05/17 2:46:00 PM,C,34
24/05/17 3:46:00 PM,C,32.5
24/05/17 4:46:00 PM,C,16
24/05/17 5:46:00 PM,C,14.5
24/05/17 6:46:00 PM,C,14
24/05/17 7:46:00 PM,C,13.5
24/05/17 8:46:00 PM,C,12
24/05/17 9:46:00 PM,C,11.5
24/05/17 10:46:00 PM,C,11
24/05/17 11:46:00 PM,C,11
25/05/17 12:46:00 AM,C,10.5
25/05/17 1:46:00 AM,C,10.5
25/05/17 2:46:00 AM,C,13
25/05/17 3:46:00 AM,C,13
25/05/17 4:46:00 AM,C,13
25/05/17 5:46:00 AM,C,13
25/05/17 6:46:00 AM,C,13
25/05/17 7:46:00 AM,C,17
25/05/17 8:46:00 AM,C,20.5
25/05/17 9:46:00 AM,C,24.5
25/05/17 10:46:00 AM,C,28.5
25/05/17 11:46:00 AM,C,31
25/05/17 12:46:00 PM,C,33.5
25/05/17 1:46:00 PM,C,34
25/05/17 2:46:00 PM,C,34.5
25/05/17 3:46:00 PM,C,33
25/05/17 4:46:00 PM,C,31
25/05/17 5:46:00 PM,C,15.5
25/05/17 6:46:00 PM,C,15
25/05/17 7:46:00 PM,C,15
25/05/17 8:46:00 PM,C,14.5
25/05/17 9:46:00 PM,C,13
25/05/17 10:46:00 PM,C,12.5
25/05/17 11:46:00 PM,C,13
26/05/17 12:46:00 AM,C,12.5
26/05/17 1:46:00 AM,C,12.5
26/05/17 2:46:00 AM,C,12
26/05/17 3:46:00 AM,C,13.5
26/05/17 4:46:00 AM,C,13.5
26/05/17 5:46:00 AM,C,13.5
26/05/17 6:46:00 AM,C,13.5
26/05/17 7:46:00 AM,C,16
26/05/17 8:46:00 AM,C,21.5
26/05/17 9:46:00 AM,C,26
26/05/17 10:46:00 AM,C,30
26/05/17 11:46:00 AM,C,33
26/05/17 12:46:00 PM,C,35
26/05/17 1:46:00 PM,C,36
26/05/17 2:46:00 PM,C,36
26/05/17 3:46:00 PM,C,34.5
26/05/17 4:46:00 PM,C,32
26/05/17 5:46:00 PM,C,22
26/05/17 6:46:00 PM,C,15.5
26/05/17 7:46:00 PM,C,14.5
26/05/17 8:46:00 PM,C,14.5
26/05/17 9:46:00 PM,C,14
26/05/17 10:46:00 PM,C,14
26/05/17 11:46:00 PM,C,13
27/05/17 12:46:00 AM,C,12.5
27/05/17 1:46:00 AM,C,12
27/05/17 2:46:00 AM,C,12
27/05/17 3:46:00 AM,C,11.5
27/05/17 4:46:00 AM,C,14
27/05/17 5:46:00 AM,C,14
27/05/17 6:46:00 AM,C,14
27/05/17 7:46:00 AM,C,14.5
27/05/17 8:46:00 AM,C,21
27/05/17 9:46:00 AM,C,26
27/05/17 10:46:00 AM,C,30.5
27/05/17 11:46:00 AM,C,34
27/05/17 12:46:00 PM,C,37
27/05/17 1:46:00 PM,C,38.5
27/05/17 2:46:00 PM,C,38.5
27/05/17 3:46:00 PM,C,39
27/05/17 4:46:00 PM,C,36.5
27/05/17 5:46:00 PM,C,26
27/05/17 6:46:00 PM,C,18.5
27/05/17 7:46:00 PM,C,15.5
27/05/17 8:46:00 PM,C,15.5
27/05/17 9:46:00 PM,C,15
27/05/17 10:46:00 PM,C,15
27/05/17 11:46:00 PM,C,14.5
28/05/17 12:46:00 AM,C,13
28/05/17 1:46:00 AM,C,13
28/05/17 2:46:00 AM,C,13
28/05/17 3:46:00 AM,C,13
28/05/17 4:46:00 AM,C,12.5
28/05/17 5:46:00 AM,C,14
28/05/17 6:46:00 AM,C,14
28/05/17 7:46:00 AM,C,14.5
28/05/17 8:46:00 AM,C,15
28/05/17 9:46:00 AM,C,28
28/05/17 10:46:00 AM,C,33.5
28/05/17 11:46:00 AM,C,37
28/05/17 12:46:00 PM,C,39
28/05/17 1:46:00 PM,C,40
28/05/17 2:46:00 PM,C,40.5
28/05/17 3:46:00 PM,C,39
28/05/17 4:46:00 PM,C,35.5
28/05/17 5:46:00 PM,C,26
28/05/17 6:46:00 PM,C,23.5
28/05/17 7:46:00 PM,C,17
28/05/17 8:46:00 PM,C,14.5
28/05/17 9:46:00 PM,C,15
28/05/17 10:46:00 PM,C,15.5
28/05/17 11:46:00 PM,C,14.5
29/05/17 12:46:00 AM,C,14.5
29/05/17 1:46:00 AM,C,13.5
29/05/17 2:46:00 AM,C,13
29/05/17 3:46:00 AM,C,13
29/05/17 4:46:00 AM,C,13
29/05/17 5:46:00 AM,C,13
29/05/17 6:46:00 AM,C,15
29/05/17 7:46:00 AM,C,15.5
29/05/17 8:46:00 AM,C,16
29/05/17 9:46:00 AM,C,25.5
29/05/17 10:46:00 AM,C,31.5
29/05/17 11:46:00 AM,C,35
29/05/17 12:46:00 PM,C,37.5
29/05/17 1:46:00 PM,C,38.5
29/05/17 2:46:00 PM,C,38.5
29/05/17 3:46:00 PM,C,37.5
29/05/17 4:46:00 PM,C,35.5
29/05/17 5:46:00 PM,C,24
29/05/17 6:46:00 PM,C,21.5
29/05/17 7:46:00 PM,C,20
29/05/17 8:46:00 PM,C,16
29/05/17 9:46:00 PM,C,15
29/05/17 10:46:00 PM,C,15
29/05/17 11:46:00 PM,C,15
30/05/17 12:46:00 AM,C,14.5
30/05/17 1:46:00 AM,C,14.5
30/05/17 2:46:00 AM,C,13.5
30/05/17 3:46:00 AM,C,13
30/05/17 4:46:00 AM,C,13
30/05/17 5:46:00 AM,C,13
30/05/17 6:46:00 AM,C,14
30/05/17 7:46:00 AM,C,13
30/05/17 8:46:00 AM,C,12.5
30/05/17 9:46:00 AM,C,13
30/05/17 10:46:00 AM,C,14
30/05/17 11:46:00 AM,C,14.5
30/05/17 12:46:00 PM,C,14
30/05/17 1:46:00 PM,C,15.5
30/05/17 2:46:00 PM,C,15
30/05/17 3:46:00 PM,C,15.5
30/05/17 4:46:00 PM,C,18.5
30/05/17 5:46:00 PM,C,17.5
30/05/17 6:46:00 PM,C,16.5
30/05/17 7:46:00 PM,C,15
30/05/17 8:46:00 PM,C,14.5
30/05/17 9:46:00 PM,C,11.5
30/05/17 10:46:00 PM,C,11
30/05/17 11:46:00 PM,C,10.5
31/05/17 12:46:00 AM,C,10.5
31/05/17 1:46:00 AM,C,10.5
31/05/17 2:46:00 AM,C,10
31/05/17 3:46:00 AM,C,10.5
31/05/17 4:46:00 AM,C,10.5
31/05/17 5:46:00 AM,C,11
31/05/17 6:46:00 AM,C,12
31/05/17 7:46:00 AM,C,14.5
31/05/17 8:46:00 AM,C,16
31/05/17 9:46:00 AM,C,20.5
31/05/17 10:46:00 AM,C,25
31/05/17 11:46:00 AM,C,25
31/05/17 12:46:00 PM,C,31
31/05/17 1:46:00 PM,C,22
31/05/17 2:46:00 PM,C,16.5
31/05/17 3:46:00 PM,C,21.5
31/05/17 4:46:00 PM,C,15.5
31/05/17 5:46:00 PM,C,16
31/05/17 6:46:00 PM,C,16.5
31/05/17 7:46:00 PM,C,14.5
31/05/17 8:46:00 PM,C,13.5
31/05/17 9:46:00 PM,C,11.5
31/05/17 10:46:00 PM,C,10.5
31/05/17 11:46:00 PM,C,10
01/06/17 12:46:00 AM,C,10.5
01/06/17 1:46:00 AM,C,10
01/06/17 2:46:00 AM,C,10.5
01/06/17 3:46:00 AM,C,10.5
01/06/17 4:46:00 AM,C,11
01/06/17 5:46:00 AM,C,11.5
01/06/17 6:46:00 AM,C,12
01/06/17 7:46:00 AM,C,13
01/06/17 8:46:00 AM,C,14.5
01/06/17 9:46:00 AM,C,17
01/06/17 10:46:00 AM,C,29
01/06/17 11:46:00 AM,C,25
01/06/17 12:46:00 PM,C,26.5
01/06/17 1:46:00 PM,C,21
01/06/17 2:46:00 PM,C,23.5
01/06/17 3:46:00 PM,C,22
01/06/17 4:46:00 PM,C,21.5
01/06/17 5:46:00 PM,C,22
01/06/17 6:46:00 PM,C,19.5
01/06/17 7:46:00 PM,C,16.5
01/06/17 8:46:00 PM,C,15.5
01/06/17 9:46:00 PM,C,14.5
01/06/17 10:46:00 PM,C,11.5
01/06/17 11:46:00 PM,C,11
02/06/17 12:46:00 AM,C,11
02/06/17 1:46:00 AM,C,11
02/06/17 2:46:00 AM,C,11
02/06/17 3:46:00 AM,C,11
02/06/17 4:46:00 AM,C,11
02/06/17 5:46:00 AM,C,11.5
02/06/17 6:46:00 AM,C,12
02/06/17 7:46:00 AM,C,13
02/06/17 8:46:00 AM,C,17
02/06/17 9:46:00 AM,C,19.5
02/06/17 10:46:00 AM,C,19
02/06/17 11:46:00 AM,C,32
02/06/17 12:46:00 PM,C,35
02/06/17 1:46:00 PM,C,31.5
02/06/17 2:46:00 PM,C,30.5
02/06/17 3:46:00 PM,C,30.5
02/06/17 4:46:00 PM,C,26
02/06/17 5:46:00 PM,C,21.5
02/06/17 6:46:00 PM,C,19
02/06/17 7:46:00 PM,C,17
02/06/17 8:46:00 PM,C,15.5
02/06/17 9:46:00 PM,C,14
02/06/17 10:46:00 PM,C,13.5
02/06/17 11:46:00 PM,C,11.5
03/06/17 12:46:00 AM,C,11
03/06/17 1:46:00 AM,C,11
03/06/17 2:46:00 AM,C,11
03/06/17 3:46:00 AM,C,11.5
03/06/17 4:46:00 AM,C,11
03/06/17 5:46:00 AM,C,11
03/06/17 6:46:00 AM,C,11.5
03/06/17 7:46:00 AM,C,14
03/06/17 8:46:00 AM,C,16
03/06/17 9:46:00 AM,C,20
03/06/17 10:46:00 AM,C,23
03/06/17 11:46:00 AM,C,28
03/06/17 12:46:00 PM,C,33
03/06/17 1:46:00 PM,C,35
03/06/17 2:46:00 PM,C,34.5
03/06/17 3:46:00 PM,C,33
03/06/17 4:46:00 PM,C,31
03/06/17 5:46:00 PM,C,21
03/06/17 6:46:00 PM,C,19
03/06/17 7:46:00 PM,C,17
03/06/17 8:46:00 PM,C,15.5
03/06/17 9:46:00 PM,C,15
03/06/17 10:46:00 PM,C,14
03/06/17 11:46:00 PM,C,13
04/06/17 12:46:00 AM,C,12.5
04/06/17 1:46:00 AM,C,12.5
04/06/17 2:46:00 AM,C,12.5
04/06/17 3:46:00 AM,C,12
04/06/17 4:46:00 AM,C,11.5
04/06/17 5:46:00 AM,C,11
04/06/17 6:46:00 AM,C,12
04/06/17 7:46:00 AM,C,15.5
04/06/17 8:46:00 AM,C,21
04/06/17 9:46:00 AM,C,25
04/06/17 10:46:00 AM,C,29
04/06/17 11:46:00 AM,C,33.5
04/06/17 12:46:00 PM,C,36
04/06/17 1:46:00 PM,C,38.5
04/06/17 2:46:00 PM,C,38
04/06/17 3:46:00 PM,C,35.5
04/06/17 4:46:00 PM,C,33
04/06/17 5:46:00 PM,C,22.5
04/06/17 6:46:00 PM,C,20.5
04/06/17 7:46:00 PM,C,18.5
04/06/17 8:46:00 PM,C,16.5
04/06/17 9:46:00 PM,C,15.5
04/06/17 10:46:00 PM,C,14
04/06/17 11:46:00 PM,C,13.5
05/06/17 12:46:00 AM,C,13
05/06/17 1:46:00 AM,C,14.5
05/06/17 2:46:00 AM,C,14.5
05/06/17 3:46:00 AM,C,14.5
05/06/17 4:46:00 AM,C,14.5
05/06/17 5:46:00 AM,C,12
05/06/17 6:46:00 AM,C,12.5
05/06/17 7:46:00 AM,C,18
05/06/17 8:46:00 AM,C,22.5
05/06/17 9:46:00 AM,C,27.5
05/06/17 10:46:00 AM,C,31
05/06/17 11:46:00 AM,C,34.5
05/06/17 12:46:00 PM,C,37.5
05/06/17 1:46:00 PM,C,39
05/06/17 2:46:00 PM,C,38
05/06/17 3:46:00 PM,C,36.5
05/06/17 4:46:00 PM,C,32.5
05/06/17 5:46:00 PM,C,18
05/06/17 6:46:00 PM,C,18
05/06/17 7:46:00 PM,C,17.5
05/06/17 8:46:00 PM,C,16
05/06/17 9:46:00 PM,C,15
05/06/17 10:46:00 PM,C,15
05/06/17 11:46:00 PM,C,15
06/06/17 12:46:00 AM,C,14.5
06/06/17 1:46:00 AM,C,15.5
06/06/17 2:46:00 AM,C,16
06/06/17 3:46:00 AM,C,16.5
06/06/17 4:46:00 AM,C,16
06/06/17 5:46:00 AM,C,13.5
06/06/17 6:46:00 AM,C,14
06/06/17 7:46:00 AM,C,19.5
06/06/17 8:46:00 AM,C,23.5
06/06/17 9:46:00 AM,C,27
06/06/17 10:46:00 AM,C,30
06/06/17 11:46:00 AM,C,34
06/06/17 12:46:00 PM,C,36
06/06/17 1:46:00 PM,C,37.5
06/06/17 2:46:00 PM,C,39.5
06/06/17 3:46:00 PM,C,37.5
06/06/17 4:46:00 PM,C,20.5
06/06/17 5:46:00 PM,C,18
06/06/17 6:46:00 PM,C,18
06/06/17 7:46:00 PM,C,17
06/06/17 8:46:00 PM,C,17
06/06/17 9:46:00 PM,C,15.5
06/06/17 10:46:00 PM,C,15
06/06/17 11:46:00 PM,C,14.5
07/06/17 12:46:00 AM,C,14.5
07/06/17 1:46:00 AM,C,15
07/06/17 2:46:00 AM,C,17.5
07/06/17 3:46:00 AM,C,17.5
07/06/17 4:46:00 AM,C,17
07/06/17 5:46:00 AM,C,17
07/06/17 6:46:00 AM,C,15.5
07/06/17 7:46:00 AM,C,20
07/06/17 8:46:00 AM,C,26
07/06/17 9:46:00 AM,C,29.5
07/06/17 10:46:00 AM,C,34
07/06/17 11:46:00 AM,C,35
07/06/17 12:46:00 PM,C,36
07/06/17 1:46:00 PM,C,35.5
07/06/17 2:46:00 PM,C,38.5
07/06/17 3:46:00 PM,C,30.5
07/06/17 4:46:00 PM,C,19
07/06/17 5:46:00 PM,C,18.5
07/06/17 6:46:00 PM,C,18
07/06/17 7:46:00 PM,C,17
07/06/17 8:46:00 PM,C,15.5
07/06/17 9:46:00 PM,C,15.5
07/06/17 10:46:00 PM,C,16
07/06/17 11:46:00 PM,C,16
08/06/17 12:46:00 AM,C,15.5
08/06/17 1:46:00 AM,C,15
08/06/17 2:46:00 AM,C,16
08/06/17 3:46:00 AM,C,16
08/06/17 4:46:00 AM,C,15.5
08/06/17 5:46:00 AM,C,15.5
08/06/17 6:46:00 AM,C,14.5
08/06/17 7:46:00 AM,C,14
08/06/17 8:46:00 AM,C,14.5
08/06/17 9:46:00 AM,C,14.5
08/06/17 10:46:00 AM,C,15
08/06/17 11:46:00 AM,C,15
08/06/17 12:46:00 PM,C,15
08/06/17 1:46:00 PM,C,17.5
08/06/17 2:46:00 PM,C,17.5
08/06/17 3:46:00 PM,C,19
08/06/17 4:46:00 PM,C,18.5
08/06/17 5:46:00 PM,C,13
08/06/17 6:46:00 PM,C,12.5
08/06/17 7:46:00 PM,C,12.5
08/06/17 8:46:00 PM,C,12
08/06/17 9:46:00 PM,C,12
08/06/17 10:46:00 PM,C,11
08/06/17 11:46:00 PM,C,10.5
09/06/17 12:46:00 AM,C,10.5
09/06/17 1:46:00 AM,C,9.5
09/06/17 2:46:00 AM,C,9.5
09/06/17 3:46:00 AM,C,14
09/06/17 4:46:00 AM,C,14
09/06/17 5:46:00 AM,C,14
09/06/17 6:46:00 AM,C,13
09/06/17 7:46:00 AM,C,17
09/06/17 8:46:00 AM,C,19
09/06/17 9:46:00 AM,C,22
09/06/17 10:46:00 AM,C,20.5
09/06/17 11:46:00 AM,C,23.5
09/06/17 12:46:00 PM,C,31
09/06/17 1:46:00 PM,C,34
09/06/17 2:46:00 PM,C,34
09/06/17 3:46:00 PM,C,33.5
09/06/17 4:46:00 PM,C,31.5
09/06/17 5:46:00 PM,C,15.5
09/06/17 6:46:00 PM,C,14.5
09/06/17 7:46:00 PM,C,14.5
09/06/17 8:46:00 PM,C,14
09/06/17 9:46:00 PM,C,13.5
09/06/17 10:46:00 PM,C,12.5
09/06/17 11:46:00 PM,C,11
10/06/17 12:46:00 AM,C,11.5
10/06/17 1:46:00 AM,C,11
10/06/17 2:46:00 AM,C,11.5
10/06/17 3:46:00 AM,C,15.5
10/06/17 4:46:00 AM,C,16
10/06/17 5:46:00 AM,C,16
10/06/17 6:46:00 AM,C,16
10/06/17 7:46:00 AM,C,15
10/06/17 8:46:00 AM,C,18.5
10/06/17 9:46:00 AM,C,22.5
10/06/17 10:46:00 AM,C,25
10/06/17 11:46:00 AM,C,31
10/06/17 12:46:00 PM,C,32
10/06/17 1:46:00 PM,C,36
10/06/17 2:46:00 PM,C,36
10/06/17 3:46:00 PM,C,35.5
10/06/17 4:46:00 PM,C,31
10/06/17 5:46:00 PM,C,24.5
10/06/17 6:46:00 PM,C,18
10/06/17 7:46:00 PM,C,17
10/06/17 8:46:00 PM,C,17
10/06/17 9:46:00 PM,C,17
10/06/17 10:46:00 PM,C,16.5
10/06/17 11:46:00 PM,C,15
11/06/17 12:46:00 AM,C,13
11/06/17 1:46:00 AM,C,12.5
11/06/17 2:46:00 AM,C,12
11/06/17 3:46:00 AM,C,12
11/06/17 4:46:00 AM,C,15.5
11/06/17 5:46:00 AM,C,16
11/06/17 6:46:00 AM,C,16
11/06/17 7:46:00 AM,C,17.5
11/06/17 8:46:00 AM,C,22.5
11/06/17 9:46:00 AM,C,26.5
11/06/17 10:46:00 AM,C,30
11/06/17 11:46:00 AM,C,32.5
11/06/17 12:46:00 PM,C,35.5
11/06/17 1:46:00 PM,C,36
11/06/17 2:46:00 PM,C,36.5
11/06/17 3:46:00 PM,C,35.5
11/06/17 4:46:00 PM,C,34
11/06/17 5:46:00 PM,C,27.5
