1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0D00000040568421
Is Mission Active?  true
Mission Start:  Mon May 01 08:36:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  11138
Total Samples:  11138
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
01/05/17 8:36:00 AM,C,20
01/05/17 9:36:00 AM,C,22.5
01/05/17 10:36:00 AM,C,21
01/05/17 11:36:00 AM,C,12.5
01/05/17 12:36:00 PM,C,17.5
01/05/17 1:36:00 PM,C,29.5
01/05/17 2:36:00 PM,C,24
01/05/17 3:36:00 PM,C,32
01/05/17 4:36:00 PM,C,31.5
01/05/17 5:36:00 PM,C,20.5
01/05/17 6:36:00 PM,C,16
01/05/17 7:36:00 PM,C,13
01/05/17 8:36:00 PM,C,11
01/05/17 9:36:00 PM,C,11
01/05/17 10:36:00 PM,C,11
01/05/17 11:36:00 PM,C,11
02/05/17 12:36:00 AM,C,11
02/05/17 1:36:00 AM,C,10.5
02/05/17 2:36:00 AM,C,10.5
02/05/17 3:36:00 AM,C,9
02/05/17 4:36:00 AM,C,8.5
02/05/17 5:36:00 AM,C,8.5
02/05/17 6:36:00 AM,C,8.5
02/05/17 7:36:00 AM,C,9
02/05/17 8:36:00 AM,C,9.5
02/05/17 9:36:00 AM,C,11
02/05/17 10:36:00 AM,C,12.5
02/05/17 11:36:00 AM,C,14.5
02/05/17 12:36:00 PM,C,13.5
02/05/17 1:36:00 PM,C,14
02/05/17 2:36:00 PM,C,14
02/05/17 3:36:00 PM,C,13.5
02/05/17 4:36:00 PM,C,13.5
02/05/17 5:36:00 PM,C,13
02/05/17 6:36:00 PM,C,12
02/05/17 7:36:00 PM,C,11
02/05/17 8:36:00 PM,C,10.5
02/05/17 9:36:00 PM,C,10.5
02/05/17 10:36:00 PM,C,10
02/05/17 11:36:00 PM,C,10
03/05/17 12:36:00 AM,C,10
03/05/17 1:36:00 AM,C,10
03/05/17 2:36:00 AM,C,10
03/05/17 3:36:00 AM,C,10
03/05/17 4:36:00 AM,C,10
03/05/17 5:36:00 AM,C,10.5
03/05/17 6:36:00 AM,C,10.5
03/05/17 7:36:00 AM,C,11
03/05/17 8:36:00 AM,C,11
03/05/17 9:36:00 AM,C,11.5
03/05/17 10:36:00 AM,C,11
03/05/17 11:36:00 AM,C,12
03/05/17 12:36:00 PM,C,12
03/05/17 1:36:00 PM,C,12
03/05/17 2:36:00 PM,C,12.5
03/05/17 3:36:00 PM,C,12
03/05/17 4:36:00 PM,C,12.5
03/05/17 5:36:00 PM,C,12.5
03/05/17 6:36:00 PM,C,12
03/05/17 7:36:00 PM,C,12
03/05/17 8:36:00 PM,C,12
03/05/17 9:36:00 PM,C,12
03/05/17 10:36:00 PM,C,12
03/05/17 11:36:00 PM,C,10
04/05/17 12:36:00 AM,C,10
04/05/17 1:36:00 AM,C,10
04/05/17 2:36:00 AM,C,10
04/05/17 3:36:00 AM,C,10
04/05/17 4:36:00 AM,C,10
04/05/17 5:36:00 AM,C,10
04/05/17 6:36:00 AM,C,10.5
04/05/17 7:36:00 AM,C,11
04/05/17 8:36:00 AM,C,12.5
04/05/17 9:36:00 AM,C,14.5
04/05/17 10:36:00 AM,C,17.5
04/05/17 11:36:00 AM,C,21.5
04/05/17 12:36:00 PM,C,25.5
04/05/17 1:36:00 PM,C,31.5
04/05/17 2:36:00 PM,C,35.5
04/05/17 3:36:00 PM,C,36.5
04/05/17 4:36:00 PM,C,33.5
04/05/17 5:36:00 PM,C,25
04/05/17 6:36:00 PM,C,20.5
04/05/17 7:36:00 PM,C,19
04/05/17 8:36:00 PM,C,17
04/05/17 9:36:00 PM,C,15.5
04/05/17 10:36:00 PM,C,15
04/05/17 11:36:00 PM,C,14.5
05/05/17 12:36:00 AM,C,14.5
05/05/17 1:36:00 AM,C,14
05/05/17 2:36:00 AM,C,13
05/05/17 3:36:00 AM,C,13
05/05/17 4:36:00 AM,C,13.5
05/05/17 5:36:00 AM,C,13
05/05/17 6:36:00 AM,C,13
05/05/17 7:36:00 AM,C,13
05/05/17 8:36:00 AM,C,14
05/05/17 9:36:00 AM,C,14
05/05/17 10:36:00 AM,C,14.5
05/05/17 11:36:00 AM,C,17
05/05/17 12:36:00 PM,C,21
05/05/17 1:36:00 PM,C,29
05/05/17 2:36:00 PM,C,29
05/05/17 3:36:00 PM,C,30
05/05/17 4:36:00 PM,C,31.5
05/05/17 5:36:00 PM,C,21
05/05/17 6:36:00 PM,C,17
05/05/17 7:36:00 PM,C,13.5
05/05/17 8:36:00 PM,C,11.5
05/05/17 9:36:00 PM,C,10.5
05/05/17 10:36:00 PM,C,9.5
05/05/17 11:36:00 PM,C,9
06/05/17 12:36:00 AM,C,8.5
06/05/17 1:36:00 AM,C,11.5
06/05/17 2:36:00 AM,C,12
06/05/17 3:36:00 AM,C,12
06/05/17 4:36:00 AM,C,12
06/05/17 5:36:00 AM,C,12
06/05/17 6:36:00 AM,C,10
06/05/17 7:36:00 AM,C,9.5
06/05/17 8:36:00 AM,C,10
06/05/17 9:36:00 AM,C,11
06/05/17 10:36:00 AM,C,15
06/05/17 11:36:00 AM,C,22
06/05/17 12:36:00 PM,C,28
06/05/17 1:36:00 PM,C,34
06/05/17 2:36:00 PM,C,37
06/05/17 3:36:00 PM,C,36
06/05/17 4:36:00 PM,C,33.5
06/05/17 5:36:00 PM,C,21.5
06/05/17 6:36:00 PM,C,17
06/05/17 7:36:00 PM,C,14
06/05/17 8:36:00 PM,C,12
06/05/17 9:36:00 PM,C,11
06/05/17 10:36:00 PM,C,10
06/05/17 11:36:00 PM,C,9.5
07/05/17 12:36:00 AM,C,9
07/05/17 1:36:00 AM,C,9
07/05/17 2:36:00 AM,C,12.5
07/05/17 3:36:00 AM,C,13
07/05/17 4:36:00 AM,C,12.5
07/05/17 5:36:00 AM,C,12.5
07/05/17 6:36:00 AM,C,10
07/05/17 7:36:00 AM,C,10
07/05/17 8:36:00 AM,C,11
07/05/17 9:36:00 AM,C,14.5
07/05/17 10:36:00 AM,C,18.5
07/05/17 11:36:00 AM,C,23.5
07/05/17 12:36:00 PM,C,28
07/05/17 1:36:00 PM,C,32.5
07/05/17 2:36:00 PM,C,36.5
07/05/17 3:36:00 PM,C,38.5
07/05/17 4:36:00 PM,C,33.5
07/05/17 5:36:00 PM,C,14.5
07/05/17 6:36:00 PM,C,15.5
07/05/17 7:36:00 PM,C,13
07/05/17 8:36:00 PM,C,12.5
07/05/17 9:36:00 PM,C,11.5
07/05/17 10:36:00 PM,C,11
07/05/17 11:36:00 PM,C,10.5
08/05/17 12:36:00 AM,C,10
08/05/17 1:36:00 AM,C,10.5
08/05/17 2:36:00 AM,C,11.5
08/05/17 3:36:00 AM,C,12
08/05/17 4:36:00 AM,C,12
08/05/17 5:36:00 AM,C,12
08/05/17 6:36:00 AM,C,11.5
08/05/17 7:36:00 AM,C,11.5
08/05/17 8:36:00 AM,C,11.5
08/05/17 9:36:00 AM,C,13.5
08/05/17 10:36:00 AM,C,14.5
08/05/17 11:36:00 AM,C,15.5
08/05/17 12:36:00 PM,C,16
08/05/17 1:36:00 PM,C,17.5
08/05/17 2:36:00 PM,C,18
08/05/17 3:36:00 PM,C,17.5
08/05/17 4:36:00 PM,C,17
08/05/17 5:36:00 PM,C,12
08/05/17 6:36:00 PM,C,12
08/05/17 7:36:00 PM,C,12
08/05/17 8:36:00 PM,C,11.5
08/05/17 9:36:00 PM,C,11.5
08/05/17 10:36:00 PM,C,11
08/05/17 11:36:00 PM,C,10.5
09/05/17 12:36:00 AM,C,10
09/05/17 1:36:00 AM,C,9.5
09/05/17 2:36:00 AM,C,9
09/05/17 3:36:00 AM,C,11.5
09/05/17 4:36:00 AM,C,11.5
09/05/17 5:36:00 AM,C,11.5
09/05/17 6:36:00 AM,C,11.5
09/05/17 7:36:00 AM,C,11.5
09/05/17 8:36:00 AM,C,11.5
09/05/17 9:36:00 AM,C,12.5
09/05/17 10:36:00 AM,C,15
09/05/17 11:36:00 AM,C,18.5
09/05/17 12:36:00 PM,C,19.5
09/05/17 1:36:00 PM,C,22
09/05/17 2:36:00 PM,C,21.5
09/05/17 3:36:00 PM,C,18.5
