1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5600000040580A21
Is Mission Active?  true
Mission Start:  Wed May 24 00:47:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  10594
Total Samples:  10594
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:47:00 AM,C,13.5
24/05/17 1:47:00 AM,C,14
24/05/17 2:47:00 AM,C,14
24/05/17 3:47:00 AM,C,13.5
24/05/17 4:47:00 AM,C,13.5
24/05/17 5:47:00 AM,C,13.5
24/05/17 6:47:00 AM,C,13.5
24/05/17 7:47:00 AM,C,13
24/05/17 8:47:00 AM,C,18
24/05/17 9:47:00 AM,C,21.5
24/05/17 10:47:00 AM,C,26
24/05/17 11:47:00 AM,C,30.5
24/05/17 12:47:00 PM,C,34.5
24/05/17 1:47:00 PM,C,36.5
24/05/17 2:47:00 PM,C,37
24/05/17 3:47:00 PM,C,16
24/05/17 4:47:00 PM,C,15
24/05/17 5:47:00 PM,C,14.5
24/05/17 6:47:00 PM,C,13.5
24/05/17 7:47:00 PM,C,13.5
24/05/17 8:47:00 PM,C,13.5
24/05/17 9:47:00 PM,C,13
24/05/17 10:47:00 PM,C,11
24/05/17 11:47:00 PM,C,10.5
25/05/17 12:47:00 AM,C,10
25/05/17 1:47:00 AM,C,13
25/05/17 2:47:00 AM,C,13
25/05/17 3:47:00 AM,C,13
25/05/17 4:47:00 AM,C,13
25/05/17 5:47:00 AM,C,13
25/05/17 6:47:00 AM,C,13
25/05/17 7:47:00 AM,C,13
25/05/17 8:47:00 AM,C,17
25/05/17 9:47:00 AM,C,22
25/05/17 10:47:00 AM,C,27
25/05/17 11:47:00 AM,C,31.5
25/05/17 12:47:00 PM,C,35.5
25/05/17 1:47:00 PM,C,37.5
25/05/17 2:47:00 PM,C,38
25/05/17 3:47:00 PM,C,38
25/05/17 4:47:00 PM,C,17.5
25/05/17 5:47:00 PM,C,14.5
25/05/17 6:47:00 PM,C,14
25/05/17 7:47:00 PM,C,14.5
25/05/17 8:47:00 PM,C,14
25/05/17 9:47:00 PM,C,14
25/05/17 10:47:00 PM,C,14
25/05/17 11:47:00 PM,C,12.5
26/05/17 12:47:00 AM,C,12.5
26/05/17 1:47:00 AM,C,13.5
26/05/17 2:47:00 AM,C,13.5
26/05/17 3:47:00 AM,C,13.5
26/05/17 4:47:00 AM,C,13.5
26/05/17 5:47:00 AM,C,13.5
26/05/17 6:47:00 AM,C,13.5
26/05/17 7:47:00 AM,C,13.5
26/05/17 8:47:00 AM,C,16
26/05/17 9:47:00 AM,C,23
26/05/17 10:47:00 AM,C,28
26/05/17 11:47:00 AM,C,32
26/05/17 12:47:00 PM,C,36.5
26/05/17 1:47:00 PM,C,38.5
26/05/17 2:47:00 PM,C,39.5
26/05/17 3:47:00 PM,C,38.5
26/05/17 4:47:00 PM,C,32
26/05/17 5:47:00 PM,C,15.5
26/05/17 6:47:00 PM,C,14.5
26/05/17 7:47:00 PM,C,14.5
26/05/17 8:47:00 PM,C,14
26/05/17 9:47:00 PM,C,14
26/05/17 10:47:00 PM,C,14.5
26/05/17 11:47:00 PM,C,14
27/05/17 12:47:00 AM,C,12.5
27/05/17 1:47:00 AM,C,11.5
27/05/17 2:47:00 AM,C,13.5
27/05/17 3:47:00 AM,C,14
27/05/17 4:47:00 AM,C,14
27/05/17 5:47:00 AM,C,14
27/05/17 6:47:00 AM,C,14
27/05/17 7:47:00 AM,C,14.5
27/05/17 8:47:00 AM,C,14.5
27/05/17 9:47:00 AM,C,22.5
27/05/17 10:47:00 AM,C,28
27/05/17 11:47:00 AM,C,33
27/05/17 12:47:00 PM,C,37
27/05/17 1:47:00 PM,C,39.5
27/05/17 2:47:00 PM,C,43.5
27/05/17 3:47:00 PM,C,44.5
27/05/17 4:47:00 PM,C,37.5
27/05/17 5:47:00 PM,C,28
27/05/17 6:47:00 PM,C,17.5
27/05/17 7:47:00 PM,C,15
27/05/17 8:47:00 PM,C,15
27/05/17 9:47:00 PM,C,14.5
27/05/17 10:47:00 PM,C,14
27/05/17 11:47:00 PM,C,14.5
28/05/17 12:47:00 AM,C,14
28/05/17 1:47:00 AM,C,13.5
28/05/17 2:47:00 AM,C,13
28/05/17 3:47:00 AM,C,14
28/05/17 4:47:00 AM,C,14
28/05/17 5:47:00 AM,C,14
28/05/17 6:47:00 AM,C,14
28/05/17 7:47:00 AM,C,14.5
28/05/17 8:47:00 AM,C,14.5
28/05/17 9:47:00 AM,C,15.5
28/05/17 10:47:00 AM,C,29.5
28/05/17 11:47:00 AM,C,36.5
28/05/17 12:47:00 PM,C,41.5
28/05/17 1:47:00 PM,C,45
28/05/17 2:47:00 PM,C,46.5
28/05/17 3:47:00 PM,C,45.5
28/05/17 4:47:00 PM,C,37.5
28/05/17 5:47:00 PM,C,29
28/05/17 6:47:00 PM,C,19
28/05/17 7:47:00 PM,C,16.5
28/05/17 8:47:00 PM,C,13
28/05/17 9:47:00 PM,C,15
28/05/17 10:47:00 PM,C,14.5
28/05/17 11:47:00 PM,C,14.5
29/05/17 12:47:00 AM,C,14
29/05/17 1:47:00 AM,C,14
29/05/17 2:47:00 AM,C,14
29/05/17 3:47:00 AM,C,14
29/05/17 4:47:00 AM,C,14
29/05/17 5:47:00 AM,C,14
29/05/17 6:47:00 AM,C,14.5
29/05/17 7:47:00 AM,C,15
29/05/17 8:47:00 AM,C,15.5
29/05/17 9:47:00 AM,C,16.5
29/05/17 10:47:00 AM,C,22.5
29/05/17 11:47:00 AM,C,32.5
29/05/17 12:47:00 PM,C,38.5
29/05/17 1:47:00 PM,C,41
29/05/17 2:47:00 PM,C,43
29/05/17 3:47:00 PM,C,43
29/05/17 4:47:00 PM,C,35
29/05/17 5:47:00 PM,C,26
29/05/17 6:47:00 PM,C,22.5
29/05/17 7:47:00 PM,C,16
29/05/17 8:47:00 PM,C,16
29/05/17 9:47:00 PM,C,14
29/05/17 10:47:00 PM,C,14.5
29/05/17 11:47:00 PM,C,14
30/05/17 12:47:00 AM,C,14
30/05/17 1:47:00 AM,C,14.5
30/05/17 2:47:00 AM,C,14
30/05/17 3:47:00 AM,C,14
30/05/17 4:47:00 AM,C,13.5
30/05/17 5:47:00 AM,C,13.5
30/05/17 6:47:00 AM,C,13.5
30/05/17 7:47:00 AM,C,12.5
30/05/17 8:47:00 AM,C,12.5
30/05/17 9:47:00 AM,C,12.5
30/05/17 10:47:00 AM,C,13
30/05/17 11:47:00 AM,C,14
30/05/17 12:47:00 PM,C,13.5
30/05/17 1:47:00 PM,C,15
30/05/17 2:47:00 PM,C,15
30/05/17 3:47:00 PM,C,15.5
30/05/17 4:47:00 PM,C,18.5
30/05/17 5:47:00 PM,C,18
30/05/17 6:47:00 PM,C,16
30/05/17 7:47:00 PM,C,14
30/05/17 8:47:00 PM,C,11
30/05/17 9:47:00 PM,C,11
30/05/17 10:47:00 PM,C,11
30/05/17 11:47:00 PM,C,10
31/05/17 12:47:00 AM,C,10
31/05/17 1:47:00 AM,C,10
31/05/17 2:47:00 AM,C,10.5
31/05/17 3:47:00 AM,C,10.5
31/05/17 4:47:00 AM,C,10.5
31/05/17 5:47:00 AM,C,10.5
31/05/17 6:47:00 AM,C,11
31/05/17 7:47:00 AM,C,10.5
31/05/17 8:47:00 AM,C,10.5
31/05/17 9:47:00 AM,C,10.5
31/05/17 10:47:00 AM,C,11
31/05/17 11:47:00 AM,C,11
31/05/17 12:47:00 PM,C,20.5
31/05/17 1:47:00 PM,C,17
31/05/17 2:47:00 PM,C,15
31/05/17 3:47:00 PM,C,20
31/05/17 4:47:00 PM,C,15
31/05/17 5:47:00 PM,C,15
31/05/17 6:47:00 PM,C,16
31/05/17 7:47:00 PM,C,14
31/05/17 8:47:00 PM,C,12
31/05/17 9:47:00 PM,C,10
31/05/17 10:47:00 PM,C,10
31/05/17 11:47:00 PM,C,9.5
01/06/17 12:47:00 AM,C,10
01/06/17 1:47:00 AM,C,10
01/06/17 2:47:00 AM,C,10.5
01/06/17 3:47:00 AM,C,10
01/06/17 4:47:00 AM,C,10.5
01/06/17 5:47:00 AM,C,10.5
01/06/17 6:47:00 AM,C,11.5
01/06/17 7:47:00 AM,C,12
01/06/17 8:47:00 AM,C,14
01/06/17 9:47:00 AM,C,13.5
01/06/17 10:47:00 AM,C,11.5
01/06/17 11:47:00 AM,C,11.5
01/06/17 12:47:00 PM,C,11.5
01/06/17 1:47:00 PM,C,14.5
01/06/17 2:47:00 PM,C,19
01/06/17 3:47:00 PM,C,19.5
01/06/17 4:47:00 PM,C,20
01/06/17 5:47:00 PM,C,21.5
01/06/17 6:47:00 PM,C,19
01/06/17 7:47:00 PM,C,15.5
01/06/17 8:47:00 PM,C,15
01/06/17 9:47:00 PM,C,11.5
01/06/17 10:47:00 PM,C,10.5
01/06/17 11:47:00 PM,C,10.5
02/06/17 12:47:00 AM,C,10.5
02/06/17 1:47:00 AM,C,10.5
02/06/17 2:47:00 AM,C,11
02/06/17 3:47:00 AM,C,10.5
02/06/17 4:47:00 AM,C,10.5
02/06/17 5:47:00 AM,C,11
02/06/17 6:47:00 AM,C,11
02/06/17 7:47:00 AM,C,12.5
02/06/17 8:47:00 AM,C,16
02/06/17 9:47:00 AM,C,19
02/06/17 10:47:00 AM,C,19
02/06/17 11:47:00 AM,C,17
02/06/17 12:47:00 PM,C,11.5
02/06/17 1:47:00 PM,C,11.5
02/06/17 2:47:00 PM,C,12.5
02/06/17 3:47:00 PM,C,25.5
02/06/17 4:47:00 PM,C,20
02/06/17 5:47:00 PM,C,18
02/06/17 6:47:00 PM,C,16
02/06/17 7:47:00 PM,C,14.5
02/06/17 8:47:00 PM,C,13.5
02/06/17 9:47:00 PM,C,12
02/06/17 10:47:00 PM,C,11.5
02/06/17 11:47:00 PM,C,11
03/06/17 12:47:00 AM,C,10.5
03/06/17 1:47:00 AM,C,10.5
03/06/17 2:47:00 AM,C,11
03/06/17 3:47:00 AM,C,11.5
03/06/17 4:47:00 AM,C,11.5
03/06/17 5:47:00 AM,C,10.5
03/06/17 6:47:00 AM,C,11
03/06/17 7:47:00 AM,C,13
03/06/17 8:47:00 AM,C,15.5
03/06/17 9:47:00 AM,C,19.5
03/06/17 10:47:00 AM,C,22.5
03/06/17 11:47:00 AM,C,27.5
03/06/17 12:47:00 PM,C,33
03/06/17 1:47:00 PM,C,15.5
03/06/17 2:47:00 PM,C,14.5
03/06/17 3:47:00 PM,C,15
