1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 02000000405AD421
Is Mission Active?  true
Mission Start:  Mon May 01 08:35:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  11138
Total Samples:  11138
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
01/05/17 8:35:00 AM,C,19
01/05/17 9:35:00 AM,C,22
01/05/17 10:35:00 AM,C,21
01/05/17 11:35:00 AM,C,17.5
01/05/17 12:35:00 PM,C,17.5
01/05/17 1:35:00 PM,C,29
01/05/17 2:35:00 PM,C,23
01/05/17 3:35:00 PM,C,20
01/05/17 4:35:00 PM,C,15.5
01/05/17 5:35:00 PM,C,14.5
01/05/17 6:35:00 PM,C,13
01/05/17 7:35:00 PM,C,11
01/05/17 8:35:00 PM,C,9.5
01/05/17 9:35:00 PM,C,11
01/05/17 10:35:00 PM,C,11
01/05/17 11:35:00 PM,C,10.5
02/05/17 12:35:00 AM,C,10.5
02/05/17 1:35:00 AM,C,10.5
02/05/17 2:35:00 AM,C,10
02/05/17 3:35:00 AM,C,10
02/05/17 4:35:00 AM,C,8
02/05/17 5:35:00 AM,C,7.5
02/05/17 6:35:00 AM,C,8
02/05/17 7:35:00 AM,C,10
02/05/17 8:35:00 AM,C,10.5
02/05/17 9:35:00 AM,C,10.5
02/05/17 10:35:00 AM,C,10.5
02/05/17 11:35:00 AM,C,12
02/05/17 12:35:00 PM,C,15.5
02/05/17 1:35:00 PM,C,17.5
02/05/17 2:35:00 PM,C,16.5
02/05/17 3:35:00 PM,C,16
02/05/17 4:35:00 PM,C,15
02/05/17 5:35:00 PM,C,14.5
02/05/17 6:35:00 PM,C,11.5
02/05/17 7:35:00 PM,C,10.5
02/05/17 8:35:00 PM,C,10
02/05/17 9:35:00 PM,C,10
02/05/17 10:35:00 PM,C,10
02/05/17 11:35:00 PM,C,9.5
03/05/17 12:35:00 AM,C,9.5
03/05/17 1:35:00 AM,C,9.5
03/05/17 2:35:00 AM,C,9.5
03/05/17 3:35:00 AM,C,9.5
03/05/17 4:35:00 AM,C,9.5
03/05/17 5:35:00 AM,C,10
03/05/17 6:35:00 AM,C,10
03/05/17 7:35:00 AM,C,10.5
03/05/17 8:35:00 AM,C,11
03/05/17 9:35:00 AM,C,11
03/05/17 10:35:00 AM,C,10.5
03/05/17 11:35:00 AM,C,10.5
03/05/17 12:35:00 PM,C,10.5
03/05/17 1:35:00 PM,C,11.5
03/05/17 2:35:00 PM,C,12
03/05/17 3:35:00 PM,C,12
03/05/17 4:35:00 PM,C,12
03/05/17 5:35:00 PM,C,12
03/05/17 6:35:00 PM,C,12
03/05/17 7:35:00 PM,C,12
03/05/17 8:35:00 PM,C,11.5
03/05/17 9:35:00 PM,C,12
03/05/17 10:35:00 PM,C,11.5
03/05/17 11:35:00 PM,C,9.5
04/05/17 12:35:00 AM,C,9.5
04/05/17 1:35:00 AM,C,9.5
04/05/17 2:35:00 AM,C,9.5
04/05/17 3:35:00 AM,C,9.5
04/05/17 4:35:00 AM,C,9.5
04/05/17 5:35:00 AM,C,9.5
04/05/17 6:35:00 AM,C,10
04/05/17 7:35:00 AM,C,11.5
04/05/17 8:35:00 AM,C,15
04/05/17 9:35:00 AM,C,23
04/05/17 10:35:00 AM,C,27
04/05/17 11:35:00 AM,C,36.5
04/05/17 12:35:00 PM,C,37.5
04/05/17 1:35:00 PM,C,36
04/05/17 2:35:00 PM,C,37
04/05/17 3:35:00 PM,C,32.5
04/05/17 4:35:00 PM,C,24.5
04/05/17 5:35:00 PM,C,22
04/05/17 6:35:00 PM,C,19.5
04/05/17 7:35:00 PM,C,18
04/05/17 8:35:00 PM,C,16
04/05/17 9:35:00 PM,C,14.5
04/05/17 10:35:00 PM,C,14.5
04/05/17 11:35:00 PM,C,14
05/05/17 12:35:00 AM,C,14
05/05/17 1:35:00 AM,C,13
05/05/17 2:35:00 AM,C,13
05/05/17 3:35:00 AM,C,13
05/05/17 4:35:00 AM,C,13
05/05/17 5:35:00 AM,C,13
05/05/17 6:35:00 AM,C,12.5
05/05/17 7:35:00 AM,C,13
05/05/17 8:35:00 AM,C,14.5
05/05/17 9:35:00 AM,C,15.5
05/05/17 10:35:00 AM,C,16.5
05/05/17 11:35:00 AM,C,19
05/05/17 12:35:00 PM,C,23
05/05/17 1:35:00 PM,C,14.5
05/05/17 2:35:00 PM,C,13
05/05/17 3:35:00 PM,C,13
05/05/17 4:35:00 PM,C,15.5
05/05/17 5:35:00 PM,C,13.5
05/05/17 6:35:00 PM,C,11.5
05/05/17 7:35:00 PM,C,10.5
05/05/17 8:35:00 PM,C,9
05/05/17 9:35:00 PM,C,8
05/05/17 10:35:00 PM,C,7.5
05/05/17 11:35:00 PM,C,7
06/05/17 12:35:00 AM,C,9.5
06/05/17 1:35:00 AM,C,11
06/05/17 2:35:00 AM,C,11.5
06/05/17 3:35:00 AM,C,11.5
06/05/17 4:35:00 AM,C,11.5
06/05/17 5:35:00 AM,C,11.5
06/05/17 6:35:00 AM,C,10.5
06/05/17 7:35:00 AM,C,14
06/05/17 8:35:00 AM,C,20
06/05/17 9:35:00 AM,C,26.5
06/05/17 10:35:00 AM,C,32.5
06/05/17 11:35:00 AM,C,37.5
06/05/17 12:35:00 PM,C,41.5
06/05/17 1:35:00 PM,C,45
06/05/17 2:35:00 PM,C,30.5
06/05/17 3:35:00 PM,C,14.5
06/05/17 4:35:00 PM,C,14
06/05/17 5:35:00 PM,C,13
06/05/17 6:35:00 PM,C,12
06/05/17 7:35:00 PM,C,11
06/05/17 8:35:00 PM,C,10
06/05/17 9:35:00 PM,C,9.5
06/05/17 10:35:00 PM,C,8.5
06/05/17 11:35:00 PM,C,8
07/05/17 12:35:00 AM,C,7.5
07/05/17 1:35:00 AM,C,12
07/05/17 2:35:00 AM,C,12
07/05/17 3:35:00 AM,C,12.5
07/05/17 4:35:00 AM,C,12.5
07/05/17 5:35:00 AM,C,12
07/05/17 6:35:00 AM,C,12
07/05/17 7:35:00 AM,C,14
07/05/17 8:35:00 AM,C,20
07/05/17 9:35:00 AM,C,26
07/05/17 10:35:00 AM,C,31
07/05/17 11:35:00 AM,C,35.5
07/05/17 12:35:00 PM,C,39
07/05/17 1:35:00 PM,C,40.5
07/05/17 2:35:00 PM,C,40
07/05/17 3:35:00 PM,C,18
07/05/17 4:35:00 PM,C,15.5
07/05/17 5:35:00 PM,C,14
07/05/17 6:35:00 PM,C,13.5
07/05/17 7:35:00 PM,C,12.5
07/05/17 8:35:00 PM,C,12
07/05/17 9:35:00 PM,C,11
07/05/17 10:35:00 PM,C,10
07/05/17 11:35:00 PM,C,10
08/05/17 12:35:00 AM,C,9.5
08/05/17 1:35:00 AM,C,10
08/05/17 2:35:00 AM,C,11.5
08/05/17 3:35:00 AM,C,11.5
08/05/17 4:35:00 AM,C,11.5
08/05/17 5:35:00 AM,C,11.5
08/05/17 6:35:00 AM,C,11.5
08/05/17 7:35:00 AM,C,11.5
08/05/17 8:35:00 AM,C,12
08/05/17 9:35:00 AM,C,15
08/05/17 10:35:00 AM,C,17.5
08/05/17 11:35:00 AM,C,18.5
08/05/17 12:35:00 PM,C,19
08/05/17 1:35:00 PM,C,21.5
08/05/17 2:35:00 PM,C,23
08/05/17 3:35:00 PM,C,22
08/05/17 4:35:00 PM,C,13
08/05/17 5:35:00 PM,C,12
08/05/17 6:35:00 PM,C,12
08/05/17 7:35:00 PM,C,12
08/05/17 8:35:00 PM,C,11.5
08/05/17 9:35:00 PM,C,11
08/05/17 10:35:00 PM,C,11
08/05/17 11:35:00 PM,C,10
09/05/17 12:35:00 AM,C,9.5
09/05/17 1:35:00 AM,C,9
09/05/17 2:35:00 AM,C,8.5
09/05/17 3:35:00 AM,C,11.5
09/05/17 4:35:00 AM,C,11.5
09/05/17 5:35:00 AM,C,11.5
09/05/17 6:35:00 AM,C,11.5
09/05/17 7:35:00 AM,C,12.5
09/05/17 8:35:00 AM,C,17.5
09/05/17 9:35:00 AM,C,27
09/05/17 10:35:00 AM,C,31
09/05/17 11:35:00 AM,C,34.5
09/05/17 12:35:00 PM,C,31
09/05/17 1:35:00 PM,C,32
09/05/17 2:35:00 PM,C,29.5
09/05/17 3:35:00 PM,C,25
09/05/17 4:35:00 PM,C,15
09/05/17 5:35:00 PM,C,13.5
09/05/17 6:35:00 PM,C,12.5
09/05/17 7:35:00 PM,C,12.5
09/05/17 8:35:00 PM,C,12.5
09/05/17 9:35:00 PM,C,12
09/05/17 10:35:00 PM,C,11.5
09/05/17 11:35:00 PM,C,11
10/05/17 12:35:00 AM,C,10.5
10/05/17 1:35:00 AM,C,10
10/05/17 2:35:00 AM,C,10
10/05/17 3:35:00 AM,C,12
10/05/17 4:35:00 AM,C,12.5
10/05/17 5:35:00 AM,C,12.5
10/05/17 6:35:00 AM,C,12.5
10/05/17 7:35:00 AM,C,12.5
10/05/17 8:35:00 AM,C,17
10/05/17 9:35:00 AM,C,20
10/05/17 10:35:00 AM,C,21
10/05/17 11:35:00 AM,C,23.5
10/05/17 12:35:00 PM,C,29
10/05/17 1:35:00 PM,C,23.5
10/05/17 2:35:00 PM,C,22
10/05/17 3:35:00 PM,C,21.5
10/05/17 4:35:00 PM,C,19.5
10/05/17 5:35:00 PM,C,13.5
10/05/17 6:35:00 PM,C,13.5
10/05/17 7:35:00 PM,C,13
10/05/17 8:35:00 PM,C,13
10/05/17 9:35:00 PM,C,13
10/05/17 10:35:00 PM,C,12.5
10/05/17 11:35:00 PM,C,12
11/05/17 12:35:00 AM,C,12
11/05/17 1:35:00 AM,C,11.5
11/05/17 2:35:00 AM,C,11.5
11/05/17 3:35:00 AM,C,12
11/05/17 4:35:00 AM,C,12
11/05/17 5:35:00 AM,C,11.5
11/05/17 6:35:00 AM,C,11.5
11/05/17 7:35:00 AM,C,11.5
11/05/17 8:35:00 AM,C,11.5
11/05/17 9:35:00 AM,C,12
11/05/17 10:35:00 AM,C,14
11/05/17 11:35:00 AM,C,14
11/05/17 12:35:00 PM,C,13
11/05/17 1:35:00 PM,C,12
11/05/17 2:35:00 PM,C,14.5
11/05/17 3:35:00 PM,C,15.5
11/05/17 4:35:00 PM,C,16.5
11/05/17 5:35:00 PM,C,11
11/05/17 6:35:00 PM,C,11
11/05/17 7:35:00 PM,C,11
11/05/17 8:35:00 PM,C,11
11/05/17 9:35:00 PM,C,10.5
11/05/17 10:35:00 PM,C,10.5
11/05/17 11:35:00 PM,C,10
12/05/17 12:35:00 AM,C,9
12/05/17 1:35:00 AM,C,9
12/05/17 2:35:00 AM,C,8.5
12/05/17 3:35:00 AM,C,9.5
12/05/17 4:35:00 AM,C,9.5
12/05/17 5:35:00 AM,C,9.5
12/05/17 6:35:00 AM,C,9.5
12/05/17 7:35:00 AM,C,9.5
12/05/17 8:35:00 AM,C,9.5
12/05/17 9:35:00 AM,C,18.5
12/05/17 10:35:00 AM,C,25
12/05/17 11:35:00 AM,C,29
12/05/17 12:35:00 PM,C,12.5
12/05/17 1:35:00 PM,C,12.5
12/05/17 2:35:00 PM,C,12.5
12/05/17 3:35:00 PM,C,14
12/05/17 4:35:00 PM,C,14.5
12/05/17 5:35:00 PM,C,13.5
12/05/17 6:35:00 PM,C,10
12/05/17 7:35:00 PM,C,10
12/05/17 8:35:00 PM,C,9.5
12/05/17 9:35:00 PM,C,10
12/05/17 10:35:00 PM,C,10
12/05/17 11:35:00 PM,C,9.5
13/05/17 12:35:00 AM,C,9.5
13/05/17 1:35:00 AM,C,8.5
13/05/17 2:35:00 AM,C,8
13/05/17 3:35:00 AM,C,9
13/05/17 4:35:00 AM,C,10
13/05/17 5:35:00 AM,C,10
13/05/17 6:35:00 AM,C,10
13/05/17 7:35:00 AM,C,10
13/05/17 8:35:00 AM,C,10
13/05/17 9:35:00 AM,C,19
13/05/17 10:35:00 AM,C,16.5
13/05/17 11:35:00 AM,C,15.5
13/05/17 12:35:00 PM,C,27.5
13/05/17 1:35:00 PM,C,26.5
13/05/17 2:35:00 PM,C,27
13/05/17 3:35:00 PM,C,20.5
13/05/17 4:35:00 PM,C,17.5
13/05/17 5:35:00 PM,C,16.5
13/05/17 6:35:00 PM,C,12.5
13/05/17 7:35:00 PM,C,11.5
13/05/17 8:35:00 PM,C,11
13/05/17 9:35:00 PM,C,11
13/05/17 10:35:00 PM,C,11
13/05/17 11:35:00 PM,C,11
