1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6A000000405AE321
Is Mission Active?  true
Mission Start:  Mon May 01 08:37:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  11138
Total Samples:  11138
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
01/05/17 8:37:00 AM,C,20.5
01/05/17 9:37:00 AM,C,22.5
01/05/17 10:37:00 AM,C,21
01/05/17 11:37:00 AM,C,19.5
01/05/17 12:37:00 PM,C,17.5
01/05/17 1:37:00 PM,C,26.5
01/05/17 2:37:00 PM,C,24.5
01/05/17 3:37:00 PM,C,19
01/05/17 4:37:00 PM,C,20
01/05/17 5:37:00 PM,C,17
01/05/17 6:37:00 PM,C,14.5
01/05/17 7:37:00 PM,C,11.5
01/05/17 8:37:00 PM,C,10
01/05/17 9:37:00 PM,C,11.5
01/05/17 10:37:00 PM,C,11
01/05/17 11:37:00 PM,C,11
02/05/17 12:37:00 AM,C,11
02/05/17 1:37:00 AM,C,10.5
02/05/17 2:37:00 AM,C,10.5
02/05/17 3:37:00 AM,C,10.5
02/05/17 4:37:00 AM,C,10
02/05/17 5:37:00 AM,C,8.5
02/05/17 6:37:00 AM,C,8.5
02/05/17 7:37:00 AM,C,10
02/05/17 8:37:00 AM,C,10.5
02/05/17 9:37:00 AM,C,10.5
02/05/17 10:37:00 AM,C,10.5
02/05/17 11:37:00 AM,C,11
02/05/17 12:37:00 PM,C,14
02/05/17 1:37:00 PM,C,16
02/05/17 2:37:00 PM,C,16.5
02/05/17 3:37:00 PM,C,16
02/05/17 4:37:00 PM,C,15
02/05/17 5:37:00 PM,C,14
02/05/17 6:37:00 PM,C,12
02/05/17 7:37:00 PM,C,11
02/05/17 8:37:00 PM,C,10.5
02/05/17 9:37:00 PM,C,10.5
02/05/17 10:37:00 PM,C,10.5
02/05/17 11:37:00 PM,C,10
03/05/17 12:37:00 AM,C,10
03/05/17 1:37:00 AM,C,10
03/05/17 2:37:00 AM,C,10
03/05/17 3:37:00 AM,C,10
03/05/17 4:37:00 AM,C,10
03/05/17 5:37:00 AM,C,10
03/05/17 6:37:00 AM,C,10.5
03/05/17 7:37:00 AM,C,11
03/05/17 8:37:00 AM,C,11.5
03/05/17 9:37:00 AM,C,11.5
03/05/17 10:37:00 AM,C,10
03/05/17 11:37:00 AM,C,10
03/05/17 12:37:00 PM,C,10
03/05/17 1:37:00 PM,C,12
03/05/17 2:37:00 PM,C,12.5
03/05/17 3:37:00 PM,C,12.5
03/05/17 4:37:00 PM,C,12.5
03/05/17 5:37:00 PM,C,12.5
03/05/17 6:37:00 PM,C,12.5
03/05/17 7:37:00 PM,C,12.5
03/05/17 8:37:00 PM,C,12
03/05/17 9:37:00 PM,C,12.5
03/05/17 10:37:00 PM,C,11
03/05/17 11:37:00 PM,C,10
04/05/17 12:37:00 AM,C,10
04/05/17 1:37:00 AM,C,10
04/05/17 2:37:00 AM,C,10
04/05/17 3:37:00 AM,C,9.5
04/05/17 4:37:00 AM,C,10
04/05/17 5:37:00 AM,C,10
04/05/17 6:37:00 AM,C,10.5
04/05/17 7:37:00 AM,C,11
04/05/17 8:37:00 AM,C,13
04/05/17 9:37:00 AM,C,16
04/05/17 10:37:00 AM,C,19
04/05/17 11:37:00 AM,C,23
04/05/17 12:37:00 PM,C,13.5
04/05/17 1:37:00 PM,C,13.5
04/05/17 2:37:00 PM,C,14.5
04/05/17 3:37:00 PM,C,17
04/05/17 4:37:00 PM,C,18.5
04/05/17 5:37:00 PM,C,17.5
04/05/17 6:37:00 PM,C,17
04/05/17 7:37:00 PM,C,16.5
04/05/17 8:37:00 PM,C,15.5
04/05/17 9:37:00 PM,C,14.5
04/05/17 10:37:00 PM,C,14
04/05/17 11:37:00 PM,C,14
05/05/17 12:37:00 AM,C,14.5
05/05/17 1:37:00 AM,C,13.5
05/05/17 2:37:00 AM,C,13
05/05/17 3:37:00 AM,C,13
05/05/17 4:37:00 AM,C,13.5
05/05/17 5:37:00 AM,C,13.5
05/05/17 6:37:00 AM,C,13
05/05/17 7:37:00 AM,C,13
05/05/17 8:37:00 AM,C,14
05/05/17 9:37:00 AM,C,14
05/05/17 10:37:00 AM,C,14.5
05/05/17 11:37:00 AM,C,16
05/05/17 12:37:00 PM,C,14
05/05/17 1:37:00 PM,C,13
05/05/17 2:37:00 PM,C,13.5
05/05/17 3:37:00 PM,C,13.5
05/05/17 4:37:00 PM,C,13
05/05/17 5:37:00 PM,C,12.5
05/05/17 6:37:00 PM,C,11
05/05/17 7:37:00 PM,C,9.5
05/05/17 8:37:00 PM,C,8.5
05/05/17 9:37:00 PM,C,7.5
05/05/17 10:37:00 PM,C,7
05/05/17 11:37:00 PM,C,6.5
06/05/17 12:37:00 AM,C,11
06/05/17 1:37:00 AM,C,11.5
06/05/17 2:37:00 AM,C,12
06/05/17 3:37:00 AM,C,12
06/05/17 4:37:00 AM,C,12
06/05/17 5:37:00 AM,C,12
06/05/17 6:37:00 AM,C,12
06/05/17 7:37:00 AM,C,11.5
06/05/17 8:37:00 AM,C,12
06/05/17 9:37:00 AM,C,14
06/05/17 10:37:00 AM,C,16.5
06/05/17 11:37:00 AM,C,20
06/05/17 12:37:00 PM,C,24.5
06/05/17 1:37:00 PM,C,29
06/05/17 2:37:00 PM,C,15
06/05/17 3:37:00 PM,C,14.5
06/05/17 4:37:00 PM,C,14.5
06/05/17 5:37:00 PM,C,14
06/05/17 6:37:00 PM,C,12.5
06/05/17 7:37:00 PM,C,11.5
06/05/17 8:37:00 PM,C,10.5
06/05/17 9:37:00 PM,C,9.5
06/05/17 10:37:00 PM,C,9
06/05/17 11:37:00 PM,C,8.5
07/05/17 12:37:00 AM,C,8
07/05/17 1:37:00 AM,C,12
07/05/17 2:37:00 AM,C,12.5
07/05/17 3:37:00 AM,C,13
07/05/17 4:37:00 AM,C,12.5
07/05/17 5:37:00 AM,C,12.5
07/05/17 6:37:00 AM,C,12
07/05/17 7:37:00 AM,C,12
07/05/17 8:37:00 AM,C,13
07/05/17 9:37:00 AM,C,14.5
07/05/17 10:37:00 AM,C,17.5
07/05/17 11:37:00 AM,C,20
07/05/17 12:37:00 PM,C,23
07/05/17 1:37:00 PM,C,26
07/05/17 2:37:00 PM,C,29
07/05/17 3:37:00 PM,C,16
07/05/17 4:37:00 PM,C,15
07/05/17 5:37:00 PM,C,14.5
07/05/17 6:37:00 PM,C,14
07/05/17 7:37:00 PM,C,13.5
07/05/17 8:37:00 PM,C,12.5
07/05/17 9:37:00 PM,C,11.5
07/05/17 10:37:00 PM,C,10.5
07/05/17 11:37:00 PM,C,10
08/05/17 12:37:00 AM,C,9.5
08/05/17 1:37:00 AM,C,12
08/05/17 2:37:00 AM,C,12
08/05/17 3:37:00 AM,C,12
08/05/17 4:37:00 AM,C,12
08/05/17 5:37:00 AM,C,12
08/05/17 6:37:00 AM,C,12
08/05/17 7:37:00 AM,C,12
08/05/17 8:37:00 AM,C,12
08/05/17 9:37:00 AM,C,13.5
08/05/17 10:37:00 AM,C,14.5
08/05/17 11:37:00 AM,C,15.5
08/05/17 12:37:00 PM,C,16
08/05/17 1:37:00 PM,C,18
08/05/17 2:37:00 PM,C,18.5
08/05/17 3:37:00 PM,C,15
08/05/17 4:37:00 PM,C,12.5
08/05/17 5:37:00 PM,C,12
08/05/17 6:37:00 PM,C,12
08/05/17 7:37:00 PM,C,12
08/05/17 8:37:00 PM,C,12
08/05/17 9:37:00 PM,C,11.5
08/05/17 10:37:00 PM,C,11
08/05/17 11:37:00 PM,C,10.5
09/05/17 12:37:00 AM,C,10
09/05/17 1:37:00 AM,C,9.5
09/05/17 2:37:00 AM,C,11
09/05/17 3:37:00 AM,C,11.5
09/05/17 4:37:00 AM,C,11.5
09/05/17 5:37:00 AM,C,12
09/05/17 6:37:00 AM,C,11.5
09/05/17 7:37:00 AM,C,11.5
09/05/17 8:37:00 AM,C,12.5
09/05/17 9:37:00 AM,C,15
09/05/17 10:37:00 AM,C,17.5
09/05/17 11:37:00 AM,C,20
09/05/17 12:37:00 PM,C,20.5
