1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 83000000404C2A21
Is Mission Active?  true
Mission Start:  Wed May 24 00:48:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  10594
Total Samples:  10594
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:48:00 AM,C,13
24/05/17 1:48:00 AM,C,13.5
24/05/17 2:48:00 AM,C,13.5
24/05/17 3:48:00 AM,C,13.5
24/05/17 4:48:00 AM,C,13.5
24/05/17 5:48:00 AM,C,13.5
24/05/17 6:48:00 AM,C,13
24/05/17 7:48:00 AM,C,12.5
24/05/17 8:48:00 AM,C,16.5
24/05/17 9:48:00 AM,C,19
24/05/17 10:48:00 AM,C,23
24/05/17 11:48:00 AM,C,27
24/05/17 12:48:00 PM,C,31.5
24/05/17 1:48:00 PM,C,34.5
24/05/17 2:48:00 PM,C,35.5
24/05/17 3:48:00 PM,C,16
24/05/17 4:48:00 PM,C,15
24/05/17 5:48:00 PM,C,14
24/05/17 6:48:00 PM,C,13.5
24/05/17 7:48:00 PM,C,13
24/05/17 8:48:00 PM,C,13
24/05/17 9:48:00 PM,C,13
24/05/17 10:48:00 PM,C,10.5
24/05/17 11:48:00 PM,C,10.5
25/05/17 12:48:00 AM,C,10
25/05/17 1:48:00 AM,C,12.5
25/05/17 2:48:00 AM,C,12.5
25/05/17 3:48:00 AM,C,12.5
25/05/17 4:48:00 AM,C,12.5
25/05/17 5:48:00 AM,C,12.5
25/05/17 6:48:00 AM,C,12.5
25/05/17 7:48:00 AM,C,12.5
25/05/17 8:48:00 AM,C,14
25/05/17 9:48:00 AM,C,17
25/05/17 10:48:00 AM,C,20
25/05/17 11:48:00 AM,C,23
25/05/17 12:48:00 PM,C,25.5
25/05/17 1:48:00 PM,C,28.5
25/05/17 2:48:00 PM,C,30.5
25/05/17 3:48:00 PM,C,32
25/05/17 4:48:00 PM,C,18
25/05/17 5:48:00 PM,C,15
25/05/17 6:48:00 PM,C,14
25/05/17 7:48:00 PM,C,14
25/05/17 8:48:00 PM,C,14
25/05/17 9:48:00 PM,C,13.5
25/05/17 10:48:00 PM,C,13.5
25/05/17 11:48:00 PM,C,12.5
26/05/17 12:48:00 AM,C,12
26/05/17 1:48:00 AM,C,13
26/05/17 2:48:00 AM,C,13
26/05/17 3:48:00 AM,C,13
26/05/17 4:48:00 AM,C,13
26/05/17 5:48:00 AM,C,13
26/05/17 6:48:00 AM,C,13
26/05/17 7:48:00 AM,C,13.5
26/05/17 8:48:00 AM,C,15
26/05/17 9:48:00 AM,C,19
26/05/17 10:48:00 AM,C,23.5
26/05/17 11:48:00 AM,C,28
26/05/17 12:48:00 PM,C,33
26/05/17 1:48:00 PM,C,36.5
26/05/17 2:48:00 PM,C,39
26/05/17 3:48:00 PM,C,39.5
26/05/17 4:48:00 PM,C,29.5
26/05/17 5:48:00 PM,C,16
26/05/17 6:48:00 PM,C,14
26/05/17 7:48:00 PM,C,14
26/05/17 8:48:00 PM,C,14
26/05/17 9:48:00 PM,C,14
26/05/17 10:48:00 PM,C,14
26/05/17 11:48:00 PM,C,13.5
27/05/17 12:48:00 AM,C,12.5
27/05/17 1:48:00 AM,C,12
27/05/17 2:48:00 AM,C,13
27/05/17 3:48:00 AM,C,13.5
27/05/17 4:48:00 AM,C,13.5
27/05/17 5:48:00 AM,C,13.5
27/05/17 6:48:00 AM,C,13.5
27/05/17 7:48:00 AM,C,14
27/05/17 8:48:00 AM,C,14
27/05/17 9:48:00 AM,C,16.5
27/05/17 10:48:00 AM,C,20.5
27/05/17 11:48:00 AM,C,24
27/05/17 12:48:00 PM,C,29
27/05/17 1:48:00 PM,C,33.5
27/05/17 2:48:00 PM,C,39
27/05/17 3:48:00 PM,C,43
27/05/17 4:48:00 PM,C,36.5
27/05/17 5:48:00 PM,C,34
27/05/17 6:48:00 PM,C,17.5
27/05/17 7:48:00 PM,C,14.5
27/05/17 8:48:00 PM,C,14.5
27/05/17 9:48:00 PM,C,14.5
27/05/17 10:48:00 PM,C,13.5
27/05/17 11:48:00 PM,C,14
28/05/17 12:48:00 AM,C,14
28/05/17 1:48:00 AM,C,13.5
28/05/17 2:48:00 AM,C,13
28/05/17 3:48:00 AM,C,13.5
28/05/17 4:48:00 AM,C,13.5
28/05/17 5:48:00 AM,C,13.5
28/05/17 6:48:00 AM,C,14
28/05/17 7:48:00 AM,C,14
28/05/17 8:48:00 AM,C,14.5
28/05/17 9:48:00 AM,C,15.5
28/05/17 10:48:00 AM,C,22.5
28/05/17 11:48:00 AM,C,28
28/05/17 12:48:00 PM,C,33
28/05/17 1:48:00 PM,C,38
28/05/17 2:48:00 PM,C,40.5
28/05/17 3:48:00 PM,C,42.5
28/05/17 4:48:00 PM,C,37.5
28/05/17 5:48:00 PM,C,34.5
28/05/17 6:48:00 PM,C,21
28/05/17 7:48:00 PM,C,16.5
28/05/17 8:48:00 PM,C,13
28/05/17 9:48:00 PM,C,14.5
28/05/17 10:48:00 PM,C,14.5
28/05/17 11:48:00 PM,C,14.5
29/05/17 12:48:00 AM,C,14
29/05/17 1:48:00 AM,C,14
29/05/17 2:48:00 AM,C,13.5
29/05/17 3:48:00 AM,C,13.5
29/05/17 4:48:00 AM,C,13.5
29/05/17 5:48:00 AM,C,13.5
29/05/17 6:48:00 AM,C,14
29/05/17 7:48:00 AM,C,15
29/05/17 8:48:00 AM,C,15
29/05/17 9:48:00 AM,C,16
29/05/17 10:48:00 AM,C,20
29/05/17 11:48:00 AM,C,26.5
29/05/17 12:48:00 PM,C,32
29/05/17 1:48:00 PM,C,34
29/05/17 2:48:00 PM,C,37
29/05/17 3:48:00 PM,C,38.5
29/05/17 4:48:00 PM,C,34.5
29/05/17 5:48:00 PM,C,29.5
29/05/17 6:48:00 PM,C,24
29/05/17 7:48:00 PM,C,16
29/05/17 8:48:00 PM,C,16
29/05/17 9:48:00 PM,C,14
29/05/17 10:48:00 PM,C,14.5
29/05/17 11:48:00 PM,C,14
30/05/17 12:48:00 AM,C,14
30/05/17 1:48:00 AM,C,14
30/05/17 2:48:00 AM,C,14
30/05/17 3:48:00 AM,C,13.5
30/05/17 4:48:00 AM,C,12.5
30/05/17 5:48:00 AM,C,13
30/05/17 6:48:00 AM,C,13
30/05/17 7:48:00 AM,C,12.5
30/05/17 8:48:00 AM,C,12.5
30/05/17 9:48:00 AM,C,12.5
30/05/17 10:48:00 AM,C,13
30/05/17 11:48:00 AM,C,13.5
30/05/17 12:48:00 PM,C,13
30/05/17 1:48:00 PM,C,14.5
30/05/17 2:48:00 PM,C,14
30/05/17 3:48:00 PM,C,14.5
30/05/17 4:48:00 PM,C,17.5
30/05/17 5:48:00 PM,C,17
