1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5400000040489021
Is Mission Active?  true
Mission Start:  Wed May 24 00:55:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8605
Total Samples:  8605
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:55:00 AM,C,13
24/05/17 1:55:00 AM,C,13
24/05/17 2:55:00 AM,C,13
24/05/17 3:55:00 AM,C,12.5
24/05/17 4:55:00 AM,C,13
24/05/17 5:55:00 AM,C,13
24/05/17 6:55:00 AM,C,12.5
24/05/17 7:55:00 AM,C,13
24/05/17 8:55:00 AM,C,19.5
24/05/17 9:55:00 AM,C,24.5
24/05/17 10:55:00 AM,C,29
24/05/17 11:55:00 AM,C,31
24/05/17 12:55:00 PM,C,34.5
24/05/17 1:55:00 PM,C,36
24/05/17 2:55:00 PM,C,15.5
24/05/17 3:55:00 PM,C,14
24/05/17 4:55:00 PM,C,13
24/05/17 5:55:00 PM,C,12.5
24/05/17 6:55:00 PM,C,12
24/05/17 7:55:00 PM,C,12
24/05/17 8:55:00 PM,C,12
24/05/17 9:55:00 PM,C,12
24/05/17 10:55:00 PM,C,12
24/05/17 11:55:00 PM,C,11.5
25/05/17 12:55:00 AM,C,12
25/05/17 1:55:00 AM,C,12
25/05/17 2:55:00 AM,C,12
25/05/17 3:55:00 AM,C,11.5
25/05/17 4:55:00 AM,C,11.5
25/05/17 5:55:00 AM,C,12
25/05/17 6:55:00 AM,C,12
25/05/17 7:55:00 AM,C,12
25/05/17 8:55:00 AM,C,15.5
25/05/17 9:55:00 AM,C,25
25/05/17 10:55:00 AM,C,30.5
25/05/17 11:55:00 AM,C,35
25/05/17 12:55:00 PM,C,36
25/05/17 1:55:00 PM,C,37.5
25/05/17 2:55:00 PM,C,37.5
25/05/17 3:55:00 PM,C,15.5
25/05/17 4:55:00 PM,C,14
25/05/17 5:55:00 PM,C,13.5
25/05/17 6:55:00 PM,C,13
25/05/17 7:55:00 PM,C,12.5
25/05/17 8:55:00 PM,C,12.5
25/05/17 9:55:00 PM,C,12.5
25/05/17 10:55:00 PM,C,13.5
25/05/17 11:55:00 PM,C,13.5
26/05/17 12:55:00 AM,C,13
26/05/17 1:55:00 AM,C,13.5
26/05/17 2:55:00 AM,C,13
26/05/17 3:55:00 AM,C,13
26/05/17 4:55:00 AM,C,12.5
26/05/17 5:55:00 AM,C,12.5
26/05/17 6:55:00 AM,C,12.5
26/05/17 7:55:00 AM,C,12.5
26/05/17 8:55:00 AM,C,13.5
26/05/17 9:55:00 AM,C,24
26/05/17 10:55:00 AM,C,31.5
26/05/17 11:55:00 AM,C,37.5
26/05/17 12:55:00 PM,C,39
26/05/17 1:55:00 PM,C,41
26/05/17 2:55:00 PM,C,40
26/05/17 3:55:00 PM,C,39.5
26/05/17 4:55:00 PM,C,16.5
26/05/17 5:55:00 PM,C,14.5
26/05/17 6:55:00 PM,C,14
26/05/17 7:55:00 PM,C,13.5
26/05/17 8:55:00 PM,C,13
26/05/17 9:55:00 PM,C,13
26/05/17 10:55:00 PM,C,13.5
26/05/17 11:55:00 PM,C,13.5
27/05/17 12:55:00 AM,C,13.5
27/05/17 1:55:00 AM,C,14
27/05/17 2:55:00 AM,C,13.5
27/05/17 3:55:00 AM,C,13.5
27/05/17 4:55:00 AM,C,13.5
27/05/17 5:55:00 AM,C,13.5
27/05/17 6:55:00 AM,C,13.5
27/05/17 7:55:00 AM,C,13.5
27/05/17 8:55:00 AM,C,14
27/05/17 9:55:00 AM,C,14.5
27/05/17 10:55:00 AM,C,30
27/05/17 11:55:00 AM,C,36.5
27/05/17 12:55:00 PM,C,39
27/05/17 1:55:00 PM,C,41
27/05/17 2:55:00 PM,C,41
27/05/17 3:55:00 PM,C,39.5
27/05/17 4:55:00 PM,C,36.5
27/05/17 5:55:00 PM,C,18
27/05/17 6:55:00 PM,C,15.5
27/05/17 7:55:00 PM,C,15
27/05/17 8:55:00 PM,C,14
27/05/17 9:55:00 PM,C,13.5
27/05/17 10:55:00 PM,C,13.5
27/05/17 11:55:00 PM,C,13.5
28/05/17 12:55:00 AM,C,15
28/05/17 1:55:00 AM,C,15
28/05/17 2:55:00 AM,C,15
28/05/17 3:55:00 AM,C,15.5
28/05/17 4:55:00 AM,C,14.5
28/05/17 5:55:00 AM,C,14.5
28/05/17 6:55:00 AM,C,14.5
28/05/17 7:55:00 AM,C,15
28/05/17 8:55:00 AM,C,15
28/05/17 9:55:00 AM,C,15.5
28/05/17 10:55:00 AM,C,23
28/05/17 11:55:00 AM,C,34.5
28/05/17 12:55:00 PM,C,39
28/05/17 1:55:00 PM,C,40.5
28/05/17 2:55:00 PM,C,41.5
28/05/17 3:55:00 PM,C,40
28/05/17 4:55:00 PM,C,36
28/05/17 5:55:00 PM,C,23
28/05/17 6:55:00 PM,C,17
28/05/17 7:55:00 PM,C,17
28/05/17 8:55:00 PM,C,16
28/05/17 9:55:00 PM,C,15.5
28/05/17 10:55:00 PM,C,14.5
28/05/17 11:55:00 PM,C,14.5
29/05/17 12:55:00 AM,C,15.5
29/05/17 1:55:00 AM,C,15
29/05/17 2:55:00 AM,C,16.5
29/05/17 3:55:00 AM,C,15
29/05/17 4:55:00 AM,C,15
29/05/17 5:55:00 AM,C,15
29/05/17 6:55:00 AM,C,15
29/05/17 7:55:00 AM,C,15.5
29/05/17 8:55:00 AM,C,16
29/05/17 9:55:00 AM,C,16.5
29/05/17 10:55:00 AM,C,16.5
29/05/17 11:55:00 AM,C,25
29/05/17 12:55:00 PM,C,36.5
29/05/17 1:55:00 PM,C,36.5
29/05/17 2:55:00 PM,C,35
29/05/17 3:55:00 PM,C,33
29/05/17 4:55:00 PM,C,34.5
29/05/17 5:55:00 PM,C,30
29/05/17 6:55:00 PM,C,18
29/05/17 7:55:00 PM,C,17.5
29/05/17 8:55:00 PM,C,16
29/05/17 9:55:00 PM,C,15
29/05/17 10:55:00 PM,C,14.5
29/05/17 11:55:00 PM,C,14.5
30/05/17 12:55:00 AM,C,16
30/05/17 1:55:00 AM,C,16
30/05/17 2:55:00 AM,C,16.5
30/05/17 3:55:00 AM,C,16.5
30/05/17 4:55:00 AM,C,16.5
30/05/17 5:55:00 AM,C,16
30/05/17 6:55:00 AM,C,14.5
30/05/17 7:55:00 AM,C,14.5
30/05/17 8:55:00 AM,C,15.5
30/05/17 9:55:00 AM,C,16
30/05/17 10:55:00 AM,C,16
30/05/17 11:55:00 AM,C,16
30/05/17 12:55:00 PM,C,16.5
30/05/17 1:55:00 PM,C,18
30/05/17 2:55:00 PM,C,19
30/05/17 3:55:00 PM,C,18
30/05/17 4:55:00 PM,C,19
30/05/17 5:55:00 PM,C,20
30/05/17 6:55:00 PM,C,17.5
30/05/17 7:55:00 PM,C,15.5
30/05/17 8:55:00 PM,C,15.5
30/05/17 9:55:00 PM,C,15.5
30/05/17 10:55:00 PM,C,15
30/05/17 11:55:00 PM,C,15
31/05/17 12:55:00 AM,C,15
31/05/17 1:55:00 AM,C,15
31/05/17 2:55:00 AM,C,15
31/05/17 3:55:00 AM,C,15
31/05/17 4:55:00 AM,C,15
31/05/17 5:55:00 AM,C,15
31/05/17 6:55:00 AM,C,15
31/05/17 7:55:00 AM,C,15
31/05/17 8:55:00 AM,C,15
31/05/17 9:55:00 AM,C,14.5
31/05/17 10:55:00 AM,C,14.5
31/05/17 11:55:00 AM,C,15
31/05/17 12:55:00 PM,C,15
31/05/17 1:55:00 PM,C,15
31/05/17 2:55:00 PM,C,15.5
31/05/17 3:55:00 PM,C,15
31/05/17 4:55:00 PM,C,16
31/05/17 5:55:00 PM,C,15.5
31/05/17 6:55:00 PM,C,15.5
31/05/17 7:55:00 PM,C,15
31/05/17 8:55:00 PM,C,15
31/05/17 9:55:00 PM,C,14.5
31/05/17 10:55:00 PM,C,14.5
31/05/17 11:55:00 PM,C,14.5
01/06/17 12:55:00 AM,C,14.5
01/06/17 1:55:00 AM,C,14.5
01/06/17 2:55:00 AM,C,14.5
01/06/17 3:55:00 AM,C,14.5
01/06/17 4:55:00 AM,C,14.5
01/06/17 5:55:00 AM,C,14.5
01/06/17 6:55:00 AM,C,14.5
01/06/17 7:55:00 AM,C,14.5
01/06/17 8:55:00 AM,C,15
01/06/17 9:55:00 AM,C,15
01/06/17 10:55:00 AM,C,15
01/06/17 11:55:00 AM,C,14.5
01/06/17 12:55:00 PM,C,15
01/06/17 1:55:00 PM,C,15
01/06/17 2:55:00 PM,C,15
01/06/17 3:55:00 PM,C,16
01/06/17 4:55:00 PM,C,16.5
01/06/17 5:55:00 PM,C,16
01/06/17 6:55:00 PM,C,14
01/06/17 7:55:00 PM,C,14.5
01/06/17 8:55:00 PM,C,15
01/06/17 9:55:00 PM,C,14.5
01/06/17 10:55:00 PM,C,14.5
01/06/17 11:55:00 PM,C,14.5
02/06/17 12:55:00 AM,C,14.5
02/06/17 1:55:00 AM,C,14.5
02/06/17 2:55:00 AM,C,14.5
02/06/17 3:55:00 AM,C,14.5
02/06/17 4:55:00 AM,C,14.5
02/06/17 5:55:00 AM,C,14.5
02/06/17 6:55:00 AM,C,14.5
02/06/17 7:55:00 AM,C,14.5
02/06/17 8:55:00 AM,C,15
02/06/17 9:55:00 AM,C,15
02/06/17 10:55:00 AM,C,15
02/06/17 11:55:00 AM,C,15.5
02/06/17 12:55:00 PM,C,15
02/06/17 1:55:00 PM,C,15
02/06/17 2:55:00 PM,C,15.5
02/06/17 3:55:00 PM,C,15.5
02/06/17 4:55:00 PM,C,15.5
02/06/17 5:55:00 PM,C,16
02/06/17 6:55:00 PM,C,14.5
02/06/17 7:55:00 PM,C,14.5
02/06/17 8:55:00 PM,C,15
02/06/17 9:55:00 PM,C,15.5
02/06/17 10:55:00 PM,C,15
02/06/17 11:55:00 PM,C,15
03/06/17 12:55:00 AM,C,15
03/06/17 1:55:00 AM,C,15
03/06/17 2:55:00 AM,C,14.5
03/06/17 3:55:00 AM,C,14.5
03/06/17 4:55:00 AM,C,15
03/06/17 5:55:00 AM,C,15
03/06/17 6:55:00 AM,C,14.5
03/06/17 7:55:00 AM,C,15.5
03/06/17 8:55:00 AM,C,17.5
03/06/17 9:55:00 AM,C,27
03/06/17 10:55:00 AM,C,19
03/06/17 11:55:00 AM,C,16
03/06/17 12:55:00 PM,C,17
03/06/17 1:55:00 PM,C,16.5
03/06/17 2:55:00 PM,C,15.5
03/06/17 3:55:00 PM,C,16
03/06/17 4:55:00 PM,C,16
03/06/17 5:55:00 PM,C,17
03/06/17 6:55:00 PM,C,17.5
03/06/17 7:55:00 PM,C,16
03/06/17 8:55:00 PM,C,15.5
03/06/17 9:55:00 PM,C,15.5
03/06/17 10:55:00 PM,C,15.5
03/06/17 11:55:00 PM,C,15.5
04/06/17 12:55:00 AM,C,15
04/06/17 1:55:00 AM,C,15
04/06/17 2:55:00 AM,C,15
04/06/17 3:55:00 AM,C,15
04/06/17 4:55:00 AM,C,15
04/06/17 5:55:00 AM,C,15
04/06/17 6:55:00 AM,C,15
04/06/17 7:55:00 AM,C,16.5
04/06/17 8:55:00 AM,C,25
04/06/17 9:55:00 AM,C,29
04/06/17 10:55:00 AM,C,33.5
04/06/17 11:55:00 AM,C,36.5
04/06/17 12:55:00 PM,C,17.5
04/06/17 1:55:00 PM,C,17.5
04/06/17 2:55:00 PM,C,17.5
04/06/17 3:55:00 PM,C,16
04/06/17 4:55:00 PM,C,16
04/06/17 5:55:00 PM,C,16
04/06/17 6:55:00 PM,C,16
04/06/17 7:55:00 PM,C,16
04/06/17 8:55:00 PM,C,16
04/06/17 9:55:00 PM,C,16
04/06/17 10:55:00 PM,C,16
04/06/17 11:55:00 PM,C,15.5
05/06/17 12:55:00 AM,C,15.5
05/06/17 1:55:00 AM,C,15.5
05/06/17 2:55:00 AM,C,15.5
05/06/17 3:55:00 AM,C,15.5
05/06/17 4:55:00 AM,C,15.5
05/06/17 5:55:00 AM,C,15.5
05/06/17 6:55:00 AM,C,15.5
05/06/17 7:55:00 AM,C,19
05/06/17 8:55:00 AM,C,26
05/06/17 9:55:00 AM,C,31
05/06/17 10:55:00 AM,C,34.5
05/06/17 11:55:00 AM,C,34
05/06/17 12:55:00 PM,C,35
05/06/17 1:55:00 PM,C,19
05/06/17 2:55:00 PM,C,18
05/06/17 3:55:00 PM,C,17
05/06/17 4:55:00 PM,C,16.5
05/06/17 5:55:00 PM,C,16
05/06/17 6:55:00 PM,C,16
05/06/17 7:55:00 PM,C,16
05/06/17 8:55:00 PM,C,16.5
05/06/17 9:55:00 PM,C,16.5
05/06/17 10:55:00 PM,C,16.5
05/06/17 11:55:00 PM,C,16.5
06/06/17 12:55:00 AM,C,16
06/06/17 1:55:00 AM,C,16
06/06/17 2:55:00 AM,C,15.5
06/06/17 3:55:00 AM,C,15.5
06/06/17 4:55:00 AM,C,15.5
06/06/17 5:55:00 AM,C,15.5
06/06/17 6:55:00 AM,C,15.5
06/06/17 7:55:00 AM,C,16
06/06/17 8:55:00 AM,C,25
06/06/17 9:55:00 AM,C,30.5
06/06/17 10:55:00 AM,C,35
06/06/17 11:55:00 AM,C,38.5
06/06/17 12:55:00 PM,C,40
06/06/17 1:55:00 PM,C,24.5
06/06/17 2:55:00 PM,C,17.5
06/06/17 3:55:00 PM,C,16.5
06/06/17 4:55:00 PM,C,16.5
06/06/17 5:55:00 PM,C,16
06/06/17 6:55:00 PM,C,16
06/06/17 7:55:00 PM,C,17
06/06/17 8:55:00 PM,C,17.5
06/06/17 9:55:00 PM,C,17
06/06/17 10:55:00 PM,C,16.5
06/06/17 11:55:00 PM,C,16.5
07/06/17 12:55:00 AM,C,16.5
07/06/17 1:55:00 AM,C,16.5
07/06/17 2:55:00 AM,C,16.5
07/06/17 3:55:00 AM,C,16
07/06/17 4:55:00 AM,C,16
07/06/17 5:55:00 AM,C,16
07/06/17 6:55:00 AM,C,15.5
07/06/17 7:55:00 AM,C,15.5
07/06/17 8:55:00 AM,C,17
07/06/17 9:55:00 AM,C,20
07/06/17 10:55:00 AM,C,25.5
07/06/17 11:55:00 AM,C,35
07/06/17 12:55:00 PM,C,36
07/06/17 1:55:00 PM,C,37.5
07/06/17 2:55:00 PM,C,18
07/06/17 3:55:00 PM,C,18
07/06/17 4:55:00 PM,C,17
07/06/17 5:55:00 PM,C,17
07/06/17 6:55:00 PM,C,17.5
07/06/17 7:55:00 PM,C,17
07/06/17 8:55:00 PM,C,17
07/06/17 9:55:00 PM,C,17.5
07/06/17 10:55:00 PM,C,17
07/06/17 11:55:00 PM,C,17.5
08/06/17 12:55:00 AM,C,17.5
08/06/17 1:55:00 AM,C,17.5
08/06/17 2:55:00 AM,C,17
08/06/17 3:55:00 AM,C,17
08/06/17 4:55:00 AM,C,16.5
08/06/17 5:55:00 AM,C,16.5
08/06/17 6:55:00 AM,C,17
08/06/17 7:55:00 AM,C,17
08/06/17 8:55:00 AM,C,17
08/06/17 9:55:00 AM,C,15.5
08/06/17 10:55:00 AM,C,16.5
08/06/17 11:55:00 AM,C,16
08/06/17 12:55:00 PM,C,16
08/06/17 1:55:00 PM,C,16
08/06/17 2:55:00 PM,C,16.5
08/06/17 3:55:00 PM,C,16.5
08/06/17 4:55:00 PM,C,16.5
08/06/17 5:55:00 PM,C,16.5
08/06/17 6:55:00 PM,C,16.5
08/06/17 7:55:00 PM,C,16.5
08/06/17 8:55:00 PM,C,16.5
08/06/17 9:55:00 PM,C,16.5
08/06/17 10:55:00 PM,C,16.5
08/06/17 11:55:00 PM,C,16.5
09/06/17 12:55:00 AM,C,16.5
09/06/17 1:55:00 AM,C,16.5
09/06/17 2:55:00 AM,C,16.5
09/06/17 3:55:00 AM,C,16
09/06/17 4:55:00 AM,C,16
09/06/17 5:55:00 AM,C,16
09/06/17 6:55:00 AM,C,16
09/06/17 7:55:00 AM,C,16
