1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E800000040402721
Is Mission Active?  true
Mission Start:  Mon May 01 08:42:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  9149
Total Samples:  9149
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
01/05/17 8:42:00 AM,C,21
01/05/17 9:42:00 AM,C,25
01/05/17 10:42:00 AM,C,19.5
01/05/17 11:42:00 AM,C,14.5
01/05/17 12:42:00 PM,C,15
01/05/17 1:42:00 PM,C,14.5
01/05/17 2:42:00 PM,C,15.5
01/05/17 3:42:00 PM,C,16.5
01/05/17 4:42:00 PM,C,16.5
01/05/17 5:42:00 PM,C,16.5
01/05/17 6:42:00 PM,C,17
01/05/17 7:42:00 PM,C,15.5
01/05/17 8:42:00 PM,C,15
01/05/17 9:42:00 PM,C,14.5
01/05/17 10:42:00 PM,C,14
01/05/17 11:42:00 PM,C,13
02/05/17 12:42:00 AM,C,12.5
02/05/17 1:42:00 AM,C,11.5
02/05/17 2:42:00 AM,C,10.5
02/05/17 3:42:00 AM,C,9.5
02/05/17 4:42:00 AM,C,9
02/05/17 5:42:00 AM,C,8.5
02/05/17 6:42:00 AM,C,8.5
02/05/17 7:42:00 AM,C,8.5
02/05/17 8:42:00 AM,C,8.5
02/05/17 9:42:00 AM,C,9
02/05/17 10:42:00 AM,C,10.5
02/05/17 11:42:00 AM,C,13.5
02/05/17 12:42:00 PM,C,16
02/05/17 1:42:00 PM,C,17.5
02/05/17 2:42:00 PM,C,16
02/05/17 3:42:00 PM,C,16.5
02/05/17 4:42:00 PM,C,17
02/05/17 5:42:00 PM,C,17.5
02/05/17 6:42:00 PM,C,18
02/05/17 7:42:00 PM,C,18
02/05/17 8:42:00 PM,C,17.5
02/05/17 9:42:00 PM,C,17
02/05/17 10:42:00 PM,C,16
02/05/17 11:42:00 PM,C,15
03/05/17 12:42:00 AM,C,14.5
03/05/17 1:42:00 AM,C,14
03/05/17 2:42:00 AM,C,13
03/05/17 3:42:00 AM,C,13
03/05/17 4:42:00 AM,C,12.5
03/05/17 5:42:00 AM,C,12
03/05/17 6:42:00 AM,C,12
03/05/17 7:42:00 AM,C,12
03/05/17 8:42:00 AM,C,12.5
03/05/17 9:42:00 AM,C,13
03/05/17 10:42:00 AM,C,18
03/05/17 11:42:00 AM,C,19
03/05/17 12:42:00 PM,C,15.5
03/05/17 1:42:00 PM,C,12.5
03/05/17 2:42:00 PM,C,12.5
03/05/17 3:42:00 PM,C,17
03/05/17 4:42:00 PM,C,12.5
03/05/17 5:42:00 PM,C,12.5
03/05/17 6:42:00 PM,C,12
03/05/17 7:42:00 PM,C,11.5
03/05/17 8:42:00 PM,C,11.5
03/05/17 9:42:00 PM,C,11.5
03/05/17 10:42:00 PM,C,11
03/05/17 11:42:00 PM,C,11
04/05/17 12:42:00 AM,C,11
04/05/17 1:42:00 AM,C,11
04/05/17 2:42:00 AM,C,11
04/05/17 3:42:00 AM,C,11
04/05/17 4:42:00 AM,C,11
04/05/17 5:42:00 AM,C,11
04/05/17 6:42:00 AM,C,11
04/05/17 7:42:00 AM,C,10.5
04/05/17 8:42:00 AM,C,12
04/05/17 9:42:00 AM,C,11.5
04/05/17 10:42:00 AM,C,11.5
04/05/17 11:42:00 AM,C,12
04/05/17 12:42:00 PM,C,12.5
04/05/17 1:42:00 PM,C,12.5
04/05/17 2:42:00 PM,C,13
04/05/17 3:42:00 PM,C,13
04/05/17 4:42:00 PM,C,18.5
04/05/17 5:42:00 PM,C,21.5
04/05/17 6:42:00 PM,C,17.5
04/05/17 7:42:00 PM,C,16.5
04/05/17 8:42:00 PM,C,14
04/05/17 9:42:00 PM,C,13
04/05/17 10:42:00 PM,C,14
04/05/17 11:42:00 PM,C,12
05/05/17 12:42:00 AM,C,11.5
05/05/17 1:42:00 AM,C,11.5
05/05/17 2:42:00 AM,C,11.5
05/05/17 3:42:00 AM,C,11
05/05/17 4:42:00 AM,C,11
05/05/17 5:42:00 AM,C,11.5
05/05/17 6:42:00 AM,C,11.5
05/05/17 7:42:00 AM,C,12.5
05/05/17 8:42:00 AM,C,12.5
05/05/17 9:42:00 AM,C,16
05/05/17 10:42:00 AM,C,13.5
05/05/17 11:42:00 AM,C,13
05/05/17 12:42:00 PM,C,13.5
05/05/17 1:42:00 PM,C,12
05/05/17 2:42:00 PM,C,11.5
05/05/17 3:42:00 PM,C,11.5
05/05/17 4:42:00 PM,C,12.5
05/05/17 5:42:00 PM,C,12.5
05/05/17 6:42:00 PM,C,12
05/05/17 7:42:00 PM,C,10.5
05/05/17 8:42:00 PM,C,9
05/05/17 9:42:00 PM,C,8.5
05/05/17 10:42:00 PM,C,8
05/05/17 11:42:00 PM,C,11.5
06/05/17 12:42:00 AM,C,11.5
06/05/17 1:42:00 AM,C,11.5
06/05/17 2:42:00 AM,C,11.5
06/05/17 3:42:00 AM,C,11.5
06/05/17 4:42:00 AM,C,11.5
06/05/17 5:42:00 AM,C,11.5
06/05/17 6:42:00 AM,C,11.5
06/05/17 7:42:00 AM,C,11.5
06/05/17 8:42:00 AM,C,16.5
06/05/17 9:42:00 AM,C,20.5
06/05/17 10:42:00 AM,C,25.5
06/05/17 11:42:00 AM,C,28.5
06/05/17 12:42:00 PM,C,28.5
06/05/17 1:42:00 PM,C,15
06/05/17 2:42:00 PM,C,13
06/05/17 3:42:00 PM,C,12.5
06/05/17 4:42:00 PM,C,12.5
06/05/17 5:42:00 PM,C,12
06/05/17 6:42:00 PM,C,12
06/05/17 7:42:00 PM,C,12
06/05/17 8:42:00 PM,C,9
06/05/17 9:42:00 PM,C,8
06/05/17 10:42:00 PM,C,7
06/05/17 11:42:00 PM,C,6.5
07/05/17 12:42:00 AM,C,10.5
07/05/17 1:42:00 AM,C,11
07/05/17 2:42:00 AM,C,11
07/05/17 3:42:00 AM,C,11
07/05/17 4:42:00 AM,C,11.5
07/05/17 5:42:00 AM,C,11.5
07/05/17 6:42:00 AM,C,11.5
07/05/17 7:42:00 AM,C,12
07/05/17 8:42:00 AM,C,15.5
07/05/17 9:42:00 AM,C,22.5
07/05/17 10:42:00 AM,C,26.5
07/05/17 11:42:00 AM,C,30
07/05/17 12:42:00 PM,C,33
07/05/17 1:42:00 PM,C,34.5
07/05/17 2:42:00 PM,C,15
07/05/17 3:42:00 PM,C,14
07/05/17 4:42:00 PM,C,13
07/05/17 5:42:00 PM,C,13
