1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EC000000404F8621
Is Mission Active?  true
Mission Start:  Fri Jul 13 00:22:00 PDT 2018
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  13073
Total Samples:  22180
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
13/07/18 12:22:00 AM,C,13.5
13/07/18 12:52:00 AM,C,13.5
13/07/18 1:22:00 AM,C,13.5
13/07/18 1:52:00 AM,C,13.5
13/07/18 2:22:00 AM,C,13.5
13/07/18 2:52:00 AM,C,13.5
13/07/18 3:22:00 AM,C,13
13/07/18 3:52:00 AM,C,13.5
13/07/18 4:22:00 AM,C,13.5
13/07/18 4:52:00 AM,C,13
13/07/18 5:22:00 AM,C,13
13/07/18 5:52:00 AM,C,13
13/07/18 6:22:00 AM,C,13
13/07/18 6:52:00 AM,C,13
13/07/18 7:22:00 AM,C,13
13/07/18 7:52:00 AM,C,13
13/07/18 8:22:00 AM,C,13.5
13/07/18 8:52:00 AM,C,18
13/07/18 9:22:00 AM,C,21
13/07/18 9:52:00 AM,C,21.5
13/07/18 10:22:00 AM,C,23
13/07/18 10:52:00 AM,C,24.5
13/07/18 11:22:00 AM,C,28.5
13/07/18 11:52:00 AM,C,30.5
13/07/18 12:22:00 PM,C,32
13/07/18 12:52:00 PM,C,33.5
13/07/18 1:22:00 PM,C,35
13/07/18 1:52:00 PM,C,35.5
13/07/18 2:22:00 PM,C,37
13/07/18 2:52:00 PM,C,36
13/07/18 3:22:00 PM,C,15.5
13/07/18 3:52:00 PM,C,14
13/07/18 4:22:00 PM,C,14
13/07/18 4:52:00 PM,C,13.5
13/07/18 5:22:00 PM,C,13.5
13/07/18 5:52:00 PM,C,14
13/07/18 6:22:00 PM,C,13.5
13/07/18 6:52:00 PM,C,13
13/07/18 7:22:00 PM,C,12.5
13/07/18 7:52:00 PM,C,12.5
13/07/18 8:22:00 PM,C,13
13/07/18 8:52:00 PM,C,12.5
13/07/18 9:22:00 PM,C,12.5
13/07/18 9:52:00 PM,C,12.5
13/07/18 10:22:00 PM,C,12.5
13/07/18 10:52:00 PM,C,12.5
13/07/18 11:22:00 PM,C,12.5
13/07/18 11:52:00 PM,C,12.5
14/07/18 12:22:00 AM,C,13
14/07/18 12:52:00 AM,C,13
14/07/18 1:22:00 AM,C,13
14/07/18 1:52:00 AM,C,12.5
14/07/18 2:22:00 AM,C,13
14/07/18 2:52:00 AM,C,13
14/07/18 3:22:00 AM,C,13
14/07/18 3:52:00 AM,C,13
14/07/18 4:22:00 AM,C,13
14/07/18 4:52:00 AM,C,13
14/07/18 5:22:00 AM,C,13
14/07/18 5:52:00 AM,C,12.5
14/07/18 6:22:00 AM,C,12
14/07/18 6:52:00 AM,C,13
14/07/18 7:22:00 AM,C,13
14/07/18 7:52:00 AM,C,13
14/07/18 8:22:00 AM,C,13
14/07/18 8:52:00 AM,C,13.5
14/07/18 9:22:00 AM,C,16
14/07/18 9:52:00 AM,C,21
14/07/18 10:22:00 AM,C,23.5
14/07/18 10:52:00 AM,C,25
14/07/18 11:22:00 AM,C,26
14/07/18 11:52:00 AM,C,27
