1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 47000000403F4521
Is Mission Active?  true
Mission Start:  Sat Jun 09 00:15:00 PDT 2018
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  14706
Total Samples:  24357
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
09/06/18 12:15:00 AM,C,12
09/06/18 12:45:00 AM,C,12
09/06/18 1:15:00 AM,C,12
09/06/18 1:45:00 AM,C,11.5
09/06/18 2:15:00 AM,C,11.5
09/06/18 2:45:00 AM,C,11.5
09/06/18 3:15:00 AM,C,11.5
09/06/18 3:45:00 AM,C,11.5
09/06/18 4:15:00 AM,C,11
09/06/18 4:45:00 AM,C,11
09/06/18 5:15:00 AM,C,10.5
09/06/18 5:45:00 AM,C,10.5
09/06/18 6:15:00 AM,C,10.5
09/06/18 6:45:00 AM,C,10.5
09/06/18 7:15:00 AM,C,10.5
09/06/18 7:45:00 AM,C,11
09/06/18 8:15:00 AM,C,12.5
09/06/18 8:45:00 AM,C,14.5
09/06/18 9:15:00 AM,C,15.5
09/06/18 9:45:00 AM,C,17
09/06/18 10:15:00 AM,C,18.5
09/06/18 10:45:00 AM,C,19
09/06/18 11:15:00 AM,C,19.5
09/06/18 11:45:00 AM,C,19.5
09/06/18 12:15:00 PM,C,19.5
09/06/18 12:45:00 PM,C,19
09/06/18 1:15:00 PM,C,18
09/06/18 1:45:00 PM,C,17.5
09/06/18 2:15:00 PM,C,17
09/06/18 2:45:00 PM,C,17
09/06/18 3:15:00 PM,C,17.5
09/06/18 3:45:00 PM,C,18.5
09/06/18 4:15:00 PM,C,20
09/06/18 4:45:00 PM,C,21
09/06/18 5:15:00 PM,C,23.5
09/06/18 5:45:00 PM,C,26
09/06/18 6:15:00 PM,C,25.5
09/06/18 6:45:00 PM,C,24.5
09/06/18 7:15:00 PM,C,24
09/06/18 7:45:00 PM,C,24
09/06/18 8:15:00 PM,C,24
09/06/18 8:45:00 PM,C,22.5
09/06/18 9:15:00 PM,C,21
09/06/18 9:45:00 PM,C,19
09/06/18 10:15:00 PM,C,17.5
09/06/18 10:45:00 PM,C,16
09/06/18 11:15:00 PM,C,15
09/06/18 11:45:00 PM,C,14
10/06/18 12:15:00 AM,C,13.5
10/06/18 12:45:00 AM,C,13
10/06/18 1:15:00 AM,C,12.5
10/06/18 1:45:00 AM,C,12
10/06/18 2:15:00 AM,C,11.5
10/06/18 2:45:00 AM,C,11.5
10/06/18 3:15:00 AM,C,11
10/06/18 3:45:00 AM,C,11
10/06/18 4:15:00 AM,C,11
10/06/18 4:45:00 AM,C,11
10/06/18 5:15:00 AM,C,11
10/06/18 5:45:00 AM,C,10.5
10/06/18 6:15:00 AM,C,10.5
10/06/18 6:45:00 AM,C,10.5
10/06/18 7:15:00 AM,C,10.5
10/06/18 7:45:00 AM,C,11
10/06/18 8:15:00 AM,C,11
10/06/18 8:45:00 AM,C,12
10/06/18 9:15:00 AM,C,14
10/06/18 9:45:00 AM,C,15
10/06/18 10:15:00 AM,C,15
10/06/18 10:45:00 AM,C,12.5
10/06/18 11:15:00 AM,C,11.5
10/06/18 11:45:00 AM,C,11
10/06/18 12:15:00 PM,C,11
10/06/18 12:45:00 PM,C,11.5
10/06/18 1:15:00 PM,C,11.5
10/06/18 1:45:00 PM,C,11.5
10/06/18 2:15:00 PM,C,11.5
10/06/18 2:45:00 PM,C,11
10/06/18 3:15:00 PM,C,11
10/06/18 3:45:00 PM,C,11
10/06/18 4:15:00 PM,C,11.5
10/06/18 4:45:00 PM,C,11
10/06/18 5:15:00 PM,C,10.5
10/06/18 5:45:00 PM,C,11
10/06/18 6:15:00 PM,C,11
10/06/18 6:45:00 PM,C,11.5
10/06/18 7:15:00 PM,C,11
10/06/18 7:45:00 PM,C,11
10/06/18 8:15:00 PM,C,11
10/06/18 8:45:00 PM,C,11
10/06/18 9:15:00 PM,C,11
10/06/18 9:45:00 PM,C,11
10/06/18 10:15:00 PM,C,11.5
10/06/18 10:45:00 PM,C,11.5
10/06/18 11:15:00 PM,C,11.5
10/06/18 11:45:00 PM,C,11.5
11/06/18 12:15:00 AM,C,11.5
11/06/18 12:45:00 AM,C,11.5
11/06/18 1:15:00 AM,C,11.5
11/06/18 1:45:00 AM,C,11
11/06/18 2:15:00 AM,C,11
