1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C300000040526F21
Is Mission Active?  true
Mission Start:  Sat Jun 23 12:37:00 PDT 2018
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  14009
Total Samples:  23612
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
23/06/18 12:37:00 PM,C,13
23/06/18 1:07:00 PM,C,13
23/06/18 1:37:00 PM,C,12.5
23/06/18 2:07:00 PM,C,12.5
23/06/18 2:37:00 PM,C,13
23/06/18 3:07:00 PM,C,12
23/06/18 3:37:00 PM,C,13
23/06/18 4:07:00 PM,C,13
23/06/18 4:37:00 PM,C,12.5
23/06/18 5:07:00 PM,C,12
23/06/18 5:37:00 PM,C,12.5
23/06/18 6:07:00 PM,C,13
23/06/18 6:37:00 PM,C,13.5
23/06/18 7:07:00 PM,C,13.5
23/06/18 7:37:00 PM,C,13
23/06/18 8:07:00 PM,C,13
23/06/18 8:37:00 PM,C,13
23/06/18 9:07:00 PM,C,13
23/06/18 9:37:00 PM,C,13.5
23/06/18 10:07:00 PM,C,13
23/06/18 10:37:00 PM,C,13
23/06/18 11:07:00 PM,C,13
23/06/18 11:37:00 PM,C,13
24/06/18 12:07:00 AM,C,13
24/06/18 12:37:00 AM,C,13
24/06/18 1:07:00 AM,C,12.5
24/06/18 1:37:00 AM,C,12.5
24/06/18 2:07:00 AM,C,13
24/06/18 2:37:00 AM,C,12.5
24/06/18 3:07:00 AM,C,12.5
24/06/18 3:37:00 AM,C,12.5
24/06/18 4:07:00 AM,C,12.5
24/06/18 4:37:00 AM,C,12.5
24/06/18 5:07:00 AM,C,12.5
24/06/18 5:37:00 AM,C,12.5
24/06/18 6:07:00 AM,C,12.5
24/06/18 6:37:00 AM,C,12.5
24/06/18 7:07:00 AM,C,13
24/06/18 7:37:00 AM,C,13
24/06/18 8:07:00 AM,C,13.5
24/06/18 8:37:00 AM,C,15.5
24/06/18 9:07:00 AM,C,18
24/06/18 9:37:00 AM,C,20
24/06/18 10:07:00 AM,C,22
24/06/18 10:37:00 AM,C,24.5
24/06/18 11:07:00 AM,C,25
24/06/18 11:37:00 AM,C,22.5
24/06/18 12:07:00 PM,C,14.5
24/06/18 12:37:00 PM,C,14
24/06/18 1:07:00 PM,C,14
24/06/18 1:37:00 PM,C,14
24/06/18 2:07:00 PM,C,13.5
24/06/18 2:37:00 PM,C,13.5
24/06/18 3:07:00 PM,C,12
24/06/18 3:37:00 PM,C,11.5
24/06/18 4:07:00 PM,C,12
24/06/18 4:37:00 PM,C,11.5
24/06/18 5:07:00 PM,C,11.5
24/06/18 5:37:00 PM,C,11.5
24/06/18 6:07:00 PM,C,11.5
24/06/18 6:37:00 PM,C,11.5
24/06/18 7:07:00 PM,C,12
24/06/18 7:37:00 PM,C,12
24/06/18 8:07:00 PM,C,12
24/06/18 8:37:00 PM,C,12
24/06/18 9:07:00 PM,C,12
24/06/18 9:37:00 PM,C,12
24/06/18 10:07:00 PM,C,12
24/06/18 10:37:00 PM,C,12
24/06/18 11:07:00 PM,C,12
24/06/18 11:37:00 PM,C,12
25/06/18 12:07:00 AM,C,12
25/06/18 12:37:00 AM,C,12
25/06/18 1:07:00 AM,C,12.5
25/06/18 1:37:00 AM,C,12.5
25/06/18 2:07:00 AM,C,12.5
25/06/18 2:37:00 AM,C,12.5
25/06/18 3:07:00 AM,C,12.5
25/06/18 3:37:00 AM,C,12.5
25/06/18 4:07:00 AM,C,12
25/06/18 4:37:00 AM,C,12.5
25/06/18 5:07:00 AM,C,12
25/06/18 5:37:00 AM,C,12
25/06/18 6:07:00 AM,C,12
25/06/18 6:37:00 AM,C,12
25/06/18 7:07:00 AM,C,12
25/06/18 7:37:00 AM,C,12.5
25/06/18 8:07:00 AM,C,13
25/06/18 8:37:00 AM,C,15
25/06/18 9:07:00 AM,C,18
25/06/18 9:37:00 AM,C,20.5
25/06/18 10:07:00 AM,C,21.5
25/06/18 10:37:00 AM,C,24
25/06/18 11:07:00 AM,C,25.5
25/06/18 11:37:00 AM,C,19
25/06/18 12:07:00 PM,C,20
25/06/18 12:37:00 PM,C,13.5
25/06/18 1:07:00 PM,C,14
25/06/18 1:37:00 PM,C,14
25/06/18 2:07:00 PM,C,14
25/06/18 2:37:00 PM,C,14
25/06/18 3:07:00 PM,C,12.5
25/06/18 3:37:00 PM,C,13
25/06/18 4:07:00 PM,C,12.5
25/06/18 4:37:00 PM,C,12.5
25/06/18 5:07:00 PM,C,12
25/06/18 5:37:00 PM,C,11.5
25/06/18 6:07:00 PM,C,12
25/06/18 6:37:00 PM,C,12
25/06/18 7:07:00 PM,C,12
25/06/18 7:37:00 PM,C,12
25/06/18 8:07:00 PM,C,12.5
25/06/18 8:37:00 PM,C,12.5
25/06/18 9:07:00 PM,C,12.5
25/06/18 9:37:00 PM,C,12.5
25/06/18 10:07:00 PM,C,12
25/06/18 10:37:00 PM,C,12.5
25/06/18 11:07:00 PM,C,12.5
25/06/18 11:37:00 PM,C,12.5
26/06/18 12:07:00 AM,C,12.5
26/06/18 12:37:00 AM,C,12.5
26/06/18 1:07:00 AM,C,12.5
26/06/18 1:37:00 AM,C,12.5
26/06/18 2:07:00 AM,C,12.5
26/06/18 2:37:00 AM,C,12.5
26/06/18 3:07:00 AM,C,12.5
26/06/18 3:37:00 AM,C,12.5
26/06/18 4:07:00 AM,C,12
26/06/18 4:37:00 AM,C,12
26/06/18 5:07:00 AM,C,12
26/06/18 5:37:00 AM,C,12
26/06/18 6:07:00 AM,C,12
26/06/18 6:37:00 AM,C,12
26/06/18 7:07:00 AM,C,12
26/06/18 7:37:00 AM,C,12.5
26/06/18 8:07:00 AM,C,12.5
26/06/18 8:37:00 AM,C,17
26/06/18 9:07:00 AM,C,21
26/06/18 9:37:00 AM,C,18.5
26/06/18 10:07:00 AM,C,19
26/06/18 10:37:00 AM,C,21.5
26/06/18 11:07:00 AM,C,27.5
26/06/18 11:37:00 AM,C,25
26/06/18 12:07:00 PM,C,27.5
26/06/18 12:37:00 PM,C,33
26/06/18 1:07:00 PM,C,34
26/06/18 1:37:00 PM,C,14.5
26/06/18 2:07:00 PM,C,14.5
26/06/18 2:37:00 PM,C,13.5
26/06/18 3:07:00 PM,C,13.5
26/06/18 3:37:00 PM,C,13
26/06/18 4:07:00 PM,C,13
26/06/18 4:37:00 PM,C,12.5
26/06/18 5:07:00 PM,C,12.5
26/06/18 5:37:00 PM,C,12.5
26/06/18 6:07:00 PM,C,12.5
26/06/18 6:37:00 PM,C,12.5
26/06/18 7:07:00 PM,C,12
26/06/18 7:37:00 PM,C,12.5
26/06/18 8:07:00 PM,C,12.5
26/06/18 8:37:00 PM,C,12.5
26/06/18 9:07:00 PM,C,12.5
26/06/18 9:37:00 PM,C,12.5
26/06/18 10:07:00 PM,C,12
26/06/18 10:37:00 PM,C,12.5
26/06/18 11:07:00 PM,C,12.5
26/06/18 11:37:00 PM,C,12.5
27/06/18 12:07:00 AM,C,13
27/06/18 12:37:00 AM,C,13
27/06/18 1:07:00 AM,C,13
27/06/18 1:37:00 AM,C,12.5
27/06/18 2:07:00 AM,C,12.5
27/06/18 2:37:00 AM,C,12.5
27/06/18 3:07:00 AM,C,12.5
