temp,variability,term,estimate,std.error,statistic,p.value,growth_per_day,error,temperature,estimte
5,c,a,0.0111844,0.000338597,33.0316,9.43E-40,0.268426,0.00812634,NA,NA
5,v,a,0.0129313,0.000266484,48.5256,1.28E-51,0.310351,0.00639561,NA,NA
10,c,a,0.0249703,0.00028243,88.4123,1.49E-46,0.599286,0.00677831,NA,NA
10,v,a,0.0302982,0.000478577,63.3089,1.08E-37,0.727156,0.0114858,NA,NA
15,v,a,0.0375876,0.000400994,93.7359,9.10E-59,0.902101,0.00962386,NA,NA
16,c,a,0.0443961,0.000543113,81.7437,8.97E-38,1.06551,0.0130347,NA,NA
20,c,a,0.0530417,0.000773474,68.576,4.48E-63,1.273,0.0185634,NA,NA
20,v,a,0.0507168,0.000893247,56.778,1.81E-56,1.2172,0.0214379,NA,NA
24,c,a,0.0590205,0.000619348,95.2945,7.69E-81,1.41649,0.0148644,NA,NA
24,v,a,0.0477015,0.000731665,65.1959,9.54E-48,1.14484,0.01756,NA,NA
27,c,a,0.0667777,0.000634759,105.202,3.70E-41,1.60266,0.0152342,NA,NA
27,v,a,0.0339717,0.00281193,12.0813,2.92E-13,0.81532,0.0674862,NA,NA
29,c,a,0.0487914,0.000926494,52.6624,1.44E-38,1.17099,0.0222359,NA,NA
35,c,a,-0.134296,0.02967,-4.52631,0.000184651,-0.134296,NA,35,NA
0,c,a,0,NA,NA,NA,0,NA,0,0
0,c,a,0,NA,NA,NA,0,NA,0,NA
