plate,germinated,apical_hairs,ungerminated,dead,notes
NP_16_30_06,4,37,2,7,
NP_16_15_01,4,31,1,19,
NP_16_05_01,17,3,2,28,
NP_16_05_03,6,9,4,31,
NP_16_05_04,6,7,1,36,
NP_16_30_05,5,39,1,5,
NP_16_15_02,5,39,0,6,
NP_16_05_06,6,6,2,36,
NP_16_30_02,3,41,2,4,
NP_16_15_06,7,29,3,11,
NP_16_30_03,5,37,2,6,
NP_16_15_03,7,33,1,10,
NP_16_30_01,5,37,2,6,
NP_16_15_04,6,25,0,11,
NP_16_05_02,20,11,0,20,
NP_16_30_04,2,45,1,2,
NP_16_05_06,4,2,2,42,double entry in notebook - probably my bad handwriting on the labels. Need to check 
NP_20_30_01,8,36,4,2,
NP_20_05_06,1,0,3,46,
NP_20_05_02,5,0,5,40,
NP_20_05_05,1,0,3,46,
NP_20_05_03,5,2,1,42,
NP_20_30_04,5,35,0,10,
NP_20_30_06,5,40,3,3,
NP_20_30_03,7,38,2,4,lots of diatoms
NP_20_30_02,0,43,0,7,
NP_20_05_01,5,0,1,44,
NP_20_30_05,7,35,0,8,
NP_20_15_06,10,14,1,30,
NP_20_15_05,16,12,2,20,
NP_20_15_02,13,19,1,20,lots of diatoms
NP_20_15_01,20,13,1,16,
NP_20_15_04,11,9,2,28,
NP_20_15_03,7,17,2,24,
NP_12_15_03,22,19,4,5,
NP_12_15_06,16,29,0,5,
NP_12_15_01,14,22,2,12,
NP_12_30_02,4,48,0,3,
NP_12_30_03,13,25,4,8,
NP_12_30_05,16,27,1,6,
NP_12_15_05,11,30,1,8,
NP_12_15_04,11,29,3,7,
NP_12_30_06,10,36,1,3,
NP_12_30_04,11,37,2,6,
NP_12_05_03,18,10,2,20,
NP_12_05_02,16,12,6,16,
NP_12_05_05,17,2,2,29,
NP_12_05_01,29,6,2,13,
NP_12_05_04,15,2,3,30,
NP_12_05_06,12,7,0,32,
NP_08_05_01,12,1,4,33,
NP_08_05_05,7,1,4,38,
NP_08_05_04,4,0,9,37,
NP_08_05_03,3,0,9,38,
NP_08_05_02,10,0,2,38,
NP_08_05_06,9,0,6,35,
NP_08_15_06,21,0,4,25,
NP_08_15_03,23,0,3,24,
NP_08_15_01,29,0,1,20,
NP_08_15_02,25,1,5,23,
NP_08_15_04,33,0,0,17,
NP_08_30_01,36,0,4,10,
NP_08_30_03,33,0,10,7,
NP_08_30_02,34,0,7,10,
NP_08_30_05,39,0,3,8,
NP_08_30_04,38,0,5,7,
NP_08_30_06,50,0,4,4,
NP_24_15_01,0,0,1,49,
NP_24_15_06,0,0,1,49,
NP_24_15_03,0,0,0,50,
NP_24_15_04,0,0,0,50,
NP_24_15_05,0,0,0,50,
NP_24_15_02,0,0,0,50,
NP_24_05_03,0,0,0,11,hardly anything on this one (5 counted on sllip and 6 on dish)
NP_24_05_06,0,0,0,9,
NP_24_05_05,0,0,1,15,
NP_24_05_04,0,0,2,19,
NP_24_05_01,0,0,0,19,
NP_24_05_02,0,0,0,3,
NP_28_30_01,0,0,0,20,
NP_28_30_02,0,0,0,50,
NP_28_30_03,0,0,0,50,
NP_28_30_04,0,0,0,50,
NP_28_30_05,0,0,1,49,
NP_28_30_06,0,0,2,48,
NP_28_15_01,0,0,0,50,
NP_28_15_02,0,0,0,3,
NP_28_15_03,0,0,0,50,
NP_28_15_04,0,0,0,50,
NP_28_15_05,0,0,0,12,
NP_28_15_06,0,0,1,33,
NP_28_05_01,0,0,0,22,
NP_28_05_02,0,0,0,10,
NP_28_05_03,0,0,0,9,
NP_28_05_04,0,0,0,12,
NP_28_05_05,0,0,0,10,
NP_28_05_06,0,0,0,11,
NP_32_05_01,0,0,0,50,didn't check b/c 28 was all dead
NP_32_05_02,0,0,0,50,didn't check b/c 28 was all dead
NP_32_05_03,0,0,0,50,didn't check b/c 28 was all dead
NP_32_05_04,0,0,0,50,didn't check b/c 28 was all dead
NP_32_05_05,0,0,0,50,didn't check b/c 28 was all dead
NP_32_05_06,0,0,0,50,didn't check b/c 28 was all dead
NP_32_15_01,0,0,0,50,didn't check b/c 28 was all dead
NP_32_15_02,0,0,0,50,didn't check b/c 28 was all dead
NP_32_15_03,0,0,0,50,didn't check b/c 28 was all dead
NP_32_15_04,0,0,0,50,didn't check b/c 28 was all dead
NP_32_15_05,0,0,0,50,didn't check b/c 28 was all dead
NP_32_15_06,0,0,0,50,didn't check b/c 28 was all dead
NP_32_30_01,0,0,0,50,didn't check b/c 28 was all dead
NP_32_30_02,0,0,0,50,didn't check b/c 28 was all dead
NP_32_30_03,0,0,0,50,didn't check b/c 28 was all dead
NP_32_30_04,0,0,0,50,didn't check b/c 28 was all dead
NP_32_30_05,0,0,0,50,didn't check b/c 28 was all dead
NP_32_30_06,0,0,0,50,didn't check b/c 28 was all dead
NP_24_30_01,12,0,0,40,
NP_24_30_02,2,1,1,39,
NP_24_30_03,5,0,0,45,
NP_24_30_04,8,0,6,36,
NP_24_30_05,7,2,0,23,
NP_24_30_06,13,0,3,34,
NP_08_15_05,34,0,3,15,
NP_02_30_05,0,0,7,43,
NP_02_30_01,3,0,7,40,
