Jan-17,,
Day,Time,Height
,,(m)
1,1:07 AM,1
1,8:35 AM,5.1
1,2:25 PM,3.4
1,6:53 PM,4.2
2,1:48 AM,1.2
2,9:12 AM,5.1
2,3:18 PM,3.2
2,7:50 PM,4
3,2:31 AM,1.4
3,9:51 AM,5.1
3,4:14 PM,2.9
3,8:58 PM,3.8
4,3:17 AM,1.7
4,10:31 AM,5
4,5:11 PM,2.6
4,10:20 PM,3.7
5,4:08 AM,2.1
5,11:13 AM,5
5,6:10 PM,2.3
5,11:53 PM,3.7
6,5:05 AM,2.6
6,11:54 AM,4.9
6,7:08 PM,1.9
7,1:25 AM,3.9
7,6:13 AM,3
7,12:37 PM,4.8
7,8:02 PM,1.5
8,2:52 AM,4.1
8,7:33 AM,3.4
8,1:20 PM,4.8
8,8:52 PM,1.2
9,4:04 AM,4.4
9,8:53 AM,3.6
9,2:04 PM,4.8
9,9:38 PM,0.9
10,5:02 AM,4.7
10,10:04 AM,3.7
10,2:51 PM,4.7
10,10:22 PM,0.7
11,5:49 AM,5
11,11:04 AM,3.7
11,3:40 PM,4.7
11,11:05 PM,0.6
12,6:32 AM,5.1
12,11:58 AM,3.6
12,4:32 PM,4.6
12,11:47 PM,0.7
13,7:11 AM,5.2
13,12:49 PM,3.4
13,5:27 PM,4.5
14,12:29 AM,0.8
14,7:49 AM,5.2
14,1:40 PM,3.3
14,6:22 PM,4.4
15,1:11 AM,1
15,8:26 AM,5.2
15,2:31 PM,3.1
15,7:17 PM,4.2
16,1:52 AM,1.3
16,9:02 AM,5.1
16,3:23 PM,2.9
16,8:13 PM,4
17,2:33 AM,1.7
17,9:39 AM,5
17,4:16 PM,2.7
17,9:16 PM,3.8
18,3:15 AM,2.1
18,10:16 AM,4.8
18,5:09 PM,2.5
18,10:31 PM,3.6
19,3:59 AM,2.6
19,10:54 AM,4.7
19,6:04 PM,2.3
20,12:03 AM,3.6
20,4:49 AM,3
20,11:33 AM,4.6
20,6:58 PM,2.1
21,1:44 AM,3.7
21,5:54 AM,3.3
21,12:13 PM,4.5
21,7:48 PM,1.9
22,3:09 AM,3.9
22,7:22 AM,3.6
22,12:54 PM,4.4
22,8:32 PM,1.7
23,4:09 AM,4.2
23,8:45 AM,3.7
23,1:35 PM,4.3
23,9:11 PM,1.5
24,4:53 AM,4.4
24,9:47 AM,3.7
24,2:15 PM,4.3
24,9:48 PM,1.4
25,5:28 AM,4.6
25,10:34 AM,3.7
25,2:56 PM,4.4
25,10:22 PM,1.2
26,5:59 AM,4.7
26,11:13 AM,3.7
26,3:39 PM,4.4
26,10:57 PM,1.1
27,6:27 AM,4.8
27,11:48 AM,3.6
27,4:25 PM,4.4
27,11:32 PM,1.1
28,6:56 AM,4.9
28,12:25 PM,3.4
28,5:13 PM,4.4
29,12:09 AM,1.1
29,7:27 AM,5
29,1:06 PM,3.2
29,6:03 PM,4.4
30,12:47 AM,1.2
30,7:59 AM,5
30,1:50 PM,3
30,6:55 PM,4.3
31,1:28 AM,1.3
31,8:32 AM,5
31,2:38 PM,2.7
31,7:52 PM,4.2
Feb-17,,
Day,Time,Height
,,(m)
1,2:11 AM,1.6
1,9:07 AM,5
1,3:29 PM,2.5
1,8:57 PM,4.1
2,2:56 AM,2
2,9:43 AM,4.9
2,4:23 PM,2.2
2,10:13 PM,4
3,3:46 AM,2.5
3,10:22 AM,4.8
3,5:21 PM,1.9
3,11:41 PM,3.9
4,4:44 AM,2.9
4,11:04 AM,4.7
4,6:23 PM,1.6
5,1:15 AM,4.1
5,5:56 AM,3.3
5,11:54 AM,4.6
5,7:26 PM,1.4
6,2:42 AM,4.3
6,7:29 AM,3.6
6,12:49 PM,4.6
6,8:24 PM,1.1
7,3:50 AM,4.5
7,8:57 AM,3.6
7,1:47 PM,4.5
7,9:17 PM,1
8,4:43 AM,4.7
8,10:04 AM,3.6
8,2:44 PM,4.5
8,10:04 PM,0.9
9,5:26 AM,4.9
9,10:58 AM,3.4
9,3:41 PM,4.5
9,10:49 PM,0.9
10,6:05 AM,5
10,11:45 AM,3.2
10,4:38 PM,4.5
10,11:32 PM,1
11,6:40 AM,5
11,12:29 PM,3
11,5:33 PM,4.5
12,12:13 AM,1.2
12,7:13 AM,5
12,1:12 PM,2.8
12,6:25 PM,4.4
13,12:53 AM,1.4
13,7:46 AM,5
13,1:55 PM,2.6
13,7:16 PM,4.3
14,1:33 AM,1.8
14,8:18 AM,4.9
14,2:38 PM,2.5
14,8:07 PM,4.2
15,2:12 AM,2.1
15,8:50 AM,4.8
15,3:23 PM,2.4
15,9:03 PM,4
16,2:51 AM,2.5
16,9:22 AM,4.6
16,4:08 PM,2.2
16,10:08 PM,3.9
17,3:34 AM,2.8
17,9:56 AM,4.4
17,4:56 PM,2.1
17,11:28 PM,3.8
18,4:23 AM,3.2
18,10:32 AM,4.3
18,5:49 PM,2.1
19,1:03 AM,3.8
19,5:28 AM,3.4
19,11:14 AM,4.2
19,6:46 PM,1.9
20,2:27 AM,4
20,7:06 AM,3.6
