Day,Time,Height
,,(m)
1,3:45 AM,3.3
1,8:14 AM,4.1
1,3:27 PM,1
1,11:00 PM,4.8
2,5:07 AM,3.2
2,9:18 AM,3.8
2,4:24 PM,1.2
3,12:03 AM,4.7
3,6:28 AM,3
3,10:46 AM,3.6
3,5:27 PM,1.5
4,12:59 AM,4.7
4,7:37 AM,2.7
4,12:24 PM,3.5
4,6:37 PM,1.8
5,1:48 AM,4.7
5,8:32 AM,2.4
5,1:48 PM,3.6
5,7:45 PM,2.1
6,2:29 AM,4.6
6,9:18 AM,2.1
6,3:02 PM,3.8
6,8:46 PM,2.3
7,3:06 AM,4.6
7,9:57 AM,1.8
7,4:07 PM,4
7,9:41 PM,2.5
8,3:39 AM,4.5
8,10:32 AM,1.6
8,5:02 PM,4.2
8,10:31 PM,2.7
9,4:09 AM,4.5
9,11:04 AM,1.4
9,5:50 PM,4.4
9,11:19 PM,2.9
10,4:38 AM,4.4
10,11:34 AM,1.3
10,6:32 PM,4.6
11,12:03 AM,3.1
11,5:06 AM,4.3
11,12:04 PM,1.2
11,7:12 PM,4.7
12,12:45 AM,3.3
12,5:34 AM,4.2
12,12:34 PM,1.1
12,7:52 PM,4.7
13,1:27 AM,3.4
13,6:02 AM,4.1
13,1:07 PM,1.1
13,8:32 PM,4.7
14,2:12 AM,3.4
14,6:33 AM,4
14,1:42 PM,1.2
14,9:13 PM,4.7
15,3:04 AM,3.4
15,7:08 AM,3.9
15,2:21 PM,1.2
15,9:59 PM,4.6
16,4:05 AM,3.4
16,7:50 AM,3.7
16,3:04 PM,1.4
16,10:47 PM,4.6
17,5:15 AM,3.3
17,8:46 AM,3.5
17,3:52 PM,1.5
17,11:38 PM,4.6
18,6:23 AM,3.1
18,10:09 AM,3.4
18,4:46 PM,1.7
19,12:28 AM,4.6
19,7:21 AM,2.8
19,11:51 AM,3.3
19,5:49 PM,2
20,1:13 AM,4.6
20,8:08 AM,2.5
20,1:16 PM,3.5
20,6:56 PM,2.2
21,1:52 AM,4.6
21,8:49 AM,2.1
21,2:30 PM,3.7
21,8:01 PM,2.4
22,2:27 AM,4.6
22,9:27 AM,1.7
22,3:37 PM,4
22,9:00 PM,2.7
23,2:59 AM,4.7
23,10:03 AM,1.3
23,4:37 PM,4.3
23,9:55 PM,2.9
24,3:32 AM,4.7
24,10:39 AM,1
24,5:31 PM,4.6
24,10:49 PM,3.1
25,4:05 AM,4.7
25,11:17 AM,0.7
25,6:22 PM,4.8
25,11:42 PM,3.2
26,4:41 AM,4.6
26,11:57 AM,0.5
26,7:12 PM,5
27,12:36 AM,3.3
27,5:22 AM,4.5
27,12:39 PM,0.4
27,8:01 PM,5.1
28,1:34 AM,3.4
28,6:08 AM,4.4
28,1:25 PM,0.5
28,8:51 PM,5.1
29,2:37 AM,3.4
29,6:59 AM,4.2
29,2:12 PM,0.7
29,9:42 PM,5
30,3:47 AM,3.2
30,7:58 AM,3.9
30,3:01 PM,0.9
30,10:33 PM,5
31,4:58 AM,3
31,9:08 AM,3.7
31,3:52 PM,1.3
31,11:24 PM,4.9
