May-18,,
Day,Time,Height
,,(m)
1,4:43 AM,3
1,11:42 AM,0.7
1,7:23 PM,3.1
2,12:18 AM,2.4
2,5:08 AM,2.9
2,12:17 PM,0.6
2,8:13 PM,3.2
3,1:16 AM,2.5
3,5:32 AM,2.9
3,12:53 PM,0.6
3,9:04 PM,3.2
4,2:22 AM,2.6
4,5:56 AM,2.8
4,1:31 PM,0.7
4,9:54 PM,3.2
5,3:43 AM,2.6
5,6:18 AM,2.6
5,2:10 PM,0.8
5,10:43 PM,3.2
6,5:32 AM,2.5
6,6:33 AM,2.5
6,2:53 PM,0.9
6,11:29 PM,3.2
7,3:41 PM,1.1
8,12:11 AM,3.2
8,7:49 AM,2.2
8,9:02 AM,2.2
8,4:36 PM,1.2
9,12:49 AM,3.1
9,8:02 AM,2
9,11:16 AM,2.1
9,5:38 PM,1.4
10,1:22 AM,3.1
10,8:21 AM,1.8
10,1:06 PM,2.2
10,6:40 PM,1.6
11,1:53 AM,3.1
11,8:42 AM,1.6
11,2:29 PM,2.4
11,7:37 PM,1.7
12,2:20 AM,3.1
12,9:05 AM,1.3
12,3:34 PM,2.6
12,8:28 PM,1.9
13,2:44 AM,3.1
13,9:31 AM,1.1
13,4:31 PM,2.8
13,9:16 PM,2
14,3:08 AM,3.1
14,10:02 AM,0.8
14,5:24 PM,2.9
14,10:02 PM,2.2
15,3:34 AM,3.1
15,10:36 AM,0.5
15,6:16 PM,3.1
15,10:51 PM,2.4
16,4:02 AM,3.2
16,11:16 AM,0.3
16,7:10 PM,3.2
16,11:45 PM,2.6
17,4:35 AM,3.2
17,11:59 AM,0.2
17,8:05 PM,3.3
18,12:47 AM,2.7
18,5:13 AM,3.1
18,12:46 PM,0.2
18,8:59 PM,3.4
19,2:02 AM,2.7
19,5:56 AM,3
19,1:36 PM,0.3
19,9:54 PM,3.4
20,3:32 AM,2.6
20,6:47 AM,2.8
20,2:29 PM,0.4
20,10:46 PM,3.4
21,5:03 AM,2.4
21,7:56 AM,2.5
21,3:25 PM,0.7
21,11:34 PM,3.4
22,6:16 AM,2.1
22,9:36 AM,2.3
22,4:26 PM,1
23,12:18 AM,3.4
23,7:11 AM,1.8
23,11:42 AM,2.2
23,5:30 PM,1.3
24,12:57 AM,3.3
24,7:54 AM,1.5
24,1:36 PM,2.3
24,6:36 PM,1.6
25,1:31 AM,3.2
25,8:31 AM,1.2
25,3:04 PM,2.5
